entry_time,exit_time,side,entry_price,exit_price,position_size_pct,pnl_pct,pnl_usd,exit_reason,hold_time
2025-10-13 03:25:00,2025-10-13 06:15:00,LONG,115105.6,114979.0,0.2,-0.439943842871262,-8.798876857425238,ML_EXIT,34
2025-10-13 16:05:00,2025-10-13 23:40:00,SHORT,114903.5,115141.6,0.2,-0.8288694426192617,-16.562802612072257,ML_EXIT,91
2025-10-14 01:45:00,2025-10-14 03:00:00,LONG,114308.8,113235.0,0.2,-3.757540976722712,-74.96022443476396,STOP_LOSS,15
2025-10-14 03:00:00,2025-10-14 06:20:00,LONG,113235.0,112311.5,0.2,-3.262242239590233,-64.59029608685948,STOP_LOSS,40
2025-10-14 06:20:00,2025-10-14 09:40:00,LONG,112311.5,111459.5,0.2,-3.0344176687160265,-59.68752838744076,STOP_LOSS,40
2025-10-14 10:15:00,2025-10-14 11:05:00,LONG,110550.3,111158.8,0.2,2.2017127045335925,43.0452459398601,ML_EXIT,10
2025-10-14 15:55:00,2025-10-14 19:35:00,SHORT,112835.3,112661.6,0.2,0.6157647473795774,12.091705247562556,ML_EXIT,44
2025-10-14 19:45:00,2025-10-14 22:00:00,SHORT,112520.7,113374.6,0.468830406665802,-3.03553035130428,-139.90318520610575,STOP_LOSS,27
2025-10-14 22:00:00,2025-10-15 00:10:00,SHORT,113374.6,112739.6,0.2,2.2403607157158656,43.42103161644848,ML_EXIT,26
2025-10-15 13:20:00,2025-10-15 14:05:00,LONG,111470.5,111990.0,0.2,1.8641703410319324,36.29187351601995,ML_EXIT,9
2025-10-16 07:45:00,2025-10-16 09:30:00,LONG,110743.6,109459.9,0.2,-4.636656204060592,-90.60347953571544,STOP_LOSS,21
2025-10-16 09:30:00,2025-10-16 09:40:00,LONG,109459.9,111161.1,0.2,6.216705843875289,120.35223550977203,ML_EXIT,2
2025-10-16 15:00:00,2025-10-16 15:40:00,LONG,110240.0,109149.8,0.2,-3.955732946298973,-77.53312286453432,STOP_LOSS,8
