strategy_name,strategy_type,avg_return,vs_bh,win_rate,sharpe,max_dd,liquidations,avg_trades,avg_holding_hours,avg_exit_signal
Exit Model @ 0.2,exit_model,46.66627028978521,46.62791939634846,95.6882323440707,21.968923862416315,1.6991675534059079,0,19.545454545454547,1.0352632789113139,0.5509710907936096
Exit Model @ 0.3,exit_model,45.198624457648584,45.16027356421183,92.6950520239994,20.66349404901474,1.9245242703814414,0,17.727272727272727,1.289385737313369,0.6069162487983704
Exit Model @ 0.1,exit_model,41.87503731077145,41.8366864173347,96.53115403115403,20.426886823341125,1.4411946980701182,0,24.727272727272727,0.5214353547686882,0.33022332191467285
Exit Model @ 0.5,exit_model,38.671720533833884,38.63336964039713,89.17083169355895,19.760590691922236,2.296606685181649,0,15.636363636363637,2.1395979546547728,0.6120786666870117
Fixed: TP1.5%/SL1%/2h,fixed,37.492819746911174,37.454468853474424,91.88692110704943,36.69241881505245,1.7435190868634878,0,24.454545454545453,0.6252046622506635,0.0
