exit_threshold,total_trades,wins,losses,win_rate,avg_return,ml_exit_pct,avg_hold,long_trades,short_trades,wr_score,ml_score,hold_score,composite_score
0.16,281,218,63,77.58007117437722,2.0048922731270147,65.12455516014235,56.34875444839858,80,201,1.0700699472327893,0.8140569395017794,0.6865124555160143,0.8525974966253529
0.17,268,212,56,79.1044776119403,2.0951968368240257,63.059701492537314,59.223880597014926,80,188,1.0910962429233144,0.7882462686567164,0.6577611940298507,0.8399557385486361
0.18,260,210,50,80.76923076923077,2.1662616691862273,61.53846153846154,61.41923076923077,80,180,1.1140583554376657,0.7692307692307693,0.6358076923076923,0.8326521220159152
0.19,257,211,46,82.10116731517509,2.192377635019991,59.53307392996109,62.55642023346304,80,177,1.1324298940024151,0.7441634241245136,0.6244357976653696,0.8247250771501409
