window,total_trades,long_trades,short_trades,win_rate,avg_return,total_return,ml_exit_rate,sl_exits,max_hold_exits
0,336,183,153,42.26190476190476,-0.11191667585068535,-37.60400308583028,0.0,175,161
1,298,131,167,39.59731543624161,-0.5269357835632968,-157.02686350186247,0.0,124,174
2,261,137,124,55.172413793103445,0.6261526884934726,163.42585169679634,0.0,83,178
3,316,124,192,48.10126582278481,0.5133672472632009,162.2240501351715,0.0,96,220
4,308,152,156,49.35064935064935,-0.06507880140867564,-20.044270833872098,0.0,91,217
5,344,195,149,51.45348837209303,1.0564370428623826,363.41434274465956,0.0,83,261
6,235,103,132,59.148936170212764,2.147606357019217,504.68749389951597,0.0,37,198
7,383,177,206,36.81462140992167,-0.6053444081173388,-231.84690830894078,0.0,193,190
8,352,182,170,41.19318181818182,-0.38991215315878747,-137.24907791189318,0.0,155,197
9,298,179,119,41.946308724832214,-0.20331725176051693,-60.58854102463405,0.0,119,179
10,337,200,137,44.21364985163205,-0.17695141457558483,-59.63262671197208,0.0,120,217
11,327,178,149,52.293577981651374,0.4593715376211932,150.2144928021302,0.0,79,248
12,290,161,129,40.0,-0.31100993042012914,-90.19287982183745,0.0,42,248
13,224,129,95,57.58928571428571,-0.0611111384183485,-13.688895005710064,0.0,57,167
14,368,158,210,45.65217391304348,0.15038576160429626,55.34196027038103,0.0,137,231
15,263,163,100,60.836501901140686,1.7090812159415418,449.4883597926255,0.0,79,184
16,247,58,189,33.603238866396765,-0.7566003832789748,-186.8802946699068,0.0,106,141
17,208,40,168,32.69230769230769,-0.3172016512036683,-65.977943450363,0.0,118,90
18,320,163,157,32.1875,-0.55778175500564,-178.49016160180483,0.0,194,126
19,250,181,69,44.0,1.2307286066869283,307.6821516717321,0.0,94,156
