entry_idx,exit_idx,side,entry_price,exit_price,pnl_pct,pnl_usd,holding_candles,exit_reason,entry_prob
18732,18735,SHORT,109691.5,109320.0,0.3386771080712726,32.2747436474046,3,ML Exit,0.6575814
18737,18746,SHORT,109460.2,109590.9,-0.11940413045106539,-17.272604436800535,9,ML Exit,0.6313527
18831,18836,SHORT,111171.9,110772.4,0.35935339775608766,34.554467182637445,5,ML Exit,0.58974296
18842,18851,SHORT,110617.6,110426.0,0.17320932654478655,14.457672393112519,9,ML Exit,0.6095534
18855,18903,SHORT,110664.2,111480.0,-0.7371851059330867,-84.4514402476059,48,Max Hold,0.5737295
18936,18964,SHORT,112880.4,112187.7,0.6136583498995372,61.87673911302046,28,ML Exit,0.7065013
18983,19031,SHORT,112310.0,110668.9,1.4612233995191932,154.13231918959076,48,Max Hold,0.59793407
19040,19048,SHORT,110820.0,110744.1,0.06848944233892273,3.1322788418217735,8,ML Exit,0.7247566
19086,19096,SHORT,111292.4,110691.0,0.5403783187351465,55.01455007393359,10,ML Exit,0.5609791
19096,19099,SHORT,110691.0,110733.9,-0.03875653847195723,-8.699106808319474,3,ML Exit,0.69456184
19100,19101,SHORT,110816.2,110691.5,0.11252867360548105,8.006905283631333,1,ML Exit,0.6481573
19134,19182,SHORT,110691.6,110746.8,-0.04986828268811462,-9.92599567241134,48,Max Hold,0.58489245
19187,19199,SHORT,110827.4,110676.7,0.13597720419318426,10.59350317969379,12,ML Exit,0.5659806
19239,19287,SHORT,110687.4,110859.3,-0.15530222952206732,-21.573501749614373,48,Max Hold,0.6337133
19308,19322,SHORT,110750.5,110266.4,0.4371086360783977,43.78674424911016,14,ML Exit,0.61832505
19368,19416,SHORT,110025.3,110182.4,-0.14278534118970024,-20.22938133122995,48,Max Hold,0.58677304
19464,19512,SHORT,110587.2,110784.8,-0.17868252383639863,-24.16036692398761,48,Max Hold,0.58646214
19526,19574,SHORT,111142.5,111024.7,0.10599005780867167,7.276677903702282,48,Max Hold,0.60229206
19576,19624,SHORT,111023.3,110975.2,0.04332423914620248,0.3676293904468473,48,Max Hold,0.5717282
19628,19630,SHORT,111064.6,110943.9,0.10867549156077781,7.577751789352606,2,ML Exit,0.6348349
19642,19690,SHORT,110933.5,111147.8,-0.1931787963058976,-25.742191603771087,48,Max Hold,0.5669246
19710,19714,SHORT,111000.2,110733.5,0.24026983735164179,22.061801560538562,4,ML Exit,0.5525303
19733,19781,SHORT,110809.9,111107.6,-0.268658305801207,-34.06437960275604,48,Max Hold,0.56568533
19781,19829,SHORT,111107.6,112104.8,-0.8975083612642133,-103.16435320214443,48,Max Hold,0.5612284
19832,19880,SHORT,112079.8,112550.0,-0.4195225187767975,-50.1154241011525,48,Max Hold,0.5745266
19880,19916,SHORT,112550.0,112231.1,0.28334073745001703,26.424140516358513,36,ML Exit,0.57597995
19919,19920,SHORT,112172.1,112196.0,-0.02130654592362466,-6.671523326272748,1,ML Exit,0.56715804
19922,19927,SHORT,112246.5,112234.1,0.011047115054807214,-3.148427135228408,5,ML Exit,0.55972236
19993,19995,SHORT,112022.0,111907.1,0.10256913820499025,6.8048416102871965,2,ML Exit,0.55325896
20008,20009,SHORT,111388.4,111337.1,0.04605506497982587,0.6597092868388996,1,ML Exit,0.576062
20010,20016,SHORT,111307.9,111275.2,0.02937796867966882,-1.1549573291275972,6,ML Exit,0.6132111
20043,20091,SHORT,111900.3,112878.8,-0.874439121253473,-99.49304105262664,48,Max Hold,0.6096635
20094,20117,SHORT,113035.9,112657.4,0.3348493708635929,31.802677952769823,23,ML Exit,0.57071924
20120,20135,SHORT,112784.0,112398.3,0.3419811320754691,32.66315113499833,15,ML Exit,0.55992746
20138,20164,SHORT,112680.6,112204.5,0.4225217118119763,41.493144732559344,26,ML Exit,0.56093544
20170,20174,SHORT,111834.3,111353.0,0.43036885821255455,42.4982391480538,4,ML Exit,0.6979307
20175,20179,SHORT,111346.3,110868.5,0.4291116992661659,42.51851097047996,4,ML Exit,0.60829055
20186,20204,SHORT,111057.6,111045.4,0.010985290515922945,-3.1812376170740118,18,ML Exit,0.640549
20230,20278,SHORT,111303.0,111510.4,-0.186338193939062,-24.815349850300386,48,Max Hold,0.55632615
20281,20291,SHORT,111370.9,110972.3,0.3579031865594974,34.78153354226571,10,ML Exit,0.5528909
20293,20297,SHORT,111119.1,110902.9,0.19456601070384086,16.962478562444247,4,ML Exit,0.57090265
20342,20390,SHORT,111527.7,112150.0,-0.5579779731851396,-65.71577274451627,48,Max Hold,0.565674
20418,20466,SHORT,112252.6,113804.5,-1.3825069530683423,-155.44170948331399,48,Max Hold,0.5622787
20480,20492,SHORT,113669.7,113584.7,0.07477806310740681,3.749822573902481,12,ML Exit,0.5576463
