threshold,num_signals,signal_rate,win_rate_1h,win_rate_2h,win_rate_4h,avg_return_4h
0.5,2702,8.948797774392263,0.1492537313432836,0.4850746268656716,0.4104477611940298,0.18398940619635068
0.6,1913,6.335695833609327,0.21085925144965736,0.5798629414865577,0.4744333157617291,0.2652895124388854
0.7,1440,4.769159435649467,0.2801120448179272,0.7703081232492998,0.6302521008403361,0.31174456632749087
0.8,965,3.195999205140094,0.41884816753926707,0.9424083769633508,0.7329842931937173,0.34814872355773935
0.9,333,1.1028681194939391,0.60790273556231,0.911854103343465,0.303951367781155,0.3080256581274909
