start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,sharpe,max_dd,liquidations,final_capital
0,1440,Sideways,23.90457274032393,2.270613143709525,21.633959596614403,16,68.75,12.67370993683201,1.8097141654339164,0,12390.457274032393
1440,2880,Sideways,17.75473596730795,-2.0224330193216757,19.777168986629626,19,73.68421052631578,6.404368711530944,6.799221734950948,0,11775.473596730795
2880,4320,Sideways,41.11865411156159,-0.5914351004940368,41.71008921205563,29,62.06896551724138,9.9756292972768,4.587473007690675,0,14111.86541115616
4320,5760,Bear,32.31020563034772,-4.493761894214929,36.803967524562644,27,62.96296296296296,8.378987090668996,7.476392879359955,0,13231.020563034772
5760,7200,Bear,10.30551077525266,-3.5276730419637223,13.833183817216383,15,53.333333333333336,6.769547598682263,4.554253728470202,0,11030.551077525266
7200,8640,Sideways,27.662706182242907,2.1740653023939758,25.48864087984893,19,63.1578947368421,10.222551725039423,4.732363052613069,0,12766.270618224291
8640,10080,Bull,18.1373961579083,3.882065420730484,14.255330737177815,12,91.66666666666666,23.914187460061527,0.11451412784743019,0,11813.73961579083
10080,11520,Sideways,14.13192644552493,1.8614519495474038,12.270474495977528,9,77.77777777777779,15.962309699264903,1.2286058825962434,0,11413.192644552493
11520,12960,Sideways,5.604707751797468,-1.1782215588216938,6.782929310619162,7,42.857142857142854,7.550092891456239,1.217973301536518,0,10560.470775179747
12960,14400,Bear,16.77938854981334,-5.201186834529879,21.98057538434322,19,52.63157894736842,7.764880514920836,4.809729097590653,0,11677.938854981334
14400,15840,Bull,17.682923307039893,7.248375460768837,10.434547846271055,13,61.53846153846154,11.339907462686698,2.3735300052267494,0,11768.29233070399
