window,total_trades,long_trades,short_trades,avg_leveraged_return,total_return_pct,win_rate,final_capital,avg_position_size
0,111,71,40,0.4505727537270845,2.4912089536525674,29.72972972972973,10249.120895365257,49.85539
1,90,70,20,0.41343628707328217,0.18561246341003426,31.11111111111111,10018.561246341003,50.085075
2,108,73,35,0.359193530246496,-2.1246755624524485,28.703703703703702,9787.532443754755,49.203438
3,102,64,38,0.35288705081730015,-2.513208853248325,29.411764705882355,9748.679114675168,48.685707
4,63,17,46,0.44321986605456076,1.0948926208047307,41.269841269841265,10109.489262080473,48.944504
5,86,33,53,0.38412066703089676,-0.2952731146378573,37.2093023255814,9970.472688536214,47.592957
6,101,44,57,0.46559788341493813,3.798176879674138,39.603960396039604,10379.817687967414,47.232716
7,89,48,41,0.4948303312685562,4.580313116495818,42.69662921348314,10458.031311649582,47.32987
8,73,40,33,0.4052023864453446,0.40671831174397083,36.986301369863014,10040.671831174397,47.338806
9,62,39,23,0.4852305965355823,3.4219033659296474,43.54838709677419,10342.190336592965,46.731014
10,58,35,23,0.5096351530358552,3.55662512361383,48.275862068965516,10355.662512361383,47.909977
11,47,25,22,0.5276470573280346,3.2159066999169226,51.06382978723404,10321.590669991692,48.917915
12,42,16,26,0.7652756183323468,7.7450111674449,54.761904761904766,10774.50111674449,49.99603
13,48,18,30,1.1016099344172865,16.019711509163827,60.416666666666664,11601.971150916383,49.189045
14,46,20,26,1.2968332623028784,20.296811214196442,58.69565217391305,12029.681121419644,46.8548
15,24,8,16,2.3022717487400057,22.236928448216077,79.16666666666666,12223.692844821608,45.421276
16,29,15,14,1.895270221623001,21.187548830296766,72.41379310344827,12118.754883029676,49.00646
17,26,14,12,1.8114640011520518,17.10183433864144,76.92307692307693,11710.183433864144,48.350178
18,21,12,9,1.2225807790690824,8.050511069310579,71.42857142857143,10805.051106931058,48.95845
19,14,11,3,0.9973125484736273,3.6985568394886648,78.57142857142857,10369.855683948866,51.61816
20,14,11,3,0.8987189526832375,2.9386815544744787,71.42857142857143,10293.868155447448,52.15962
21,6,4,2,1.4995390217723745,2.955426175452867,100.0,10295.542617545287,44.59863
22,6,6,0,1.4151528008113838,2.754904199497578,83.33333333333334,10275.490419949758,45.083157
23,9,6,3,1.5003705590037377,5.525632034077971,88.88888888888889,10552.563203407797,49.562794
24,22,4,18,0.606569848376349,3.0848125182705006,45.45454545454545,10308.48125182705,47.06901
25,26,6,20,0.7877365271553489,5.8461757843546724,53.84615384615385,10584.617578435467,46.933113
26,34,6,28,0.8553355638851093,9.783268581855245,52.94117647058824,10978.326858185525,47.772415
27,46,4,42,0.8376600501963533,12.521617821894907,41.30434782608695,11252.16178218949,49.23519
28,43,3,40,0.7890457425020604,9.715683184256777,37.2093023255814,10971.568318425678,48.495613
29,27,3,24,1.0362901907372621,9.820515570917923,40.74074074074074,10982.051557091792,50.39149
30,30,7,23,1.0114979035440408,10.147771696124527,46.666666666666664,11014.777169612453,49.494503
31,40,8,32,0.44326154244888744,0.07247306363828102,37.5,10007.247306363828,46.34059
32,26,8,18,0.6122522122326306,2.2478140696248192,53.84615384615385,10224.781406962482,43.205017
33,26,9,17,0.6094767439162037,2.2146456642714107,53.84615384615385,10221.464566427141,43.20057
34,34,16,18,0.7137628915210023,4.315048259865835,50.0,10431.504825986583,43.441166
35,30,10,20,0.7429730224867372,4.8742842513399225,43.333333333333336,10487.428425133992,44.227627
36,11,8,3,1.333957213499317,4.658363533066585,54.54545454545454,10465.836353306659,44.42569
37,18,8,10,2.207107208981771,16.5497386873152,72.22222222222221,11654.97386873152,45.924553
38,29,13,16,1.8578240316187968,22.52242983096843,72.41379310344827,12252.242983096843,46.957607
39,111,95,16,0.5053188988959885,3.9585412837278637,26.126126126126124,10395.854128372786,54.259247
40,123,108,15,0.4852397001390843,2.838125346986235,24.390243902439025,10283.812534698623,53.714584
41,132,109,23,0.5542217266478231,8.336371326808822,27.27272727272727,10833.637132680882,53.622807
42,130,111,19,0.5521340909239665,9.5885010144431,26.923076923076923,10958.85010144431,53.922962
43,121,106,15,0.4783561563692578,3.078172664872018,23.96694214876033,10307.817266487202,54.057407
44,41,18,23,1.4728204820954245,25.27559977329715,53.65853658536586,12527.559977329714,48.996986
45,31,7,24,2.107049231515834,31.352467551580247,67.74193548387096,13135.246755158025,49.304657
46,30,14,16,2.100932570587223,29.63520368324602,66.66666666666666,12963.520368324602,48.010117
47,56,14,42,0.9858839392900266,17.491856455564957,33.92857142857143,11749.185645556496,50.90529
48,75,34,41,0.9804722197775468,24.750912275528623,30.666666666666664,12475.091227552863,50.514866
49,64,32,32,1.0141810803226803,21.14453725030424,29.6875,12114.453725030424,50.99661
50,68,38,30,0.6358475602294903,7.647482894570312,26.47058823529412,10764.748289457031,51.183784
51,76,46,30,0.5186615247104777,3.8662732957712795,21.052631578947366,10386.627329577128,53.684067
52,48,46,2,0.8385319558608393,9.909369979282692,31.25,10990.93699792827,52.972984
53,32,30,2,1.0319029718700727,8.841652611300688,40.625,10884.165261130069,54.63846
54,32,30,2,0.9751908658681746,7.97466249254352,37.5,10797.466249254352,55.31407
55,26,24,2,1.338609912217076,11.013512047980658,46.15384615384615,11101.351204798066,56.08337
56,11,8,3,2.8733439083535752,12.474964074436958,90.9090909090909,11247.496407443696,43.681725
57,10,7,3,2.3573935202719536,8.657006353718844,90.0,10865.700635371884,44.150295
58,8,4,4,1.9456391112061961,6.0849246440021485,87.5,10608.492464400215,49.328327
59,11,7,4,1.6297028236290492,6.795655771953498,81.81818181818183,10679.56557719535,49.331665
