start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,sharpe,max_dd,liquidations,final_capital,avg_position_size
0,1440,Sideways,10.710859981563644,2.270613143709525,8.440246837854119,14,71.42857142857143,13.47647901336637,0.8556052739071285,0,11071.085998156364,55.714244682874
1440,2880,Sideways,3.956233542261816,-2.0224330193216757,5.978666561583491,17,64.70588235294117,3.932665306127578,5.119519393978866,0,10395.623354226182,56.92571455415557
2880,4320,Sideways,15.909669170233245,-0.5914351004940368,16.501104270727282,26,57.692307692307686,8.430611342356595,2.056882102656624,0,11590.966917023325,56.672799446261855
4320,5760,Bear,6.689919007788249,-4.493761894214929,11.183680902003179,21,57.14285714285714,5.505433545158044,3.1904504304427315,0,10668.991900778825,56.548702635935385
5760,7200,Bear,5.108006550713053,-3.5276730419637223,8.635679592676777,13,53.84615384615385,5.941026692619734,2.0756806637243272,0,10510.800655071305,59.192807720257676
7200,8640,Sideways,10.267738608853506,2.1740653023939758,8.09367330645953,16,62.5,8.618385412763457,1.8359592797957398,0,11026.77386088535,56.57723737694324
8640,10080,Bull,8.238543067255032,3.882065420730484,4.356477646524548,10,100.0,25.184458961723543,0.0,0,10823.854306725503,55.33941163420677
10080,11520,Sideways,7.202588545950439,1.8614519495474038,5.341136596403035,8,87.5,17.750248628363384,0.663228517777356,0,10720.258854595044,55.76774077117443
11520,12960,Sideways,2.2870865814582615,-1.1782215588216938,3.465308140279955,6,50.0,6.808468455287002,1.0845271559994463,0,10228.708658145826,56.321921229362495
12960,14400,Bear,3.91088137303761,-5.201186834529879,9.11206820756749,17,52.94117647058824,5.068489924511705,2.8882007009093655,0,10391.088137303761,57.01254768056029
14400,15840,Bull,12.518471472003313,7.248375460768837,5.270096011234476,10,90.0,26.267593508096297,0.45794142152813194,0,11251.847147200331,56.396819260716434
