exit_threshold,total_trades,trades_per_day,final_balance,total_return,win_rate,profit_factor,avg_hold,long_trades,short_trades,ml_exit_pct,stop_loss_pct,max_hold_pct
0.6,15,0.5555555555555556,449.4827623800053,49.82758746000176,86.66666666666667,30.146646942765415,33.53333333333333,11,4,86.66666666666667,0.0,13.333333333333334
0.65,14,0.5185185185185185,443.24677922477724,47.74892640825908,85.71428571428571,29.299973985180934,41.92857142857143,11,3,78.57142857142857,0.0,21.428571428571427
0.7,13,0.48148148148148145,443.2339814120888,47.74466047069626,84.61538461538461,29.29744563677331,45.15384615384615,10,3,76.92307692307693,0.0,23.076923076923077
0.75,10,0.37037037037037035,470.4231147714071,56.80770492380236,90.0,89.0810894162384,60.4,8,2,70.0,0.0,30.0
0.8,9,0.3333333333333333,479.02035582268616,59.67345194089538,88.88888888888889,232.43826557985355,67.77777777777777,7,2,66.66666666666666,0.0,33.33333333333333
0.85,7,0.25925925925925924,421.73774243836147,40.57924747945382,85.71428571428571,12.439478262554571,88.28571428571429,6,1,42.857142857142854,14.285714285714285,42.857142857142854
