entry_time,exit_time,side,entry_price,exit_price,position_value,pnl_pct,pnl_net,exit_reason,hold_candles
2025-11-02 17:30:00,2025-11-02 23:50:00,LONG,109973.3,110588.9,8023.3525390625,0.02239088942497829,175.63832320827433,ML Exit (0.708),75
2025-11-02 23:50:00,2025-11-03 00:05:00,LONG,110588.9,110700.9,8697.242937505978,0.004051039480454187,30.88425304218508,ML Exit (0.726),2
2025-11-03 00:05:00,2025-11-03 00:10:00,LONG,110700.9,110632.4,8250.869594482514,-0.002475137961841322,-24.54747534874724,ML Exit (0.766),0
2025-11-03 00:10:00,2025-11-03 00:15:00,LONG,110632.4,110586.8,8359.068945681212,-0.0016487032731818626,-17.961158804338083,ML Exit (0.702),0
2025-11-03 00:15:00,2025-11-03 00:55:00,LONG,110586.8,109698.3,8255.636114954495,-0.03213765114823831,-269.44457152668224,Stop Loss (-3.21%),7
2025-11-03 00:55:00,2025-11-03 02:40:00,LONG,109698.3,108808.0,8312.404323218841,-0.03246358421233521,-274.0066399154035,Stop Loss (-3.25%),20
2025-11-03 02:40:00,2025-11-03 03:50:00,LONG,108808.0,107940.2,8106.054440986458,-0.03190206602455713,-262.6529111954977,Stop Loss (-3.19%),13
2025-11-03 03:50:00,2025-11-03 08:35:00,LONG,107940.2,107119.0,8237.138520812607,-0.03043166494040208,-254.78840879345475,Stop Loss (-3.04%),56
2025-11-03 08:35:00,2025-11-03 15:25:00,LONG,107119.0,105915.1,8548.584076816482,-0.044955610115852244,-388.5811048383527,Stop Loss (-4.50%),81
2025-11-03 15:25:00,2025-11-03 16:20:00,LONG,105915.1,106298.6,7168.602209824706,0.01448329841542896,100.24070392148235,End of Period,11
