entry_time,exit_time,side,entry_price,exit_price,hold_time,pnl_pct,pnl_dollars,balance,exit_reason
2025-07-30 00:25:00,2025-07-30 02:10:00,SHORT,117682.3,118075.9,21,-0.01737839250252557,-86.89196251262784,9913.108037487373,stop_loss
2025-08-19 00:25:00,2025-08-19 00:45:00,SHORT,115880.2,116278.9,4,-0.017762489191423456,-88.04073718464123,9825.067300302731,stop_loss
2025-08-29 00:25:00,2025-08-29 00:40:00,LONG,112548.6,112187.6,3,-0.0168300129899439,-82.67800514558401,9742.389295157147,stop_loss
