entry_time,exit_time,side,entry_price,exit_price,entry_prob,hold_time,pnl_pct,pnl_usd,exit_reason,balance
2025-10-07 16:05:00,2025-10-07 16:10:00,SHORT,121622.3,121515.6,0.9072989,1,0.003509224870767847,2.763763627229455,ML Exit 0.9201,1002.7637636272294
2025-10-07 16:10:00,2025-10-07 16:15:00,SHORT,121515.6,121564.3,0.90654165,1,-0.0016030863526986523,-2.098716404496492,ML Exit 0.9201,1000.6650472227329
2025-10-07 16:15:00,2025-10-07 16:20:00,SHORT,121564.3,120981.6,0.93968225,1,0.01917339218833151,17.656457152661936,ML Exit 0.8601,1018.3215043753949
2025-10-07 16:20:00,2025-10-07 16:25:00,SHORT,120981.6,121117.6,0.8996478,1,-0.004496551541722047,-4.930431631438476,ML Exit 0.9061,1013.3910727439563
2025-10-07 16:25:00,2025-10-07 16:30:00,SHORT,121117.6,121472.1,0.9457593,1,-0.011707629609569541,-11.848819874328111,ML Exit 0.8723,1001.5422528696282
2025-10-07 16:30:00,2025-10-07 16:35:00,SHORT,121472.1,121752.4,0.9337409,1,-0.009230103044237757,-9.35300037142315,ML Exit 0.8513,992.1892524982051
2025-10-07 16:35:00,2025-10-07 16:40:00,SHORT,121752.4,121737.1,0.9280992,1,0.0005026594958288579,-0.0917511919677958,ML Exit 0.9105,992.0975013062373
2025-10-07 16:40:00,2025-10-07 16:45:00,SHORT,121737.1,122028.6,0.8969521,1,-0.009578016890495995,-9.592705869048066,ML Exit 0.8446,982.5047954371893
2025-10-07 16:45:00,2025-10-07 16:50:00,SHORT,122028.6,121871.8,0.95859265,1,0.005139778707614539,4.237336632932184,ML Exit 0.8579,986.7421320701214
2025-10-07 16:50:00,2025-10-07 16:55:00,SHORT,121871.8,121650.0,0.91012996,1,0.007279780884503319,6.261660170149244,ML Exit 0.8468,993.0037922402707
2025-10-07 16:55:00,2025-10-07 17:00:00,SHORT,121650.0,121715.7,0.8969521,1,-0.0021602959309493493,-2.6039351107811877,ML Exit 0.8726,990.3998571294895
2025-10-07 17:00:00,2025-10-07 17:05:00,SHORT,121715.7,121530.0,0.93189174,1,0.006102745989219044,5.1774228994652916,ML Exit 0.9213,995.5772800289549
2025-10-07 17:05:00,2025-10-07 17:10:00,SHORT,121530.0,121443.6,0.8969521,1,0.0028437422858551527,2.1221278999357414,ML Exit 0.8805,997.6994079288907
2025-10-07 17:10:00,2025-10-07 17:15:00,SHORT,121443.6,121268.0,0.904787,1,0.005783754763528282,4.913237605499696,ML Exit 0.8767,1002.6126455343904
2025-10-07 17:15:00,2025-10-07 17:20:00,SHORT,121268.0,121323.7,0.89272755,1,-0.0018372530263547544,-2.3214396693607275,ML Exit 0.9255,1000.2912058650296
