candles_to_trough,trough_pnl,candles_to_recovery,bounce_speed_10candles,entry_volume_ratio,trough_volume_ratio,volume_spike_at_trough,volume_increase_after_trough,entry_rsi,trough_rsi,rsi_change,rsi_divergence,trough_rsi_oversold
67,0.010816201576885261,0.0,0.003906524417913622,1.7543866380388624,1.347038971363499,False,0.8294330592110625,19.496803409276993,17.206438653356912,-2.2903647559200806,False,True
66,0.009666731851138696,0.0,0.003906524417913622,0.5590506248374976,1.1965903436241063,False,0.8294330592110625,19.496803409276993,17.206438653356912,-2.2903647559200806,False,True
65,0.008736648943678484,0.0,0.003906524417913622,1.831479607781713,1.2770342667657433,False,0.8294330592110625,19.496803409276993,17.206438653356912,-2.2903647559200806,False,True
76,0.007938666793242295,0.0,0.001360842157951622,1.1857579657756165,0.4352878994983759,False,0.4998421089401737,67.9986833087872,43.95146476468461,-24.047218544102584,False,False
9,0.0072100259086048165,0.0,0.009562067430282916,2.140341482387558,3.2160335507291307,True,0.44155659184279866,40.08590673669299,20.375097877755238,-19.710808858937753,False,True
8,0.007897700413045846,0.0,0.009562067430282916,1.4793545352332436,3.2728367866730914,True,0.44155659184279866,46.073692557760936,20.375097877755238,-25.698594680005698,False,True
7,0.007359601449275362,0.0,0.009562067430282916,0.531932001716483,3.1692943949049894,True,0.44155659184279866,42.49439146322972,20.375097877755238,-22.11929358547448,False,True
6,0.007781795745659512,0.0,0.009562067430282916,0.5306715987830539,3.1860734724511817,True,0.44155659184279866,46.0362521324997,20.375097877755238,-25.66115425474446,False,True
5,0.007416700221231894,0.0,0.009562067430282916,0.8851234202758342,3.3250130399181765,True,0.44155659184279866,43.538776265964266,20.375097877755238,-23.16367838820903,False,True
4,0.007961979608206726,0.0,0.009562067430282916,0.7160772231528882,3.341810854820004,True,0.44155659184279866,48.07077048996762,20.375097877755238,-27.695672612212384,False,True
70,0.010222614338792381,0.0,0.0031393910122228053,2.6951256359764497,3.7853664359836543,True,0.9562665874101962,23.774178484788138,8.788192448681983,-14.985986036106155,False,True
69,0.010184248608260362,0.0,0.0031393910122228053,1.371982260766729,3.3800067014881243,True,0.9562665874101962,23.617672214689136,8.788192448681983,-14.829479766007154,False,True
9,0.00694636306251089,12.0,0.0028320383414422146,1.479807321312793,2.8271229858036704,True,0.7923092629750786,47.79263488577797,26.926336541654592,-20.86629834412338,False,True
5,0.006159902950399441,12.0,0.0028320383414422146,0.8321526872579771,2.879852058286896,True,0.7923092629750786,45.819061995269614,26.926336541654592,-18.89272545361502,False,True
3,0.007128934565454291,12.0,0.0028320383414422146,0.21322639137883842,2.8472510208882285,True,0.7923092629750786,51.4495891533741,26.926336541654592,-24.523252611719506,False,True
8,0.006491289542959309,13.0,0.003921798702060637,0.4684809308293014,0.43516194425097415,False,2.4258929619801326,69.9240141825909,49.03826793262002,-20.88574624997087,False,False
5,0.006004957430757625,,,0.47887276683220426,2.913537818153561,True,1.5809569220988302,59.66312062273592,37.66569107141678,-21.997429551319136,False,False
4,0.005968105725656795,,,0.8913241784035952,3.0120846259302647,True,1.5809569220988302,59.483990444280444,37.66569107141678,-21.818299372863663,False,False
3,0.006514601842356976,,,1.1174133745310086,3.098747634498983,True,1.5809569220988302,61.33870099360177,37.66569107141678,-23.67300992218499,False,False
8,0.006874843637514693,0.0,0.006577126577126627,1.1769474484226492,2.12331642477905,True,0.7109178822816913,42.63250582383674,29.932818376478693,-12.699687447358045,False,True
7,0.006093354794205565,0.0,0.006577126577126627,0.7111263989157464,2.2897785291822297,True,0.7109178822816913,40.41523522997749,29.932818376478693,-10.482416853498798,False,True
10,0.008441912747246724,5.0,0.002794850931547384,0.6214197774134117,2.7651385236230483,True,2.6241220543740202,34.36047949182331,24.831123088064572,-9.52935640375874,False,True
9,0.00636735943914633,5.0,0.002794850931547384,1.3285503965676362,2.798797410106779,True,2.6241220543740202,30.960401661930604,24.831123088064572,-6.129278573866031,False,True
8,0.006139902540700922,5.0,0.002794850931547384,1.3280128203447157,2.733791018876806,True,2.6241220543740202,30.603658957598,24.831123088064572,-5.772535869533428,False,True
7,0.006280524547812147,5.0,0.002794850931547384,0.45293482975873584,2.6510261190651203,True,2.6241220543740202,31.13194271351088,24.831123088064572,-6.300819625446309,False,True
86,0.025669141952118505,,,1.5160507567465313,3.5107580458072403,True,0.4268193684383002,39.92852614612762,27.256603172368997,-12.671922973758626,False,True
73,0.022519788033270753,13.0,0.0,0.614659470897363,2.8418906214291604,True,1.0134802115871988,44.03145678142012,29.995133668310274,-14.036323113109844,True,True
72,0.021455617735614392,13.0,0.0022401767478902506,0.5168570637012949,2.780083602989839,True,0.6521734154114289,40.83819232231107,29.995133668310274,-10.8430586540008,True,True
71,0.021048866018165253,13.0,0.0022401767478902506,0.3770331272168422,2.7620649568119116,True,1.0017113051385462,39.65615195216877,29.995133668310274,-9.661018283858496,True,True
53,0.008386906898528635,13.0,0.0022401767478902506,1.5022780046014577,2.161970892754977,True,5.9247469737763065,35.571770001473396,29.278986118681743,-6.292783882791653,True,True
95,0.008748843854154267,,,0.3946407922174703,2.0452216093236366,True,5.9247469737763065,35.03996695396913,29.278986118681743,-5.760980835287384,True,True
56,0.010584290370471493,,,1.1134327178013856,2.598245296649819,True,0.45465095664743826,61.56375031204677,31.66886981297418,-29.894880499072592,False,False
9,0.00936715132669275,,,1.1948157066316791,1.5880751692118922,True,1.4926152526958851,39.819691655172726,31.120274680860874,-8.699416974311852,False,False
