start_idx,end_idx,regime,random_return,bh_return,difference,num_trades,num_long,num_short,win_rate,win_rate_long,win_rate_short,sharpe,max_dd
0,1440,Sideways,2.4472968634324754,2.473028405647383,-0.025731542214907588,21,21,0,61.904761904761905,61.904761904761905,0.0,5.610769202031548,1.463979809040919
1440,2880,Bull,5.79086502489301,8.03813659558464,-2.2472715706916313,24,21,3,50.0,47.61904761904761,66.66666666666666,5.090371647610157,1.165181058832737
2880,4320,Sideways,-3.8106039019596025,1.5748336042585827,-5.385437506218185,24,22,2,37.5,40.909090909090914,0.0,-2.7027697661460057,6.20743599802289
4320,5760,Sideways,0.1357580654509002,-1.2266906927041816,1.362448758155082,24,23,1,70.83333333333334,69.56521739130434,100.0,1.1456600130998205,1.4088482199374162
5760,7200,Sideways,-1.7925161329420372,0.03951854825241705,-1.8320346811944541,18,15,3,44.44444444444444,46.666666666666664,33.33333333333333,-1.581211476596289,2.9447662328194233
7200,8640,Sideways,-1.0983726054535874,-0.5108854068724317,-0.5874871985811557,22,22,0,40.909090909090914,40.909090909090914,0.0,-0.45044439891098165,2.5209539016741247
8640,10080,Bear,-4.716285261038792,-3.3590363127303107,-1.3572489483084818,23,23,0,47.82608695652174,47.82608695652174,0.0,-5.04368505150007,3.7069825711009177
10080,11520,Bull,2.0401108438964,4.403234106157836,-2.3631232622614355,21,18,3,47.61904761904761,44.44444444444444,66.66666666666666,4.980261372994909,0.6878947602882454
11520,12960,Sideways,2.4082966655469136,-1.084716428085674,3.4930130936325874,22,19,3,54.54545454545454,47.368421052631575,100.0,3.2170334283306072,3.0214245881243955
12960,14400,Bear,-5.129437643615892,-3.1152001581833435,-2.014237485432549,24,23,1,37.5,34.78260869565217,100.0,-6.233316583783557,5.181168305771129
14400,15840,Sideways,-0.9824445454164379,-1.1200991381738272,0.13765459275738934,22,20,2,31.818181818181817,30.0,50.0,-0.06538908087663392,3.5572114042744207
15840,17280,Bear,0.6804690408675197,-3.3298183470946454,4.010287387962165,24,22,2,50.0,45.45454545454545,100.0,1.5156441050490448,1.2282958284143504
17280,18720,Sideways,-1.7012080502125353,1.1915368361792948,-2.89274488639183,21,16,5,47.61904761904761,43.75,60.0,-0.8119561845250061,3.0874029057958845
18720,20160,Sideways,-2.9884432445731366,0.8255066612031196,-3.8139499057762563,21,19,2,42.857142857142854,47.368421052631575,0.0,-2.886393631345467,3.6774122580088555
20160,21600,Bull,0.539037706756717,3.9272006569232705,-3.3881629501665533,20,15,5,55.00000000000001,46.666666666666664,80.0,5.5954306164157535,0.4432007251718108
21600,23040,Sideways,-3.8960950090454567,-0.010125835177738289,-3.8859691738677182,24,19,5,45.83333333333333,47.368421052631575,40.0,-4.036533842058181,4.453400078287442
23040,24480,Sideways,-0.24087620846412394,-1.5947964608823166,1.3539202524181926,23,16,7,65.21739130434783,68.75,57.14285714285714,1.0611225000439435,1.9448608626371056
24480,25920,Sideways,2.5368105565832044,0.26696185254911414,2.2698487040340902,23,18,5,52.17391304347826,55.55555555555556,40.0,4.550782551144024,0.998230049163828
25920,27360,Bull,4.158423211082226,6.768516237696724,-2.6100930266144973,22,22,0,54.54545454545454,54.54545454545454,0.0,6.01740908411847,1.4465316385033433
27360,28800,Sideways,-1.9665282091751761,-0.7849400299850099,-1.1815881791901663,24,21,3,41.66666666666667,42.857142857142854,33.33333333333333,-0.9102364376880256,3.884667851507198
