lookahead,lookahead_minutes,threshold_pct,positive_rate,precision,recall,f1,tp,fp
3,15,0.3,4.308803073458304,82.36111111111111,91.16064565718678,86.53775994162713,1186,254
3,15,0.5,1.0598132079221037,21.458333333333332,96.5625,35.11363636363637,309,1131
3,15,1.0,0.09935748824269723,1.9444444444444444,93.33333333333333,3.8095238095238098,28,1412
3,15,1.5,0.03311916274756574,0.625,90.0,1.2413793103448276,9,1431
3,15,2.0,0.026495330198052593,0.4861111111111111,87.5,0.9668508287292819,7,1433
3,15,3.0,0.003311916274756574,0.06944444444444445,100.0,0.13879250520471895,1,1439
6,30,0.3,10.333178777240512,86.66666666666667,40.0,54.736842105263165,1248,192
6,30,0.5,3.162880042392528,40.97222222222222,61.78010471204188,49.26931106471816,590,850
6,30,1.0,0.36431079022322316,5.486111111111111,71.81818181818181,10.193548387096776,79,1361
6,30,1.5,0.0894217394184275,1.4583333333333333,77.77777777777779,2.862985685071575,21,1419
6,30,2.0,0.049678744121348616,0.6944444444444444,66.66666666666666,1.3745704467353952,10,1430
6,30,3.0,0.009935748824269723,0.20833333333333334,100.0,0.4158004158004157,3,1437
12,60,0.3,20.520633238391735,89.375,20.77146546158812,33.708748035620744,1287,153
12,60,0.5,7.822746240975029,54.861111111111114,33.44623200677392,41.55707522356654,790,650
12,60,1.0,1.1889779426376101,12.152777777777777,48.74651810584958,19.45525291828794,175,1265
12,60,1.5,0.31794396237663114,3.8194444444444446,57.291666666666664,7.161458333333334,55,1385
12,60,2.0,0.14572431608928926,1.597222222222222,52.27272727272727,3.0997304582210234,23,1417
12,60,3.0,0.02318341392329602,0.4166666666666667,85.71428571428571,0.82930200414651,6,1434
24,120,0.3,33.82791283036365,91.04166666666667,12.83532406500881,22.498712888278703,1311,129
24,120,0.5,16.880837252434258,65.83333333333333,18.599175985874044,29.00413033501606,948,492
24,120,1.0,3.6431079022322317,22.01388888888889,28.81818181818182,24.960629921259844,317,1123
24,120,1.5,1.0531893753725905,6.319444444444445,28.61635220125786,10.352673492605232,91,1349
24,120,2.0,0.466980194740677,3.4722222222222223,35.46099290780142,6.325110689437065,50,1390
24,120,3.0,0.06955024176988805,0.7638888888888888,52.38095238095239,1.5058179329226558,11,1429
48,240,0.3,48.06915281181692,92.36111111111111,9.163566211933306,16.672934687225773,1330,110
48,240,0.5,29.61515532887329,72.70833333333333,11.708789979870275,20.16952417645926,1047,393
48,240,1.0,9.78340067563092,32.013888888888886,15.605958023019634,20.983158852981337,461,979
48,240,1.5,3.2821090282837653,10.208333333333334,14.833501513622604,12.093788564376801,147,1293
48,240,2.0,1.308206928528847,5.069444444444445,18.48101265822785,7.956403269754768,73,1367
48,240,3.0,0.16228389746307215,0.9027777777777777,26.53061224489796,1.746138347884486,13,1427
