lookahead,lookahead_minutes,threshold_pct,positive_rate,precision,recall,f1,tp,fp
3,15,0.3,4.004332556536581,30.392156862745097,7.6229508196721305,12.18872870249017,93,213
3,15,0.5,0.9748252207306266,13.071895424836603,13.468013468013467,13.266998341625206,40,266
3,15,1.0,0.09846719401319462,1.3071895424836601,13.333333333333334,2.380952380952381,4,302
3,15,1.5,0.04595135720615748,0.32679738562091504,7.142857142857142,0.625,1,305
3,15,2.0,0.01969343880263892,0.32679738562091504,16.666666666666664,0.641025641025641,1,305
3,15,3.0,0.00984671940131946,0.32679738562091504,33.33333333333333,0.6472491909385114,1,305
6,30,0.3,10.22417697837004,42.810457516339866,4.20545746388443,7.6585793627594265,131,175
6,30,0.5,3.059047494009912,23.202614379084967,7.618025751072961,11.470113085621971,71,235
6,30,1.0,0.35448189844750055,2.941176470588235,8.333333333333332,4.347826086956522,9,297
6,30,1.5,0.10831391341451406,0.32679738562091504,3.0303030303030303,0.5899705014749262,1,305
6,30,2.0,0.05251583680703712,0.32679738562091504,6.25,0.6211180124223602,1,305
6,30,3.0,0.02297567860307874,0.32679738562091504,14.285714285714285,0.6389776357827477,1,305
12,60,0.3,20.303935405520726,54.248366013071895,2.6834788231490463,5.1139864448552075,166,140
12,60,0.5,7.965995995667444,35.62091503267974,4.491141326740832,7.976582510062203,109,197
12,60,1.0,1.332589358978567,8.49673202614379,6.403940886699508,7.303370786516854,26,280
12,60,1.5,0.38073981685101915,2.941176470588235,7.758620689655173,4.265402843601896,9,297
12,60,2.0,0.14113631141891228,0.6535947712418301,4.651162790697675,1.1461318051575933,2,304
12,60,3.0,0.04266911740571767,0.32679738562091504,7.6923076923076925,0.6269592476489029,1,305
24,120,0.3,33.66921587291167,62.745098039215684,1.8717098849678302,3.63498674744415,192,114
24,120,0.5,16.847736895657597,43.790849673202615,2.610559127216053,4.927376355947785,134,172
24,120,1.0,4.168444546558572,15.686274509803921,3.779527559055118,6.091370558375635,48,258
24,120,1.5,1.296484721173729,6.535947712418301,5.063291139240507,5.706134094151212,20,286
24,120,2.0,0.5120294088686119,2.941176470588235,5.769230769230769,3.8961038961038965,9,297
24,120,3.0,0.08533823481143533,0.9803921568627451,11.538461538461538,1.8072289156626509,3,303
48,240,0.3,48.74782551613221,70.58823529411765,1.454349582547805,2.8499802084707744,216,90
48,240,0.5,29.42199757114255,52.94117647058824,1.8072289156626504,3.4951456310679614,162,144
48,240,1.0,9.899235238126497,21.895424836601308,2.2214854111405833,4.0337146297411195,67,239
48,240,1.5,4.237371582367808,10.457516339869281,2.478698683191325,4.007514088916719,32,274
48,240,2.0,1.5459349460071552,5.88235294117647,3.821656050955414,4.633204633204633,18,288
48,240,3.0,0.2888371024387042,1.3071895424836601,4.545454545454546,2.030456852791878,4,302
