base_position,max_position,min_position,signal_weight,volatility_weight,regime_weight,streak_weight,train_return,train_sharpe,train_winrate,train_trades_per_week,val_return,val_sharpe,val_winrate,val_trades_per_week,avg_return,avg_sharpe
0.65,0.95,0.2,0.35,0.25,0.15,0.25,97.82001034265313,31.002139563730406,85.89211618257261,26.77777777777778,7.600861590581398,25.060097621755958,81.25,16.59259259259259,52.71043596661727,28.031118592743184
0.65,1.0,0.2,0.35,0.25,0.15,0.25,97.82001034265313,31.002139563730406,85.89211618257261,26.77777777777778,7.600861590581398,25.060097621755958,81.25,16.59259259259259,52.71043596661727,28.031118592743184
0.6,1.0,0.2,0.35,0.25,0.15,0.25,87.74671895463084,31.002139563730378,85.89211618257261,26.77777777777778,6.9988362201710785,25.060097621755542,81.25,16.59259259259259,47.37277758740096,28.03111859274296
0.6,0.95,0.2,0.35,0.25,0.15,0.25,87.74671895463084,31.002139563730378,85.89211618257261,26.77777777777778,6.9988362201710785,25.060097621755542,81.25,16.59259259259259,47.37277758740096,28.03111859274296
0.55,1.0,0.2,0.35,0.25,0.15,0.25,78.18009173047022,31.00213956373043,85.89211618257261,26.77777777777778,6.39974449775107,25.060097621755368,81.25,16.59259259259259,42.28991811411065,28.0311185927429
0.55,0.95,0.2,0.35,0.25,0.15,0.25,78.18009173047022,31.00213956373043,85.89211618257261,26.77777777777778,6.39974449775107,25.060097621755368,81.25,16.59259259259259,42.28991811411065,28.0311185927429
