start_idx,end_idx,regime,hybrid_return,bh_return,difference,num_trades,num_strong,num_moderate,win_rate,sharpe,max_dd,config_name
0,1440,Sideways,1.7747806931503327,1.877632284180478,-0.1028515910301453,3,3,0,66.66666666666666,14.00541049401775,0.31382547599504074,Ultra-5 (Baseline)
1440,2880,Sideways,2.0406657396959598,-1.9199398516340356,3.9606055913299953,5,5,0,60.0,13.376615390097086,0.06188866701689401,Ultra-5 (Baseline)
2880,4320,Sideways,2.7346709145624484,-0.8201022009771113,3.5547731155395597,2,2,0,50.0,16.427863029610684,0.0,Ultra-5 (Baseline)
4320,5760,Bear,2.0135009580471888,-4.476676862179103,6.490177820226291,5,5,0,80.0,20.062877487500362,0.14625154000554363,Ultra-5 (Baseline)
5760,7200,Bear,1.7968692809908136,-2.6072446699346106,4.404113950925424,2,2,0,100.0,18.077639661978445,0.0,Ultra-5 (Baseline)
7200,8640,Sideways,2.9106152296464645,0.7528214993384328,2.1577937303080317,3,3,0,100.0,42.96801623662218,0.0,Ultra-5 (Baseline)
8640,10080,Bull,0.7789533227317407,3.8234243843739066,-3.0444710616421657,2,2,0,100.0,1382.6765570025407,0.0,Ultra-5 (Baseline)
10080,11520,Sideways,0.0,2.123385539553733,-2.123385539553733,0,0,0,0.0,0.0,0.0,Ultra-5 (Baseline)
11520,12960,Sideways,-1.173869296331559,-1.4139875292337014,0.24011823290214251,1,1,0,0.0,0.0,0.0,Ultra-5 (Baseline)
12960,14400,Bear,0.0,-5.472513919015698,5.472513919015698,0,0,0,0.0,0.0,0.0,Ultra-5 (Baseline)
14400,15840,Bull,0.0,7.132804185728906,-7.132804185728906,0,0,0,0.0,0.0,0.0,Ultra-5 (Baseline)
0,1440,Sideways,1.4381560560849902,1.877632284180478,-0.4394762280954878,5,5,0,40.0,7.573874601321631,0.7221418880206322,Sweet-1
1440,2880,Sideways,2.116034233909413,-1.9199398516340356,4.035974085543449,5,5,0,60.0,14.430759542128193,0.10569091415921282,Sweet-1
2880,4320,Sideways,3.339084958374478,-0.8201022009771113,4.159187159351589,4,4,0,50.0,12.79828515649038,0.11807543457105281,Sweet-1
4320,5760,Bear,2.0135009580471888,-4.476676862179103,6.490177820226291,5,5,0,80.0,20.062877487500362,0.14625154000554363,Sweet-1
5760,7200,Bear,1.4138307097087819,-2.6072446699346106,4.021075379643392,3,3,0,66.66666666666666,9.897141812266499,0.0,Sweet-1
7200,8640,Sideways,2.2301796866026233,0.7528214993384328,1.4773581872641905,5,5,0,80.0,10.078333549828969,1.1706718681467019,Sweet-1
8640,10080,Bull,0.7789533227317407,3.8234243843739066,-3.0444710616421657,2,2,0,100.0,1382.6765570025407,0.0,Sweet-1
10080,11520,Sideways,0.0,2.123385539553733,-2.123385539553733,0,0,0,0.0,0.0,0.0,Sweet-1
11520,12960,Sideways,-1.173869296331559,-1.4139875292337014,0.24011823290214251,1,1,0,0.0,0.0,0.0,Sweet-1
12960,14400,Bear,-0.06223500159634568,-5.472513919015698,5.410278917419353,1,1,0,0.0,0.0,0.0,Sweet-1
14400,15840,Bull,0.0,7.132804185728906,-7.132804185728906,0,0,0,0.0,0.0,0.0,Sweet-1
0,1440,Sideways,0.9371939823979847,1.877632284180478,-0.9404383017824933,9,7,2,44.44444444444444,4.998703241403262,1.2462607380117965,Sweet-2
1440,2880,Sideways,2.2916150461185314,-1.9199398516340356,4.211554897752567,6,6,0,66.66666666666666,14.367327520685592,0.10569091415921282,Sweet-2
2880,4320,Sideways,1.9280043079357891,-0.8201022009771113,2.7481065089129,6,4,2,50.0,5.707383389276108,1.576019316987474,Sweet-2
4320,5760,Bear,1.9380016826574864,-4.476676862179103,6.414678544836589,6,4,2,66.66666666666666,10.292644005216946,0.1462515400055436,Sweet-2
5760,7200,Bear,-0.4953205001469541,-2.6072446699346106,2.1119241697876565,5,4,1,40.0,0.3111542708026087,1.4471465449055416,Sweet-2
7200,8640,Sideways,1.0221737526939978,0.7528214993384328,0.269352253355565,8,8,0,62.5,4.367171212492236,1.8926552283163423,Sweet-2
8640,10080,Bull,1.76010004544798,3.8234243843739066,-2.0633243389259266,4,2,2,100.0,18.150207577259085,0.0,Sweet-2
10080,11520,Sideways,0.1348149725035728,2.123385539553733,-1.9885705670501603,2,0,2,50.0,9.221204378377683,0.0,Sweet-2
11520,12960,Sideways,-0.5627000294422578,-1.4139875292337014,0.8512874997914436,3,2,1,66.66666666666666,-1.5938587112095217,0.0,Sweet-2
12960,14400,Bear,-2.0474992541496433,-5.472513919015698,3.425014664866055,4,3,1,0.0,-16.955933728471212,1.5885101201896414,Sweet-2
14400,15840,Bull,0.3044931491574243,7.132804185728906,-6.828311036571482,2,0,2,50.0,19.15138135099855,0.0,Sweet-2
0,1440,Sideways,1.4953023033215505,1.877632284180478,-0.38232998085892755,9,8,1,55.55555555555556,6.236286340077406,0.8702772488195658,Sweet-3
1440,2880,Sideways,2.2916150461185314,-1.9199398516340356,4.211554897752567,6,6,0,66.66666666666666,14.367327520685592,0.10569091415921282,Sweet-3
2880,4320,Sideways,2.233623963254977,-0.8201022009771113,3.053726164232088,8,6,2,62.5,5.912786547955086,1.576019316987474,Sweet-3
4320,5760,Bear,-0.3863003980247231,-4.476676862179103,4.09037646415438,8,7,1,50.0,1.274043337132243,1.2388148601521531,Sweet-3
5760,7200,Bear,-2.0453929736712415,-2.6072446699346106,0.5618516962633691,7,6,1,28.57142857142857,-3.080838686021736,2.2929821153008527,Sweet-3
