long_thresh,short_thresh,total_return,sharpe,win_rate,trades_per_week,max_dd,long_pct,short_pct,total_trades
0.7,0.65,19.876142767170933,8.211247084088305,70.83333333333334,24.03974826101358,-13.749335209583682,91.66666666666666,8.333333333333332,72
0.7,0.6,19.742327839214347,8.135087584484134,71.23287671232876,24.37363365352766,-13.749335209583682,91.78082191780823,8.21917808219178,73
0.7,0.7,19.054965569243354,7.918816698974873,69.44444444444444,24.03974826101358,-13.749335209583682,93.05555555555556,6.944444444444445,72
0.7,0.8,19.054965569243354,7.918816698974873,69.44444444444444,24.03974826101358,-13.749335209583682,93.05555555555556,6.944444444444445,72
0.7,0.75,19.054965569243354,7.918816698974873,69.44444444444444,24.03974826101358,-13.749335209583682,93.05555555555556,6.944444444444445,72
0.75,0.65,15.695522741253964,6.805277622200734,66.66666666666666,23.03809208347135,-13.742176002874992,89.85507246376811,10.144927536231885,69
0.75,0.6,14.988894509473338,6.5347818237153845,65.21739130434783,23.03809208347135,-13.742176002874979,88.40579710144928,11.594202898550725,69
0.8,0.65,12.293951404790082,5.754130304462377,61.29032258064516,20.700894335872807,-14.504336204927663,82.25806451612904,17.741935483870968,62
0.75,0.7,11.968999195847196,5.357345388480993,63.76811594202898,23.03809208347135,-13.742176002874992,89.85507246376811,10.144927536231885,69
0.75,0.8,11.968999195847196,5.357345388480993,63.76811594202898,23.03809208347135,-13.742176002874992,89.85507246376811,10.144927536231885,69
0.75,0.75,11.968999195847196,5.357345388480993,63.76811594202898,23.03809208347135,-13.742176002874992,89.85507246376811,10.144927536231885,69
0.8,0.6,11.336348043449028,5.335695345721959,60.317460317460316,21.034779728386884,-14.504336204927665,80.95238095238095,19.047619047619047,63
0.8,0.75,10.526922748261281,5.073204569614623,59.01639344262295,20.36700894335873,-14.504336204927663,85.24590163934425,14.754098360655737,61
0.8,0.8,10.526922748261281,5.073204569614623,59.01639344262295,20.36700894335873,-14.504336204927663,85.24590163934425,14.754098360655737,61
0.7,0.55,9.86879759792092,4.233216430240943,64.47368421052632,25.375289831069892,-15.05244402201527,88.1578947368421,11.842105263157894,76
0.8,0.7,8.676991612382313,4.234393250652855,58.06451612903226,20.700894335872807,-14.504336204927663,82.25806451612904,17.741935483870968,62
0.7,0.5,6.954073093831159,3.0639940785906346,61.53846153846154,26.043060616098046,-15.052444022015274,84.61538461538461,15.384615384615385,78
0.75,0.55,5.233562999769514,2.5035445855710026,58.333333333333336,24.03974826101358,-15.103838103973146,84.72222222222221,15.277777777777779,72
0.8,0.55,2.1993990021107246,1.3207115786981225,54.54545454545454,22.036435905929117,-15.43315188492533,77.27272727272727,22.727272727272727,66
0.75,0.5,2.171103341215619,1.2262116717559983,55.4054054054054,24.70751904604174,-15.103838103973132,79.72972972972973,20.27027027027027,74
0.8,0.5,0.555433061231847,0.5879227894762578,53.03030303030303,22.036435905929117,-15.433151884925339,74.24242424242425,25.757575757575758,66
