window,total_trades,long_trades,short_trades,avg_leveraged_return,window_return_pct,win_rate,starting_capital,final_capital,avg_position_size
0,15,11,4,1.8311111651273206,17.15842023324809,73.33333333333333,10000.0,11715.842023324809,58.239407
1,16,13,3,1.8457332842535084,17.69376863002118,75.0,11715.842023324809,13788.816003990692,55.3799
2,10,9,1,1.880792449652139,9.633221636624038,100.0,13788.816003990692,15117.123210721402,50.050087
3,11,11,0,1.9735875936708867,11.131865943619362,100.0,15117.123210721402,16799.941101070675,48.933144
4,14,12,2,2.6576143332280706,20.06788009072632,100.0,16799.941101070675,20171.333136546185,52.303963
5,35,32,3,1.529429602495247,31.002736250629138,62.857142857142854,20171.333136546185,26424.998347105357,53.223473
6,38,35,3,1.2901766482543526,28.049460377002372,55.26315789473685,26424.998347105357,33837.067788100205,51.453938
7,36,33,3,1.2595695947784713,25.69343419070759,52.77777777777778,33837.067788100205,42530.972532300846,51.286125
8,51,48,3,0.8508903381214359,23.8147103328689,35.294117647058826,42530.972532300846,52659.60044262033,50.207413
9,64,59,5,0.48419185785086394,17.706106434701592,35.9375,52659.60044262033,61983.565345079274,51.292133
10,55,46,9,0.3981053404187312,12.15985500829123,36.36363636363637,61983.565345079274,69520.67702001036,51.81662
11,75,64,11,0.4817624603926173,20.931226655105313,38.666666666666664,69520.67702001036,84072.20749923245,52.051765
12,101,88,13,0.4425768733880043,26.097746420517325,32.67326732673268,84072.20749923245,106013.15902251328,51.373917
13,88,74,14,0.5643581451744645,30.422375989670403,40.909090909090914,106013.15902251328,138264.88085886947,52.041454
14,72,62,10,0.6458235250213888,26.784303180350594,38.88888888888889,138264.88085886947,175298.1657400596,50.758827
15,70,63,7,0.7138947339986075,30.63145590346052,40.0,175298.1657400596,228994.5460783011,50.288807
16,65,54,11,0.7726298467349615,32.593152537216476,46.15384615384615,228994.5460783011,303631.08778350824,51.431156
17,51,41,10,0.9047683235003295,29.680712004804366,54.90196078431373,303631.08778350824,393750.95650558604,51.96241
18,58,47,11,0.8962227270911804,33.3570966033032,51.724137931034484,393750.95650558604,525094.8434435847,51.575123
19,77,62,15,0.8369610489884404,43.99528667676901,49.35064935064935,525094.8434435847,756111.8251415213,52.562244
20,73,60,13,0.730143602622973,34.3928518498699,46.57534246575342,756111.8251415213,1016160.244981792,51.837814
21,53,46,7,0.7529447405954638,24.230493675907685,41.509433962264154,1016160.244981792,1262380.8888791932,51.48471
22,43,37,6,0.8068134303838006,19.929566851672558,48.837209302325576,1262380.8888791932,1513967.9320511103,51.892124
23,40,36,4,0.774313595761851,17.347594603051586,52.5,1513967.9320511103,1776604.9513235404,51.58993
24,22,22,0,0.7292007464583172,8.183399809472627,59.09090909090909,1776604.9513235404,1921991.6375252323,47.762413
