start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,sharpe,max_dd,liquidations,final_capital
0,1440,Sideways,6.459205689018891,2.270613143709525,4.1885925453093655,10,80.0,13.674824437935506,0.5823406979903469,0,10645.920568901889
1440,2880,Sideways,1.02881572471435,-2.0224330193216757,3.051248744036026,13,69.23076923076923,2.805523263310195,2.4416566798282595,0,10102.881572471435
2880,4320,Sideways,5.276315845082536,-0.5914351004940368,5.867750945576573,18,66.66666666666666,5.486672964222817,1.793102369701258,0,10527.631584508254
4320,5760,Bear,2.2810152484850734,-4.493761894214929,6.774777142700002,16,56.25,4.128131604218242,1.4322223063863364,0,10228.101524848507
5760,7200,Bear,3.880752455089223,-3.5276730419637223,7.408425497052946,10,70.0,8.445199705098098,1.0415003464825945,0,10388.075245508922
7200,8640,Sideways,4.1678313202708335,2.1740653023939758,1.9937660178768577,14,64.28571428571429,6.654209164100827,1.2468340018043962,0,10416.783132027083
8640,10080,Bull,4.177589515901818,3.882065420730484,0.29552409517133427,10,100.0,30.29759196125777,0.0,0,10417.758951590182
10080,11520,Sideways,3.763592685864423,1.8614519495474038,1.9021407363170193,6,100.0,23.51606516000639,0.0,0,10376.359268586442
11520,12960,Sideways,0.9087213121658351,-1.1782215588216938,2.086942870987529,4,75.0,27.306756391915698,0.0,0,10090.872131216584
12960,14400,Bear,2.877724035792671,-5.201186834529879,8.07891087032255,15,60.0,7.751599907022749,0.770963355586143,0,10287.772403579267
14400,15840,Bull,4.970953780762465,7.248375460768837,-2.2774216800063716,7,100.0,23.90273527272769,0.0,0,10497.095378076247
