Metric,Exit_0.75,Exit_0.80,Winner
Return per 5-day window,2.679059234883413,3.201923033754429,Exit 0.80
Sharpe Ratio (annualized),2.783617345965644,3.3681376697282785,Exit 0.80
Win Rate,52.00525969756738,54.092526690391466,Exit 0.80
Total Trades,1521.0,1405.0,Exit 0.75
Trades per Day,3.0727272727272728,2.8383838383838382,Exit 0.75
ML Exit Usage,92.70216962524654,91.45907473309609,Exit 0.75
Avg Hold Time (candles),12.107166337935569,13.866192170818506,Exit 0.75
