window,total_trades,long_trades,short_trades,avg_leveraged_return,total_return_pct,win_rate,final_capital,avg_position_size
0,91,52,39,0.13012504778466044,-16.3664593937823,19.78021978021978,8363.35406062177,70.88143
1,77,49,28,0.04753079704826792,-18.11048154360032,19.480519480519483,8188.951845639968,71.01782
2,97,58,39,0.0668232886761414,-20.221418252928153,21.649484536082475,7977.858174707185,69.47948
3,83,42,41,0.07360745729848468,-16.542708925462158,20.481927710843372,8345.729107453784,67.91407
4,52,22,30,0.06065185255067717,-10.02531698481971,26.923076923076923,8997.468301518029,65.79588
5,51,17,34,0.032966448988866456,-10.965174993810924,29.411764705882355,8903.482500618908,65.686
6,69,27,42,0.1348900407800633,-10.79475166729495,27.536231884057973,8920.524833270505,66.809425
7,51,24,27,0.2960430682329993,-2.7158629521844158,29.411764705882355,9728.413704781558,68.48896
8,43,22,21,0.40715354172195706,-0.01486401819758612,30.23255813953488,9998.513598180241,69.960396
9,59,30,29,0.41027657295244463,0.9406572830912773,32.20338983050847,10094.065728309128,69.5481
10,60,32,28,0.2927620266080925,-3.759159378079512,28.333333333333332,9624.084062192049,70.12957
11,57,34,23,0.16970724097504017,-8.559368787226305,29.82456140350877,9144.06312127737,70.13136
12,67,42,25,0.15423957500906973,-11.38967497360709,28.35820895522388,8861.032502639291,70.07444
13,79,49,30,0.3288661809167505,-4.394313293658761,30.37974683544304,9560.568670634124,70.30881
14,76,53,23,0.29142041226116633,-6.397930307760744,23.684210526315788,9360.206969223926,70.810104
15,67,48,19,0.3803255453355345,-1.5614273361008235,28.35820895522388,9843.857266389918,70.84099
16,55,37,18,0.36300291564367565,-1.7287338312707834,29.09090909090909,9827.126616872922,69.29814
17,46,28,18,0.42402888397375843,1.088483954929361,32.608695652173914,10108.848395492936,68.48154
18,39,24,15,0.19245875420168934,-5.14876642829342,35.8974358974359,9485.123357170658,67.06656
19,27,19,8,-0.17126129713300295,-10.39069040547838,40.74074074074074,8960.930959452162,66.44463
20,21,12,9,-0.24376809928751295,-8.989183355781988,47.61904761904761,9101.081664421801,65.53278
21,21,12,9,-0.05264572362458499,-6.7802244906560185,42.857142857142854,9321.977550934398,66.82881
22,15,8,7,0.18098285233293412,-3.195934791881045,46.666666666666664,9680.406520811895,66.654434
23,19,9,10,0.35254374073023104,-1.1545799568483017,36.84210526315789,9884.54200431517,62.3685
24,31,14,17,0.5858897946004338,3.773245337989374,25.806451612903224,10377.324533798937,62.610435
25,41,17,24,0.12853731750801844,-7.590103209168629,21.951219512195124,9240.989679083137,63.105072
26,38,11,27,-0.026988069668974796,-9.771147926543236,18.421052631578945,9022.885207345676,63.520252
27,38,5,33,-0.10304050023635566,-10.302917244456312,23.684210526315788,8969.708275554369,65.430145
28,43,7,36,-0.010972059849731776,-9.9657695535518,23.25581395348837,9003.42304464482,64.93493
29,31,7,24,0.2639882816319231,-1.7215286766305145,32.25806451612903,9827.847132336949,64.00781
30,26,5,21,0.980395334810513,11.728302896191963,42.30769230769231,11172.830289619196,63.577915
31,26,5,21,0.6534793182261214,4.429778725878459,30.76923076923077,10442.977872587846,63.000244
32,23,7,16,0.4186807256530838,0.07632998904004125,30.434782608695656,10007.632998904004,61.215134
33,15,3,12,0.12351960965258366,-2.993028574061991,26.666666666666668,9700.6971425938,61.839382
34,19,5,14,-0.11288237774678235,-6.32120065978701,31.57894736842105,9367.879934021299,61.99727
35,19,5,14,-0.3902455165548396,-9.35857467880638,36.84210526315789,9064.142532119362,60.586082
36,15,5,10,-0.3332288147496883,-7.194004164653016,46.666666666666664,9280.599583534698,59.346813
37,42,26,16,0.211228018147141,-8.18120374633203,40.476190476190474,9181.879625366797,65.88495
38,60,34,26,0.1875747534912865,-8.924161805598759,31.666666666666664,9107.583819440124,64.47362
39,72,40,32,0.37345647828948997,-3.4519830736473343,30.555555555555557,9654.801692635267,64.37363
40,75,43,32,0.24189928588848178,-9.501847146723957,22.666666666666664,9049.815285327604,65.05651
41,79,46,33,0.17099665792284768,-14.055276171040132,24.050632911392405,8594.472382895987,65.163574
42,64,37,27,0.34185991393772525,-4.15771336019392,26.5625,9584.228663980608,65.215065
43,43,22,21,0.3694733492473905,-2.6931708815495403,34.883720930232556,9730.682911845046,64.609215
44,34,19,15,0.79811948168078,6.028495587350662,50.0,10602.849558735066,64.391495
45,30,14,16,1.4077193096274176,18.16217130965575,66.66666666666666,11816.217130965575,63.115524
46,27,13,14,1.4685704843486045,17.770552195338894,62.96296296296296,11777.05521953389,63.236248
47,18,6,12,1.639251617567036,14.057097035820714,55.55555555555556,11405.709703582072,64.10407
48,34,16,18,0.978393716194795,12.564913326787682,44.11764705882353,11256.491332678768,66.69354
49,33,16,17,0.7425166138548062,7.798287744260743,36.36363636363637,10779.828774426074,67.75456
50,32,22,10,0.3618850400836718,0.02685849093966681,40.625,10002.685849093967,64.92468
51,32,23,9,0.4163027762206466,1.6017782725074174,43.75,10160.177827250742,63.580227
52,32,22,10,0.2860832101431984,-0.8541216130782413,37.5,9914.587838692176,62.69367
53,21,15,6,0.11211615879382522,-3.9212529027606795,42.857142857142854,9607.874709723932,58.794773
54,19,11,8,0.05802510218957663,-4.044882191796223,36.84210526315789,9595.511780820378,57.616188
55,19,8,11,-0.4620874869023737,-9.515741486183124,31.57894736842105,9048.425851381688,58.001717
56,16,5,11,0.09267980201077206,-3.707081753227812,50.0,9629.291824677219,59.95586
57,14,6,8,-0.2753505424699665,-6.725953128666079,57.14285714285714,9327.404687133392,59.43242
