entry_threshold,exit_threshold,mean_return,std_return,sharpe_ratio,win_rate,total_trades,avg_trades_per_window,ml_exit_rate,positive_windows,total_windows,composite_score
0.8,0.85,9.833119786073173,11.969892822209903,7.018790953275916,33.50703491401772,1919,18.813725490196077,47.95572549276569,95,102,193.19653698516342
0.8,0.75,10.440037679228663,12.959625460146539,6.88289042037802,34.04067197170645,2262,21.75,57.21154980552342,96,104,188.74635009571537
0.8,0.7,10.268074142561476,12.815615275980894,6.845588259696759,33.75688267683185,2361,22.701923076923077,59.59930550699285,95,104,185.14952792309296
0.8,0.8,10.012834888272785,12.995479032927891,6.583032535286871,33.34921391138637,2099,20.182692307692307,51.6786137099824,97,104,169.15168616356806
0.75,0.75,10.48743918293492,14.08296457778429,6.362629110091372,32.815611310234964,2511,23.68867924528302,55.66199835621721,95,106,155.48641299447283
0.75,0.85,9.600948490818142,12.966821210808591,6.326184542220191,32.62310606060606,2112,20.307692307692307,47.730950597968224,95,104,152.8085828746668
0.7,0.7,9.1261192677876,12.46969422864089,6.253045310837251,33.18301390454717,2661,25.10377358490566,57.10099101904118,93,106,151.85801050220925
0.75,0.7,10.154823209385775,13.771002231552943,6.3003990589875825,32.37877052310042,2619,24.70754716981132,57.34062940046489,95,106,150.43025737152203
0.7,0.75,8.836490990136216,12.20856324057503,6.184100252583677,33.085647242862734,2557,24.12264150943396,55.05562313051154,93,106,148.0919332756673
0.75,0.8,10.039016387018476,14.109136959546689,6.079277297868237,32.438284971849285,2309,21.78301886792453,51.1988035386302,95,106,140.31384363640504
0.65,0.75,8.283151346314103,12.053600894024582,5.871377833489712,32.53937764118325,2603,24.556603773584907,56.17999785346511,93,106,131.28890443440068
0.65,0.7,7.94850812725462,11.816023696435876,5.747454066104159,32.07825765965301,2709,25.556603773584907,57.783099978326426,92,106,124.0225090352699
0.7,0.8,8.277652235419056,12.46806575779775,5.672432442473141,32.83390410958904,2336,22.037735849056602,50.58715284735037,93,106,123.65164986131123
0.6,0.75,8.186030954152702,12.349097599180277,5.663689019424654,32.47895944912012,2614,24.660377358490567,56.29423065318034,92,106,121.93815807157965
0.65,0.8,7.997904523346841,12.390138722319636,5.515200255536941,32.508389261744966,2384,22.49056603773585,52.64532243986777,93,106,115.73287692111735
0.6,0.7,7.890752109690735,12.125434191831422,5.560096649620656,31.948529411764703,2720,25.660377358490567,58.61615136101161,92,106,115.5990536224481
0.7,0.85,7.894235910070285,12.540050305071578,5.378634851916213,32.244517032197855,2143,20.409523809523808,46.44207431582385,94,105,109.17890273802351
0.6,0.8,7.846077799648267,12.58877774112631,5.325130850566359,32.81512605042017,2380,22.452830188679247,52.693539772901566,93,106,108.91140742697058
0.65,0.85,7.694480572554386,12.497940133100235,5.260198185602672,32.154340836012864,2177,20.733333333333334,47.62924296261555,93,105,104.1316022446251
0.6,0.85,7.504265340877155,12.633443530007247,5.075135921584923,32.27146814404433,2166,20.62857142857143,47.40180543988727,92,105,97.28655060487947
