start_idx,end_idx,regime,ml_return,bh_return,difference,num_trades,num_long,num_short,win_rate,win_rate_long,win_rate_short,sharpe,max_dd,ml_exit_rate
0,1440,Sideways,5.475406998905455,2.473028405647383,3.0023785932580718,28,4,24,67.85714285714286,100.0,62.5,8.53976964618168,0.9370329699553771,14.285714285714285
1440,2880,Bull,1.677636112075288,8.03813659558464,-6.360500483509353,32,10,22,71.875,100.0,59.09090909090909,2.1054608277122067,2.9016251465824725,31.25
2880,4320,Sideways,5.94539505915418,1.5748336042585827,4.370561454895597,33,12,21,66.66666666666666,91.66666666666666,52.38095238095239,6.093079266249297,1.5524638512638014,36.36363636363637
4320,5760,Sideways,7.999679005383259,-1.2266906927041816,9.22636969808744,34,14,20,76.47058823529412,92.85714285714286,65.0,8.511259999408185,1.7291989792068287,41.17647058823529
5760,7200,Sideways,9.482549569173845,0.03951854825241705,9.443031020921428,37,13,24,64.86486486486487,76.92307692307693,58.333333333333336,8.51898137486361,1.6085542859877449,35.13513513513514
7200,8640,Sideways,7.006765343398692,-0.5108854068724317,7.517650750271124,32,8,24,68.75,100.0,58.333333333333336,8.46440824899714,1.184520799603566,25.0
8640,10080,Bear,5.4459196092432105,-3.3590363127303107,8.804955921973521,27,2,25,59.25925925925925,100.0,56.00000000000001,7.278494707514869,1.6673040052244161,7.4074074074074066
10080,11520,Bull,5.74703796359061,4.403234106157836,1.343803857432774,30,9,21,66.66666666666666,88.88888888888889,57.14285714285714,10.215512309448206,0.6336208455834216,30.0
11520,12960,Sideways,6.840140736258254,-1.084716428085674,7.924857164343928,31,5,26,61.29032258064516,100.0,53.84615384615385,5.4475097275102895,2.264285144986654,16.129032258064516
12960,14400,Bear,6.497155804752511,-3.1152001581833435,9.612355962935855,31,7,24,67.74193548387096,71.42857142857143,66.66666666666666,9.061303606132263,0.7565647502463365,22.58064516129032
14400,15840,Sideways,15.341614927690117,-1.1200991381738272,16.461714065863944,33,12,21,72.72727272727273,83.33333333333334,66.66666666666666,10.383215537120021,0.5623773911238763,36.36363636363637
15840,17280,Bear,9.773360068103228,-3.3298183470946454,13.103178415197874,28,5,23,67.85714285714286,100.0,60.86956521739131,8.782448182582188,1.986464397275074,17.857142857142858
17280,18720,Sideways,8.801149706575979,1.1915368361792948,7.609612870396684,29,10,19,72.41379310344827,80.0,68.42105263157895,9.364311010652681,1.9980720968673544,34.48275862068966
18720,20160,Sideways,9.562280913178348,0.8255066612031196,8.736774251975229,27,9,18,81.48148148148148,88.88888888888889,77.77777777777779,12.145377906575076,0.5568451349297158,33.33333333333333
20160,21600,Bull,5.719921765029158,3.9272006569232705,1.7927211081058871,25,7,18,76.0,100.0,66.66666666666666,10.525967500098098,0.6520449508767626,28.000000000000004
21600,23040,Sideways,8.788210334564118,-0.010125835177738289,8.798336169741857,27,7,20,74.07407407407408,100.0,65.0,13.291299458157065,0.4952275951436073,25.925925925925924
23040,24480,Sideways,2.072060038244454,-1.5947964608823166,3.6668564991267703,26,2,24,50.0,50.0,50.0,5.04598351486368,1.2641631876417592,7.6923076923076925
24480,25920,Sideways,7.65791273612349,0.26696185254911414,7.390950883574376,29,7,22,75.86206896551724,100.0,68.18181818181817,9.262621354537979,1.106721282817987,24.137931034482758
25920,27360,Bull,8.825229729122256,6.768516237696724,2.0567134914255325,40,18,22,82.5,94.44444444444444,72.72727272727273,7.910941303686288,2.0452083747705005,45.0
27360,28800,Sideways,8.82142147637811,-0.7849400299850099,9.60636150636312,32,8,24,78.125,100.0,70.83333333333334,6.962681116449763,1.1249940556570373,25.0
28800,30240,Bear,44.13322434976122,-6.3843160203858496,50.517540370147074,44,20,24,79.54545454545455,95.0,66.66666666666666,6.985094869253337,1.24763510885736,45.45454545454545
