threshold,long_count,long_pct,short_count,short_pct,ratio
0.5,2706,8.867188780024248,575,1.884195694203231,4.706086956521739
0.55,2272,7.445030638660419,520,1.7039682799750957,4.369230769230769
0.6,1920,6.291575187600354,488,1.59910869351509,3.9344262295081966
0.65,1660,5.439591047612806,452,1.4811416587475832,3.672566371681416
0.7,1436,4.705573942392765,426,1.3959432447488285,3.3708920187793425
0.75,1235,4.046924664940852,413,1.3533440377494512,2.990314769975787
0.8,985,3.2277091457220566,396,1.297637382442573,2.4873737373737375
0.85,720,2.3593406953501326,386,1.2648687616738212,1.8652849740932642
0.9,392,1.2845299341350722,370,1.2124389684438182,1.0594594594594595
