start_idx,end_idx,regime,xgb_return,bh_return,difference,num_trades,win_rate,sharpe,max_dd
0,1440,Sideways,-1.5178054339225855,1.877632284180478,-3.3954377181030635,22,36.36363636363637,1.208629413262891,3.213371516088806
1440,2880,Sideways,-3.7039176483529084,-1.9199398516340356,-1.7839777967188728,18,44.44444444444444,-1.9924576773084886,5.517015030719507
2880,4320,Sideways,-0.5476459738276026,-0.8201022009771113,0.2724562271495087,26,46.15384615384615,1.7404119281275876,4.3975295717999945
4320,5760,Bear,-4.215341020018696,-4.476676862179103,0.26133584216040706,22,31.818181818181817,-1.7907882178148748,5.525249473141356
5760,7200,Bear,-4.665535966025018,-2.6072446699346106,-2.058291296090408,20,45.0,-3.121759364786775,6.277317582099416
7200,8640,Sideways,-1.403847637478666,0.7528214993384328,-2.156669136817099,22,50.0,1.0962490888099587,3.832696603679233
8640,10080,Bull,-1.6371200438820233,3.8234243843739066,-5.46054442825593,15,53.333333333333336,0.18640651731482571,2.584205198694886
10080,11520,Sideways,-0.3675067021099676,2.123385539553733,-2.4908922416637007,13,38.46153846153847,2.781697955391577,2.0561455447396395
11520,12960,Sideways,-0.052410820201039314,-1.4139875292337014,1.361576709032662,8,50.0,5.836858496867281,0.48030818646049844
12960,14400,Bear,-6.006247334569307,-5.472513919015698,-0.5337334155536082,25,40.0,-3.5786612349851286,5.802666633105597
14400,15840,Bull,3.3337423020900863,7.132804185728906,-3.79906188363882,12,83.33333333333334,12.368679169958552,0.4200368737986563
