window,side,entry_price,exit_price,size,pnl_pct,leveraged_pnl_pct,net_pnl,exit_reason,hold_time
1,SHORT,121406.7,121463.8,9368.45703125,-0.04703200070507297,-0.18812800282029188,-55.09852228472565,ML_EXIT,1
1,SHORT,121463.8,120970.6,9348.155795020035,0.4060469045098186,1.6241876180392745,114.43896575765618,ML_EXIT,1
1,SHORT,120970.6,120833.1,9370.627156452218,0.11366398116567165,0.4546559246626866,5.1216029190517744,ML_EXIT,1
1,SHORT,120833.1,120946.2,9391.411537111544,-0.09360018074516939,-0.37440072298067756,-72.72715884148255,ML_EXIT,1
1,SHORT,120946.2,120657.3,9330.74996414568,0.238866537352967,0.955466149411868,51.829157537089266,ML_EXIT,1
1,SHORT,120657.3,121012.4,9347.321205442535,-0.29430461314814044,-1.1772184525925617,-147.42767487533715,ML_EXIT,1
1,SHORT,121012.4,121180.6,9272.38815895311,-0.13899402044750095,-0.5559760817900038,-88.64181301032022,ML_EXIT,1
1,SHORT,121180.6,120910.7,9193.398507546648,0.222725419745412,0.890901678981648,45.13054762902026,ML_EXIT,1
1,SHORT,120910.7,120574.4,9237.324050683404,0.27813915559169117,1.1125566223667647,65.82116425262248,ML_EXIT,1
1,SHORT,120574.4,120730.9,9080.954610359138,-0.12979537945036426,-0.519181517801457,-83.47045641836053,ML_EXIT,1
1,SHORT,120730.9,120467.9,9206.716712483889,0.21783984050479208,0.8713593620191683,43.396721158876204,ML_EXIT,1
1,SHORT,120467.9,120443.3,9065.311157327404,0.020420377544550266,0.08168151017820106,-28.856561573651636,ML_EXIT,1
1,SHORT,120443.3,120411.1,9072.05531629849,0.026734571370924817,0.10693828548369927,-26.586720851811563,ML_EXIT,1
1,SHORT,120411.1,120159.7,9093.874938638253,0.20878473828410232,0.8351389531364093,39.570992207524775,ML_EXIT,1
1,SHORT,120159.7,120132.2,8965.784367348717,0.022886208936939757,0.09154483574775903,-27.655424896807233,ML_EXIT,1
