side,entry_time,entry_price,entry_long_prob,entry_short_prob,exit_time,exit_price,exit_prob,exit_reason,hold_candles,price_change_pct,leveraged_pnl_pct,pnl_usd,balance_after
SHORT,2025-07-22 11:50:00,119174.3,0.0477646,0.8150452,2025-07-22 13:50:00,118324.0,0.7212999,ML Exit,24,0.7134927580862677,2.8539710323450707,285.3971032345071,10285.397103234507
LONG,2025-07-22 13:55:00,118182.4,0.83840966,0.39679778,2025-07-22 15:25:00,118926.7,0.75624394,ML Exit,18,0.6297892071915978,2.5191568287663912,259.1052834918727,10544.502386726379
SHORT,2025-07-22 19:10:00,119899.9,0.048566002,0.808783,2025-07-22 19:50:00,119192.0,0.74282587,ML Exit,8,0.5904091663128945,2.361636665251578,249.0228345332579,10793.525221259637
SHORT,2025-07-22 20:20:00,119891.6,0.06523755,0.861238,2025-07-22 21:55:00,119452.3,0.7745717,ML Exit,19,0.36641432760927617,1.4656573104371047,158.19609145926452,10951.7213127189
SHORT,2025-07-22 22:30:00,119939.0,0.054317147,0.8222282,2025-07-23 00:50:00,119633.7,0.7572355,ML Exit,28,0.25454606091430054,1.0181842436572022,111.50870081535155,11063.230013534252
LONG,2025-07-23 13:40:00,117600.6,0.8247413,0.11674223,2025-07-23 14:25:00,118005.7,0.70408845,ML Exit,9,0.3444710316103755,1.377884126441502,152.4384902282005,11215.668503762452
LONG,2025-07-23 15:10:00,117827.5,0.85424316,0.17421539,2025-07-23 15:15:00,117958.9,0.7973643,ML Exit,1,0.11151895779847165,0.4460758311938866,50.0303865021093,11265.69889026456
LONG,2025-07-23 16:10:00,117903.6,0.9181567,0.09783966,2025-07-23 16:25:00,117871.8,0.77438617,ML Exit,3,-0.026971186630436142,-0.10788474652174457,-12.153970691664913,11253.544919572896
LONG,2025-07-23 16:30:00,117554.4,0.923534,0.1579718,2025-07-23 17:50:00,117866.4,0.7224709,ML Exit,16,0.26540903615687716,1.0616361446275087,119.47170041807857,11373.016619990975
LONG,2025-07-23 20:30:00,117657.3,0.9187054,0.19632931,2025-07-23 21:50:00,118149.5,0.7163866,ML Exit,16,0.41833358406150495,1.6733343362460198,190.3085921692755,11563.32521216025
SHORT,2025-07-24 00:30:00,119091.3,0.11755912,0.8304894,2025-07-24 03:55:00,118505.0,0.7125935,ML Exit,41,0.492311361115382,1.969245444461528,227.71025496873705,11791.035467128988
LONG,2025-07-24 13:55:00,118206.3,0.8195816,0.60214585,2025-07-24 14:00:00,118424.9,0.71111697,ML Exit,1,0.18493092161753752,0.7397236864701501,87.22108223044944,11878.256549359437
SHORT,2025-07-24 14:55:00,119064.9,0.11455405,0.88785475,2025-07-24 16:30:00,118694.2,0.74358606,ML Exit,19,0.3113428054783543,1.2453712219134172,147.92838873076815,12026.184938090206
SHORT,2025-07-24 17:20:00,119139.3,0.041283082,0.8199353,2025-07-24 20:20:00,118797.6,0.7031489,ML Exit,36,0.2868071240975875,1.14722849639035,137.96782063837503,12164.15275872858
LONG,2025-07-25 04:20:00,115146.2,0.8426626,0.14533216,2025-07-25 04:45:00,116073.9,0.74353844,ML Exit,5,0.8056713986219233,3.222685594487693,392.0123986470233,12556.165157375603
LONG,2025-07-25 07:50:00,114744.2,0.8937183,0.097737536,2025-07-25 08:05:00,115465.9,0.7427138,ML Exit,3,0.6289642526593912,2.5158570106375646,315.8951613790653,12872.060318754668
LONG,2025-07-25 08:40:00,115143.7,0.8307685,0.101809286,2025-07-25 09:15:00,115485.7,0.79316497,ML Exit,7,0.2970201582891639,1.1880806331566556,152.93045573536708,13024.990774490034
LONG,2025-07-25 14:35:00,115200.1,0.834286,0.48076737,2025-07-25 15:55:00,115718.7,0.7612407,ML Exit,16,0.4501732203357386,1.8006928813429544,234.5400816718186,13259.530856161853
LONG,2025-07-25 16:15:00,115690.6,0.8267296,0.48818877,2025-07-25 16:15:00,115690.6,0.7204771,ML Exit,0,0.0,0.0,0.0,13259.530856161853
SHORT,2025-07-28 11:50:00,118772.1,0.0686238,0.8040614,2025-07-28 13:25:00,118604.6,0.73686147,ML Exit,19,0.14102638582630095,0.5641055433052038,74.79774857587296,13334.328604737726
LONG,2025-07-28 18:05:00,117540.0,0.86916107,0.12252153,2025-07-28 19:00:00,118082.4,0.84889156,ML Exit,11,0.46145992853496187,1.8458397141398475,246.13033300015874,13580.458937737885
LONG,2025-07-28 19:40:00,117685.7,0.87386787,0.16889285,2025-07-28 19:50:00,117943.0,0.90230006,ML Exit,2,0.2186331899287704,0.8745327597150816,118.76556233017257,13699.224500068058
LONG,2025-07-28 20:10:00,117762.3,0.8055503,0.15112188,2025-07-28 20:15:00,117811.4,0.88158154,ML Exit,1,0.04169415848704659,0.16677663394818637,22.847105498218767,13722.071605566276
LONG,2025-07-28 20:20:00,117710.4,0.8539168,0.14344671,2025-07-28 20:30:00,117780.2,0.81639856,ML Exit,2,0.059298073917005555,0.23719229566802222,32.54769665445249,13754.619302220728
LONG,2025-07-29 00:30:00,117805.1,0.8535,0.06382849,2025-07-29 00:55:00,117973.8,0.72142494,ML Exit,5,0.143202628748668,0.572810514994672,78.78790566060711,13833.407207881335
LONG,2025-07-29 01:55:00,117764.4,0.815959,0.049265344,2025-07-29 02:40:00,117957.3,0.79174876,ML Exit,9,0.16380162425997052,0.6552064970398821,90.63738278802185,13924.044590669357
SHORT,2025-07-29 06:20:00,119058.7,0.08432561,0.8296501,2025-07-29 10:35:00,118576.3,0.7174391,ML Exit,51,0.4051782860051338,1.6207131440205351,225.66882086025856,14149.713411529616
SHORT,2025-07-29 12:30:00,118886.1,0.07454097,0.80561996,2025-07-29 14:05:00,118094.7,0.75385046,ML Exit,19,0.665679166866445,2.66271666746578,376.7667774074399,14526.480188937056
SHORT,2025-07-29 17:20:00,117879.3,0.17257234,0.8101554,2025-07-29 20:05:00,117133.5,0.7178199,ML Exit,33,0.6326810559614817,2.530724223845927,367.6251530136096,14894.105341950664
SHORT,2025-07-30 14:50:00,118569.1,0.038886696,0.8776685,2025-07-30 19:00:00,115955.5,0.87000924,ML Exit,50,2.2042842528112345,8.817137011244938,1313.2336745989414,16207.339016549606
LONG,2025-07-30 19:05:00,116016.8,0.805835,0.1501528,2025-07-30 19:45:00,116910.4,0.7291672,ML Exit,8,0.770233276559939,3.080933106239756,499.33727340138967,16706.676289950996
SHORT,2025-07-31 04:50:00,118503.3,0.090125054,0.80974525,2025-07-31 13:30:00,117826.7,0.70234054,ML Exit,104,0.5709545641345057,2.283818256538023,381.5501231706101,17088.226413121607
SHORT,2025-07-31 16:30:00,118779.2,0.037738957,0.8977814,2025-07-31 20:40:00,116512.6,0.70308095,ML Exit,50,1.908246561687561,7.632986246750244,1304.3419719271149,18392.568385048722
SHORT,2025-08-01 12:35:00,115614.5,0.16962172,0.8208783,2025-08-01 13:50:00,114279.9,0.74822146,ML Exit,15,1.15435347642381,4.61741390569524,849.2610102257461,19241.829395274468
LONG,2025-08-01 13:55:00,114298.1,0.8117211,0.5443445,2025-08-01 14:30:00,115748.2,0.86721367,ML Exit,7,1.2687000046369898,5.074800018547959,976.4843617203553,20218.313756994823
SHORT,2025-08-01 14:35:00,115602.0,0.26825505,0.8229991,2025-08-01 15:00:00,115300.1,0.7228016,ML Exit,5,0.2611546513036056,1.0446186052144224,211.20426716619502,20429.518024161018
SHORT,2025-08-01 15:40:00,115174.2,0.3718151,0.80891836,2025-08-01 17:00:00,114663.0,0.70245934,ML Exit,16,0.4438494037727174,1.7753976150908697,362.7051757755141,20792.223199936532
SHORT,2025-08-01 17:55:00,114392.3,0.3675817,0.80052716,2025-08-01 18:15:00,113751.2,0.8282167,ML Exit,4,0.5604398198130519,2.2417592792522076,466.1115929474075,21258.33479288394
SHORT,2025-08-02 08:35:00,113763.9,0.08911214,0.8047205,2025-08-02 18:35:00,112450.8,0.3412429,Emergency Max Hold,120,1.1542325816889112,4.616930326755645,981.4825060159054,22239.817298899845
SHORT,2025-08-05 07:00:00,114220.0,0.60220563,0.8473521,2025-08-05 14:00:00,114018.2,0.75635487,ML Exit,84,0.17667658903869982,0.7067063561547993,157.17020244853978,22396.987501348383
LONG,2025-08-10 07:40:00,117611.4,0.8051179,0.25568002,2025-08-10 08:50:00,118353.1,0.74563783,ML Exit,14,0.6306361458158067,2.522544583263227,564.9739950294056,22961.96149637779
