window,total_trades,long_trades,short_trades,return_pct,final_capital,win_rate,ml_exit_rate,avg_hold_time
0,77,39,38,-20.498153608712474,7950.184639128753,58.44155844155844,84.4155844155844,12.805194805194805
1,65,34,31,-21.440965952804664,7855.903404719534,56.92307692307692,81.53846153846153,16.384615384615383
2,56,30,26,-26.960298761623225,7303.970123837677,48.214285714285715,76.78571428571429,19.875
3,56,30,26,-24.216752321184014,7578.324767881599,51.78571428571429,78.57142857142857,19.982142857142858
4,57,25,32,-22.60292455029633,7739.707544970367,56.14035087719298,78.94736842105263,19.789473684210527
5,66,31,35,-31.32001639932957,6867.998360067043,53.03030303030303,80.3030303030303,17.439393939393938
6,80,42,38,-40.69641196232788,5930.3588037672125,50.0,81.25,14.2625
7,79,42,37,-32.1608493913627,6783.915060863729,53.16455696202531,84.81012658227847,12.873417721518987
8,63,34,29,-22.650162870828726,7734.983712917127,52.38095238095239,85.71428571428571,12.920634920634921
9,62,31,31,-10.078601367672636,8992.139863232736,48.38709677419355,91.93548387096774,13.516129032258064
10,63,27,36,-11.771984948430363,8822.801505156964,44.44444444444444,92.06349206349206,14.079365079365079
11,50,20,30,-3.0579904467733834,9694.200955322662,48.0,94.0,18.72
12,48,17,31,1.5722819057841662,10157.228190578417,47.91666666666667,91.66666666666666,21.395833333333332
13,67,18,49,-6.878753936745234,9312.124606325477,50.74626865671642,89.55223880597015,17.65671641791045
14,59,17,42,-9.329460870736966,9067.053912926303,55.932203389830505,84.7457627118644,19.47457627118644
15,51,11,40,-4.335011017974248,9566.498898202575,60.78431372549019,80.3921568627451,21.54901960784314
16,53,12,41,-2.1662755547587405,9783.372444524126,58.490566037735846,81.13207547169812,22.20754716981132
17,57,12,45,-9.309193504637987,9069.080649536201,50.877192982456144,84.21052631578947,20.49122807017544
18,45,16,29,-2.4050946403495437,9759.490535965046,46.666666666666664,82.22222222222221,27.22222222222222
19,38,15,23,-7.176442202611652,9282.355779738835,42.10526315789473,78.94736842105263,31.842105263157894
20,35,10,25,-13.712948441116588,8628.705155888341,42.857142857142854,80.0,32.2
21,40,15,25,-3.3177618972306484,9668.223810276935,60.0,85.0,29.975
22,28,12,16,-0.4479121497578672,9955.208785024213,67.85714285714286,75.0,43.32142857142857
