entry_time,exit_time,side,entry_price,exit_price,entry_prob,hold_time,pnl_pct,pnl_dollars,balance,exit_reason,position_size_pct,hold_bin
2025-07-14 22:40:00,2025-07-14 23:00:00,SHORT,120136.6,119968.7,0.8430289,4,0.0015903030383749408,10.004385202294468,10010.004385202294,ml_exit,0.62908671875,0-5
2025-07-14 23:00:00,2025-07-14 23:05:00,SHORT,119968.7,119911.5,0.83603567,1,-0.002092835881359152,-12.739414392141626,9997.264970810153,ml_exit,0.6081070303916931,0-5
2025-07-14 23:05:00,2025-07-14 23:10:00,SHORT,119911.5,119950.8,0.84057134,1,-0.005310966838043154,-33.00999651673255,9964.25497429342,ml_exit,0.6217140555381775,0-5
2025-07-14 23:10:00,2025-07-14 23:15:00,SHORT,119950.8,119829.7,0.7955752,1,3.832237884218541e-05,0.18585810571094794,9964.440832399132,ml_exit,0.4867256283760071,0-5
2025-07-15 04:20:00,2025-07-15 04:30:00,SHORT,117384.5,117070.0,0.7935161,2,0.0067169174805873,32.163256253577245,9996.60408865271,ml_exit,0.48054832220077515,0-5
2025-07-15 04:35:00,2025-07-15 05:35:00,SHORT,117399.3,117061.8,0.81241757,12,0.007499216775568508,40.2760643775027,10036.880153030212,ml_exit,0.5372527241706848,10-20
2025-07-15 11:15:00,2025-07-15 11:50:00,LONG,116590.1,117034.8,0.81293,7,0.011256870008688458,68.61792181624922,10105.49807484646,ml_exit,0.60732501745224,5-10
2025-07-15 12:40:00,2025-07-15 12:55:00,LONG,116544.0,117216.9,0.87169015,3,0.01909514003294873,145.53979009215664,10251.037864938617,ml_exit,0.7542254328727722,0-5
2025-07-15 14:40:00,2025-07-15 14:50:00,LONG,116986.4,116103.3,0.6739042,2,-0.03419496283328631,-91.054850076966,10159.983014861651,stop_loss,0.2597604990005493,0-5
2025-07-15 14:50:00,2025-07-15 14:55:00,LONG,116103.3,116012.4,0.8898119,1,-0.007131693931180552,-57.93223668711729,10102.050778174535,ml_exit,0.7995297312736511,0-5
2025-07-15 14:55:00,2025-07-15 15:50:00,LONG,116012.4,116607.9,0.85196537,11,0.0165322879278422,117.727601722684,10219.778379897218,ml_exit,0.7049134373664856,10-20
2025-07-15 15:50:00,2025-07-15 16:00:00,LONG,116607.9,116730.6,0.880906,2,0.00020897726483408603,1.6600057955215202,10221.43838569274,ml_exit,0.7772649526596069,0-5
2025-07-15 16:00:00,2025-07-15 16:05:00,LONG,116730.6,117115.7,0.9100278,1,0.009196197055441889,79.90514238186833,10301.343528074609,ml_exit,0.850069522857666,0-5
2025-07-15 16:10:00,2025-07-15 16:15:00,LONG,116949.2,116748.3,0.75096583,1,-0.010871359530462602,-50.66573778960568,10250.677790285003,ml_exit,0.4524146318435669,0-5
2025-07-15 16:15:00,2025-07-15 16:20:00,LONG,116748.3,116912.8,0.9239956,1,0.0016360563708422305,14.841874644539903,10265.519664929543,ml_exit,0.8849890828132629,0-5
2025-07-15 18:25:00,2025-07-15 19:15:00,LONG,116852.5,117078.9,0.90303594,10,0.003749941165143892,32.05062574994718,10297.57029067949,ml_exit,0.832589864730835,10-20
2025-07-15 19:20:00,2025-07-15 21:05:00,LONG,117011.7,116663.1,0.7204299,21,-0.015916757042244198,-61.640134121228755,10235.930156558261,ml_exit,0.37607479095458984,20-50
2025-07-15 21:05:00,2025-07-15 21:10:00,LONG,116663.1,116956.8,0.85262007,1,0.006070022140676772,43.89960383055344,10279.829760388815,ml_exit,0.7065501809120178,0-5
2025-07-15 21:10:00,2025-07-15 21:15:00,LONG,116956.8,117040.0,0.69027096,1,-0.0011545049112151808,-3.568474219569226,10276.261286169245,ml_exit,0.30067744851112366,0-5
2025-07-16 09:05:00,2025-07-16 09:10:00,SHORT,118896.4,119003.7,0.77854836,1,-0.007609865395419977,-34.067867555596635,10242.193418613648,ml_exit,0.43564510345458984,0-5
2025-07-16 09:10:00,2025-07-16 09:15:00,SHORT,119003.7,119091.5,0.814295,1,-0.006951168745173568,-38.65081456203496,10203.542604051612,ml_exit,0.5428850054740906,0-5
