total_return,sharpe,win_rate,avg_holding_hours,avg_position_size,trades_per_week,max_dd,total_trades,signal_weight,volatility_weight,regime_weight,streak_weight,base_position,max_position,min_position
26.352050172606447,16.340754658565235,82.35294117647058,1.4872549019607841,66.13822266107991,42.5,-7.801504474092007,85,0.35,0.25,0.15,0.25,0.6,1.0,0.2
26.062466946601013,16.337221271093448,82.35294117647058,1.4872549019607841,65.42175210482075,42.5,-7.718133788321061,85,0.35,0.25,0.2,0.19999999999999996,0.6,1.0,0.2
25.926080247812287,15.957253579947226,82.35294117647058,1.4872549019607841,65.27841688586527,42.5,-7.872776353443968,85,0.4,0.25,0.15,0.19999999999999996,0.6,1.0,0.2
25.841165878773054,16.374803649053003,82.35294117647058,1.4872549019607841,64.91947833518093,42.5,-7.635451239932904,85,0.35,0.3,0.15,0.20000000000000007,0.6,1.0,0.2
25.773359616938606,16.330224715724547,82.35294117647058,1.4872549019607841,64.70528161868472,42.5,-7.634707122843841,85,0.35,0.25,0.25,0.15000000000000002,0.6,1.0,0.2
25.63740774393748,15.947143338109068,82.35294117647058,1.4872549019607841,64.5619463296061,42.5,-7.789474219832075,85,0.4,0.25,0.2,0.1499999999999999,0.6,1.0,0.2
25.552581685440813,16.370342293717272,82.35294117647058,1.4872549019607841,64.20300784904488,42.5,-7.551949324091717,85,0.35,0.3,0.2,0.15000000000000013,0.6,1.0,0.2
25.50122758164246,15.575178571615504,82.35294117647058,1.4872549019607841,64.41860985281731,42.5,-7.94409918281954,85,0.45,0.25,0.15,0.15000000000000002,0.6,1.0,0.2
25.416991932431632,15.98264759632387,82.35294117647058,1.4872549019607841,64.05967241972006,42.5,-7.706785016756161,85,0.4,0.3,0.15,0.15000000000000002,0.6,1.0,0.2
25.349209687626306,15.933537615373968,82.35294117647058,1.4872549019607841,63.84547570322383,42.5,-7.70611609164806,85,0.4,0.25,0.25,0.09999999999999998,0.6,1.0,0.2
25.33197818286006,16.40715663252673,82.35294117647058,1.4872549019607841,63.70073379891261,42.5,-7.469177848295988,85,0.35,0.35,0.15,0.15000000000000002,0.6,1.0,0.2
25.264472527717864,16.36222841620868,82.35294117647058,1.4872549019607841,63.48653743303194,42.5,-7.468391253449397,85,0.35,0.3,0.25,0.10000000000000009,0.6,1.0,0.2
25.21346407427203,15.558775312470269,82.35294117647058,1.4872549019607841,63.7021389459426,42.5,-7.86086544911766,85,0.45,0.25,0.2,0.10000000000000009,0.6,1.0,0.2
25.1293149307346,15.971371700886817,82.35294117647058,1.4872549019607841,63.343201582968454,42.5,-7.623351599325471,85,0.4,0.3,0.2,0.10000000000000009,0.6,1.0,0.2
25.04439067514692,16.401626710481068,82.35294117647058,1.4872549019607841,62.984263102407226,42.5,-7.385544422296979,85,0.35,0.35,0.2,0.10000000000000009,0.6,1.0,0.2
24.993930610254942,15.592038650516091,82.35294117647058,1.4872549019607841,63.199865386672094,42.5,-7.778169690767632,85,0.45,0.3,0.15,0.09999999999999998,0.6,1.0,0.2
24.926174465976093,15.538859691009185,82.35294117647058,1.4872549019607841,62.98566895066834,42.5,-7.777575995880498,85,0.45,0.25,0.25,0.050000000000000044,0.6,1.0,0.2
24.90959246850104,16.006083380682316,82.35294117647058,1.4872549019607841,62.84092802369794,42.5,-7.540574119704862,85,0.4,0.35,0.15,0.09999999999999998,0.6,1.0,0.2
24.842112194789312,15.956413165760981,82.35294117647058,1.4872549019607841,62.626731447447966,42.5,-7.539862214126409,85,0.4,0.3,0.25,0.050000000000000044,0.6,1.0,0.2
24.75727702933108,16.392240203239776,82.35294117647058,1.4872549019607841,62.2677927565174,42.5,-7.301854843062196,85,0.35,0.35,0.25,0.050000000000000044,0.6,1.0,0.2
24.707159822372017,15.57425110743483,82.35294117647058,1.4872549019607841,62.48339490053605,42.5,-7.694804847229903,85,0.45,0.3,0.2,0.050000000000000044,0.6,1.0,0.2
24.622909446782913,15.99349442241987,82.35294117647058,1.4872549019607841,62.124457397315695,42.5,-7.457009277840955,85,0.4,0.35,0.2,0.050000000000000044,0.6,1.0,0.2
24.488317330458422,15.606689881011835,82.35294117647058,1.4872549019607841,61.98112127114243,42.5,-7.612020189548469,85,0.45,0.35,0.15,0.04999999999999993,0.6,1.0,0.2
24.420860948988697,15.552766660637843,82.35294117647058,1.4872549019607841,61.76692420403068,42.5,-7.611384361608731,85,0.45,0.3,0.25,0.0,0.6,1.0,0.2
24.33669901156812,15.977022288677446,82.35294117647058,1.4872549019607841,61.40798670081031,42.5,-7.373388192516547,85,0.4,0.35,0.25,0.0,0.6,1.0,0.2
24.202537049485564,15.587365240458322,82.35294117647058,1.4872549019607841,61.26465057463706,42.5,-7.52852396802217,85,0.45,0.35,0.2,0.0,0.6,1.0,0.2
