mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
27.890916268030804,8.346652092125616,0.09795928001403809,0.017488517435115956,0.8,300,5,10,0.03,0.0,0.7,0.9,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9}",0.04716981132075472,0.0,0.015151515151515152,0.020773775490756624,0.01966308103189928,14
26.96226175626119,7.5639987572481635,0.1930664380391439,0.07724477946917022,0.9,300,3,10,0.03,0.3,0.5,0.5,"{'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5}",0.044444444444444446,0.0,0.015503875968992248,0.019982773471145566,0.018418696164856033,15
19.190898577372234,6.260272474818551,0.15758562088012695,0.04501144884318923,0.8,300,3,8,0.05,0.0,0.5,0.9,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9}",0.0425531914893617,0.0,0.015748031496062992,0.019433740995141564,0.01756667047500787,16
14.389424959818522,5.644475206746851,0.0979613463083903,0.025636278707770226,0.9,700,5,6,0.1,0.3,0.7,0.9,"{'subsample': 0.9, 'n_estimators': 700, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9}",0.02654867256637168,0.0,0.02962962962962963,0.01872610073200044,0.013300957624050489,17
17.64878050486247,5.202468307923609,0.09554839134216309,0.025256433623194092,0.8,300,3,8,0.05,0.1,0.3,0.7,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.3, 'colsample_bylevel': 0.7}",0.021505376344086023,0.0,0.029411764705882353,0.01697238034998946,0.012427765025415694,18
14.60096033414205,5.708671474732019,0.08357199033101399,0.00516624722150754,0.9,300,5,10,0.1,0.1,0.7,0.5,"{'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5}",0.031578947368421054,0.0,0.015267175572519083,0.015615374313646712,0.01289440217037013,19
41.37366000811259,12.209230709198774,0.20717509587605795,0.06657901357060898,0.8,700,3,10,0.03,0.3,0.7,0.7,"{'subsample': 0.8, 'n_estimators': 700, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7}",0.0223463687150838,0.0,0.015625,0.012657122905027934,0.009361134885819628,20
31.407195727030437,7.974933376681032,0.14272332191467285,0.054531544974997063,0.8,500,5,12,0.03,0.0,0.7,0.5,"{'subsample': 0.8, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 12, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5}",0.020833333333333332,0.0,0.015384615384615385,0.012072649572649571,0.008821707415958554,21
34.16002631187439,10.500029871618594,0.1643683115641276,0.04825410032968004,0.9,300,1,12,0.05,0.0,0.7,0.7,"{'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7}",0.023668639053254437,0.0,0.0,0.007889546351084813,0.011157503450675305,22
38.63985355695089,12.126201263339738,0.18204696973164877,0.050963912129516196,0.9,700,3,12,0.05,0.1,0.7,0.7,"{'subsample': 0.9, 'n_estimators': 700, 'min_child_weight': 3, 'max_depth': 12, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7}",0.023391812865497075,0.0,0.0,0.007797270955165692,0.011027006334293137,23
19.695690949757893,6.355573962415316,0.11716254552205403,0.03139142072025835,0.7,700,1,6,0.1,0.1,0.7,0.9,"{'subsample': 0.7, 'n_estimators': 700, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9}",0.023391812865497075,0.0,0.0,0.007797270955165692,0.011027006334293137,23
32.68978691101074,8.019844880893931,0.1843279997507731,0.03676656849979715,0.8,700,1,6,0.03,0.1,0.7,0.7,"{'subsample': 0.8, 'n_estimators': 700, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7}",0.0,0.0,0.015267175572519083,0.0050890585241730275,0.007197015584595904,25
27.46434672673543,2.3287800589092114,0.09606997172037761,0.006533316145512583,0.9,700,1,12,0.03,0.0,0.3,0.7,"{'subsample': 0.9, 'n_estimators': 700, 'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.3, 'colsample_bylevel': 0.7}",0.013071895424836602,0.0,0.0,0.004357298474945534,0.006162150598575577,26
31.255358616511028,10.202495186142155,0.19469324747721353,0.011800147719860956,0.8,700,1,8,0.05,0.1,0.3,0.5,"{'subsample': 0.8, 'n_estimators': 700, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.3, 'colsample_bylevel': 0.5}",0.012422360248447204,0.0,0.0,0.004140786749482401,0.005855956780012816,27
35.81395332018534,11.218494727563876,0.19098552068074545,0.04458743375334526,0.8,700,1,8,0.05,0.1,0.5,0.9,"{'subsample': 0.8, 'n_estimators': 700, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9}",0.011904761904761904,0.0,0.0,0.003968253968253968,0.005611958580845614,28
31.852693557739258,11.725539900581888,0.18445253372192383,0.04811708252445183,0.7,500,1,10,0.05,0.1,0.7,0.5,"{'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5}",0.0,0.0,0.0,0.0,0.0,29
23.622812906901043,5.522132577135853,0.09687320391337077,0.021237187036941732,0.7,300,1,12,0.05,0.0,0.3,0.5,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.3, 'colsample_bylevel': 0.5}",0.0,0.0,0.0,0.0,0.0,29
