config_name,total_return,final_balance,total_trades,win_rate,avg_trade,avg_win,avg_loss,long_trades,short_trades,ml_exits,sl_exits,maxhold_exits
WalkForward_Decoupled,6.101257941014719,10610.125794101472,86,73.25581395348837,7.094485977924058,54.66844854257194,-123.2168027861114,62,24,79,6,1
TradeOutcome_Full,4.078558045587743,10407.855804558774,21,57.14285714285714,19.421704978989332,193.15743632372946,-212.2259368139975,18,3,12,4,5
Reduced_Features,2.6839301199611145,10268.393011996111,1,100.0,268.3930119961122,268.3930119961122,0.0,1,0,1,0,0
