side,entry_timestamp,exit_timestamp,entry_price,exit_price,entry_prob,position_size_pct,pnl_gross,pnl_net,pnl_pct,exit_reason,hold_time,fees,candle_idx
SHORT,2025-09-19 07:10:00,2025-09-19 15:10:00,116749.7,115470.3,0.7454799,0.4220041,462.4526208967218,420.48343575392306,9.963965615430121,ml_exit_short,96,41.96918514279871,206
SHORT,2025-09-21 17:50:00,2025-09-22 01:45:00,115568.2,114558.0,0.76906866,0.447383,407.50819517338095,361.0924792636061,7.745529479562656,ml_exit_short,95,46.415715909774875,909
SHORT,2025-09-22 03:45:00,2025-09-22 06:00:00,114562.4,112427.5,0.7446357,0.42111763,846.0988530573013,801.1187851277517,17.6445766673883,ml_exit_short,27,44.980067929549634,960
LONG,2025-09-22 09:35:00,2025-09-22 11:05:00,112201.9,112828.1,0.73296416,0.40901887,264.40265407283005,216.89504528489692,4.578220154917304,ml_exit_long,18,47.50760878793312,1021
LONG,2025-09-22 13:35:00,2025-09-22 14:05:00,112513.8,113171.7,0.66743267,0.3468892,239.33806614894274,198.28689490114107,4.844359091951364,ml_exit_long,6,41.05117124780167,1057
SHORT,2025-09-22 17:40:00,2025-09-23 01:40:00,112425.0,112203.2,0.7115135,0.38756952,91.73871434100147,45.284471165317676,0.973857238158774,emergency_max_hold,96,46.45424317568379,1196
LONG,2025-09-23 02:50:00,2025-09-23 04:00:00,111705.8,112355.9,0.9119952,0.62398416,437.3392974456656,361.973210334079,4.816841650120023,ml_exit_long,14,75.36608711158661,1224
SHORT,2025-09-23 10:00:00,2025-09-23 18:00:00,112835.0,111934.6,0.70789546,0.38405484,380.17746141186217,332.7250314193254,6.983783400540562,emergency_max_hold,96,47.45242999253678,1392
LONG,2025-09-23 20:30:00,2025-09-23 21:30:00,111483.5,112046.5,0.6663893,0.34598494,222.5622172235453,178.37986161432877,4.047549637390416,ml_exit_long,12,44.18235560921653,1434
LONG,2025-09-23 23:20:00,2025-09-24 01:50:00,111823.4,112407.8,0.7972767,0.47922197,323.4821449136289,261.4229478460765,4.223484530071646,ml_exit_long,30,62.05919706755237,1486
LONG,2025-09-24 04:00:00,2025-09-24 04:55:00,111520.8,112120.4,0.8491449,0.54175854,383.8396911187301,312.256661491126,4.373887203104666,ml_exit_long,11,71.58302962760413,1523
LONG,2025-09-24 08:10:00,2025-09-24 15:00:00,112468.0,113636.2,0.71594477,0.39191523,549.1483826078475,496.0047617677339,9.381761034249738,ml_exit_long,82,53.143620840113556,1644
SHORT,2025-09-24 18:35:00,2025-09-25 02:05:00,113604.2,112657.2,0.70905507,0.38517803,449.0640092736139,395.41783639723553,7.340127389656381,ml_exit_short,90,53.646172876378415,1777
SHORT,2025-09-25 02:45:00,2025-09-25 05:50:00,112978.7,111686.6,0.73494333,0.4110496,676.0723658771822,617.295955033784,10.44238737036254,ml_exit_short,37,58.776410843398125,1822
SHORT,2025-09-25 07:00:00,2025-09-25 13:05:00,111498.8,110851.4,0.72390485,0.39983398,348.20419901538844,288.40865275966456,4.809243686927581,ml_exit_short,73,59.79554625572389,1909
LONG,2025-09-25 13:10:00,2025-09-25 13:25:00,111210.9,111560.7,0.7053436,0.3815942,183.48383149081928,125.05760691200395,2.143802451018816,ml_exit_long,3,58.42622457881534,1913
LONG,2025-09-25 13:30:00,2025-09-25 13:40:00,111500.2,110661.1,0.9090305,0.6199547,-719.0514326508128,-814.2399686087249,-8.521784265857766,emergency_stop_loss,2,95.18853595791212,1916
LONG,2025-09-25 13:45:00,2025-09-25 14:15:00,110820.8,111612.3,0.8982258,0.6053932,631.1846950348117,542.4946328812123,6.1385899578418375,ml_exit_long,6,88.69006215359951,1923
LONG,2025-09-25 14:20:00,2025-09-25 14:20:00,111654.7,111654.7,0.72525775,0.40119404,0.0,-60.74221453507383,-1.0,ml_exit_long,0,60.74221453507383,1924
LONG,2025-09-25 14:25:00,2025-09-25 14:30:00,111442.9,111668.3,0.8487492,0.5412627,165.08206026004336,83.37918412187042,1.0215491520771054,ml_exit_long,1,81.70287613817294,1926
LONG,2025-09-25 14:35:00,2025-09-25 14:45:00,111405.0,111486.9,0.89907116,0.6065254,67.61035657057073,-24.39086953255972,-0.26521206409051845,ml_exit_long,2,92.00122610313045,1929
LONG,2025-09-25 14:50:00,2025-09-25 15:20:00,111369.5,110890.4,0.9749282,0.71286774,-464.2529808911786,-571.9390809825729,-5.299744993018784,emergency_stop_loss,6,107.68610009139434,1936
