entry_idx,entry_time,entry_price,exit_idx,exit_time,exit_price,side,entry_prob,position_size_pct,hold_time,exit_reason,pnl_pct,balance_before,balance_after
103,2025-07-14 22:55:00,120034.7,118,2025-07-15 00:10:00,119610.6,SHORT,0.905535,0.56803864,15,ml_exit,0.005755696984785537,10000.0,10057.556969847856
107,2025-07-14 23:15:00,119829.7,118,2025-07-15 00:10:00,119610.6,SHORT,0.95637083,0.76250154,11,ml_exit,0.0025267110376757792,10057.556969847856,10082.969510055624
114,2025-07-14 23:50:00,119832.0,118,2025-07-15 00:10:00,119610.6,SHORT,0.97427285,0.8372595,4,ml_exit,0.002838599706015872,10082.969510055624,10111.591024342635
116,2025-07-15 00:00:00,119753.9,118,2025-07-15 00:10:00,119610.6,SHORT,0.7526701,0.20082784,2,ml_exit,0.0001579476687625637,10111.591024342635,10113.188126572411
117,2025-07-15 00:05:00,119697.6,118,2025-07-15 00:10:00,119610.6,SHORT,0.9872528,0.89337504,1,ml_exit,-0.0009761672641221651,10113.188126572411,10103.315963387342
118,2025-07-15 00:10:00,119610.6,124,2025-07-15 00:40:00,119388.0,SHORT,0.812902,0.2946559,6,ml_exit,0.0010148409335848988,10103.315963387342,10113.56922199193
119,2025-07-15 00:15:00,119619.3,124,2025-07-15 00:40:00,119388.0,SHORT,0.9716107,0.8259468,5,ml_exit,0.0030845295922889036,10113.56922199193,10144.764825540826
120,2025-07-15 00:20:00,119770.0,124,2025-07-15 00:40:00,119388.0,SHORT,0.8931604,0.5250017,4,ml_exit,0.004597852451251685,10144.764825540826,10191.408957361311
121,2025-07-15 00:25:00,119877.6,124,2025-07-15 00:40:00,119388.0,SHORT,0.8059757,0.2794603,3,ml_exit,0.0034476077887443937,10191.408957361311,10226.54493826099
122,2025-07-15 00:30:00,119711.8,124,2025-07-15 00:40:00,119388.0,SHORT,0.7575353,0.20392464,2,ml_exit,0.0013906269196526865,10226.54493826099,10240.766246947172
123,2025-07-15 00:35:00,119649.5,124,2025-07-15 00:40:00,119388.0,SHORT,0.86734027,0.4411692,1,ml_exit,0.0020921131115396027,10240.766246947172,10262.191088284622
125,2025-07-15 00:45:00,119444.2,128,2025-07-15 01:00:00,119206.3,SHORT,0.9669973,0.80650276,3,ml_exit,0.003199315816879799,10262.191088284622,10295.023078549215
140,2025-07-15 02:00:00,118795.5,141,2025-07-15 02:05:00,118507.6,SHORT,0.9844433,0.88109547,1,ml_exit,0.00501693107018901,10295.023078549215,10346.672499700302
156,2025-07-15 03:20:00,117564.2,158,2025-07-15 03:30:00,117341.8,SHORT,0.83792335,0.35642552,2,ml_exit,0.0012713446754566442,10346.672499700302,10359.82668669149
161,2025-07-15 03:45:00,117504.4,171,2025-07-15 04:35:00,117399.3,LONG,0.9620054,0.7856951,10,ml_exit,-0.005953791720937346,10359.82668669149,10298.14643633392
166,2025-07-15 04:10:00,117010.0,183,2025-07-15 05:35:00,117061.8,SHORT,0.9637055,0.79275435,17,ml_exit,-0.004574817953227186,10298.14643633392,10251.034291132017
188,2025-07-15 06:00:00,116954.9,195,2025-07-15 06:35:00,116883.3,SHORT,0.8758912,0.4680059,7,ml_exit,-0.0007259673804181201,10251.034291132017,10243.592374621107
200,2025-07-15 07:00:00,117249.4,225,2025-07-15 09:05:00,117067.0,LONG,0.97132283,0.8247274,25,ml_exit,-0.008430885799995088,10243.592374621107,10157.229817128975
206,2025-07-15 07:30:00,116895.2,225,2025-07-15 09:05:00,117067.0,LONG,0.94381034,0.7119372,19,ml_exit,0.0013375662638061806,10157.229817128975,10170.815785066094
208,2025-07-15 07:40:00,116763.5,209,2025-07-15 07:45:00,116578.2,SHORT,0.925644,0.6416733,1,ml_exit,0.0015065681978064052,10170.815785066094,10186.138812673622
209,2025-07-15 07:45:00,116578.2,251,2025-07-15 11:15:00,116590.1,SHORT,0.85937977,0.4170485,42,ml_exit,-0.0018384789738451115,10186.138812673622,10167.411810641854
210,2025-07-15 07:50:00,116876.2,251,2025-07-15 11:15:00,116590.1,SHORT,0.96295387,0.78962994,41,ml_exit,0.004573186958528938,10167.411810641854,10213.909285736274
216,2025-07-15 08:20:00,116786.8,225,2025-07-15 09:05:00,117067.0,LONG,0.90489876,0.5657827,9,ml_exit,0.0031666717721351117,10213.909285736274,10246.253383954563
225,2025-07-15 09:05:00,117067.0,226,2025-07-15 09:10:00,117146.7,LONG,0.9559445,0.7607593,1,ml_exit,-0.0009713170249561437,10246.253383954563,10236.301023600714
226,2025-07-15 09:10:00,117146.7,259,2025-07-15 11:55:00,117150.6,LONG,0.9331557,0.6703076,33,ml_exit,-0.002591967884415758,10236.301023600714,10209.768860092328
227,2025-07-15 09:15:00,117026.3,259,2025-07-15 11:55:00,117150.6,LONG,0.95914614,0.77388656,32,ml_exit,0.0001924018338309212,10209.768860092328,10211.733238344
232,2025-07-15 09:40:00,116872.4,259,2025-07-15 11:55:00,117150.6,LONG,0.8672834,0.44099393,27,ml_exit,0.002434945911168106,10211.733238344,10236.598256438647
235,2025-07-15 09:55:00,116802.3,251,2025-07-15 11:15:00,116590.1,SHORT,0.94472295,0.7155573,16,ml_exit,0.002337711447921453,10236.598256438647,10260.528469370496
241,2025-07-15 10:25:00,117056.4,259,2025-07-15 11:55:00,117150.6,LONG,0.8515995,0.39430714,18,ml_exit,-0.0003079692058019455,10260.528469370496,10257.368542566675
244,2025-07-15 10:40:00,117202.0,259,2025-07-15 11:55:00,117150.6,LONG,0.95913094,0.773824,15,ml_exit,-0.0044527659967805375,10257.368542566675,10211.694880703888
245,2025-07-15 10:45:00,117164.6,259,2025-07-15 11:55:00,117150.6,LONG,0.94619155,0.7214008,14,ml_exit,-0.003230403962505269,10211.694880703888,10178.706981097368
249,2025-07-15 11:05:00,117005.2,259,2025-07-15 11:55:00,117150.6,LONG,0.9483675,0.73009896,10,ml_exit,0.0007087211176412743,10178.706981097368,10185.920845685154
251,2025-07-15 11:15:00,116590.1,268,2025-07-15 12:40:00,116544.0,SHORT,0.94461155,0.71511495,17,ml_exit,-0.0017294272641298857,10185.920845685154,10168.305036464357
254,2025-07-15 11:30:00,116521.8,266,2025-07-15 12:30:00,117425.8,SHORT,0.80032295,0.267733,12,stop_loss,-0.009379442161251878,10168.305036464357,10072.932007496873
258,2025-07-15 11:50:00,117034.8,259,2025-07-15 11:55:00,117150.6,LONG,0.94691026,0.7242685,1,ml_exit,-3.056618164524764e-05,10072.932007496873,10072.62411642743
259,2025-07-15 11:55:00,117150.6,260,2025-07-15 12:00:00,117226.6,LONG,0.96133065,0.7829012,1,ml_exit,-0.0011000150319776542,10072.62411642743,10061.5440784879
260,2025-07-15 12:00:00,117226.6,266,2025-07-15 12:30:00,117425.8,LONG,0.96388173,0.7934878,6,ml_exit,0.0022194584430184497,10061.5440784879,10083.875257442702
261,2025-07-15 12:05:00,117054.3,266,2025-07-15 12:30:00,117425.8,LONG,0.9710107,0.8234063,5,ml_exit,0.007159487077935762,10083.875257442702,10156.070632043879
266,2025-07-15 12:30:00,117425.8,268,2025-07-15 12:40:00,116544.0,LONG,0.8665384,0.43870133,2,stop_loss,-0.014932380756001238,10156.070632043879,10004.416318381358
267,2025-07-15 12:35:00,116945.3,270,2025-07-15 12:50:00,117194.3,LONG,0.8382225,0.35722452,3,ml_exit,0.001613512551671784,10004.416318381358,10020.558569683217
269,2025-07-15 12:45:00,116887.9,273,2025-07-15 13:05:00,117866.1,SHORT,0.7524487,0.20072703,4,stop_loss,-0.007522206916239879,10020.558569683217,9945.18185470576
270,2025-07-15 12:50:00,117194.3,272,2025-07-15 13:00:00,117353.6,LONG,0.93556845,0.67963123,2,ml_exit,0.0009767146974348335,9945.18185470576,9954.895459991913
272,2025-07-15 13:00:00,117353.6,273,2025-07-15 13:05:00,117866.1,LONG,0.89036596,0.5155324,1,ml_exit,0.006943485732708908,9954.895459991913,10024.017134588976
275,2025-07-15 13:15:00,117772.0,294,2025-07-15 14:50:00,116103.3,LONG,0.919742,0.6195997,19,stop_loss,-0.0375945900625635,10024.017134588976,9647.16831963399
276,2025-07-15 13:20:00,117593.4,294,2025-07-15 14:50:00,116103.3,LONG,0.9244345,0.63711905,18,stop_loss,-0.03484182273518913,9647.16831963399,9311.04339114477
278,2025-07-15 13:30:00,118030.8,291,2025-07-15 14:35:00,117058.0,LONG,0.8790186,0.4780544,13,stop_loss,-0.017672555578410826,9311.04339114477,9146.49345932177
280,2025-07-15 13:40:00,118300.3,290,2025-07-15 14:30:00,117319.3,LONG,0.9186156,0.61542994,10,stop_loss,-0.022875421796764765,9146.49345932177,8937.263563478435
290,2025-07-15 14:30:00,117319.3,291,2025-07-15 14:35:00,117058.0,SHORT,0.9470595,0.72486466,1,ml_exit,0.0035583751828013265,8937.263563478435,8969.06570034487
292,2025-07-15 14:40:00,116986.4,293,2025-07-15 14:45:00,116896.1,SHORT,0.8796414,0.48007017,1,ml_exit,-0.00043804560819073163,8969.06570034487,8965.13684050526
305,2025-07-15 15:45:00,116613.5,308,2025-07-15 16:00:00,116730.6,LONG,0.9573123,0.7663551,3,ml_exit,1.278863098484873e-05,8965.13684050526,8965.251492332041
309,2025-07-15 16:05:00,117115.7,312,2025-07-15 16:20:00,116912.8,LONG,0.99175745,0.91321594,3,ml_exit,-0.009981358153137776,8965.251492332041,8875.766106254123
310,2025-07-15 16:10:00,116949.2,312,2025-07-15 16:20:00,116912.8,LONG,0.9824357,0.87236565,2,ml_exit,-0.004575544768975802,8875.766106254123,8835.154641075998
314,2025-07-15 16:30:00,117115.4,315,2025-07-15 16:35:00,117339.5,LONG,0.9862111,0.8888137,1,ml_exit,0.0032477155159973893,8835.154641075998,8863.848709890057
316,2025-07-15 16:40:00,117682.0,323,2025-07-15 17:15:00,117351.2,LONG,0.92688096,0.6463472,7,ml_exit,-0.009852826975525766,8863.848709890057,8776.514742214273
337,2025-07-15 18:25:00,116852.5,338,2025-07-15 18:30:00,116649.3,SHORT,0.9439857,0.7126321,1,ml_exit,0.0021063820440969812,8776.514742214273,8795.001435277025
368,2025-07-15 21:00:00,116612.1,370,2025-07-15 21:10:00,116956.8,LONG,0.93906325,0.69324416,2,ml_exit,0.005423814662942511,8795.001435277025,8842.70389302228
370,2025-07-15 21:10:00,116956.8,371,2025-07-15 21:15:00,117040.0,LONG,0.9663588,0.8038277,1,ml_exit,-0.000928023030883296,8842.70389302228,8834.497660154275
