start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,final_capital,avg_position_size,liquidations
0,1440,Sideways,-0.3190113624914738,2.270613143709525,-2.589624506200999,3,33.33333333333333,9968.098863750853,51.81014771262805,0
288,1728,Bull,1.0231606074170487,5.103009780553955,-4.079849173136906,5,40.0,10102.316060741705,53.08430494666101,0
576,2016,Sideways,8.526890100652817,0.8540254255126348,7.6728646751401826,11,63.63636363636363,10852.689010065282,52.67346869544549,0
864,2304,Sideways,10.180062500768672,-0.8821312776866527,11.062193778455326,12,66.66666666666666,11018.006250076867,52.402099814265966,0
1152,2592,Sideways,9.60435867901515,-1.019369103892871,10.62372778290802,10,70.0,10960.435867901515,52.52672253698112,0
1440,2880,Sideways,10.55389721182868,-2.0224330193216757,12.576330231150356,9,77.77777777777779,11055.389721182868,52.65497273703416,0
1728,3168,Bear,8.135423427759088,-5.007577063064752,13.143000490823841,8,75.0,10813.542342775909,51.79343202523887,0
2016,3456,Bear,3.3531463333337888,-3.4807165500074513,6.83386288334124,4,75.0,10335.314633333379,51.0634244568646,0
2304,3744,Bear,1.995461465199005,-2.769693514385452,4.765154979584457,4,75.0,10199.5461465199,52.35699528455735,0
2592,4032,Bear,1.350754897192037,-4.156482182930378,5.507237080122415,5,60.0,10135.075489719204,52.06794686317444,0
2880,4320,Sideways,3.3660068543273156,-0.5914351004940368,3.9574419548213524,7,71.42857142857143,10336.600685432732,51.50230731282915,0
3168,4608,Sideways,4.279696732902794,-1.2902703983353763,5.569967131238171,6,83.33333333333334,10427.96967329028,51.76206133762996,0
3456,4896,Sideways,1.6041009863482576,-0.12441993896738279,1.7285209253156404,7,57.14285714285714,10160.410098634826,54.491983724491945,0
3744,5184,Bear,8.920243328387642,-3.9558627095326924,12.876106037920334,10,70.0,10892.024332838764,53.9936115667224,0
4032,5472,Sideways,8.354986623504102,-1.1013726303965132,9.456359253900615,9,66.66666666666666,10835.49866235041,53.809836667444976,0
4320,5760,Bear,8.514173548303242,-4.493761894214929,13.007935442518171,9,66.66666666666666,10851.417354830324,54.26924082140129,0
4608,6048,Bear,7.797759599181172,-2.7693973624172257,10.567156961598398,10,60.0,10779.775959918117,53.88267524391412,0
4896,6336,Bear,12.057115342425405,-4.396579565137811,16.453694907563218,10,80.0,11205.71153424254,51.631246478855616,0
5184,6624,Sideways,4.953021358435653,-1.3327767724161472,6.2857981308518,5,80.0,10495.302135843565,51.10822435617448,0
5472,6912,Sideways,4.953021358435653,-2.03899820774509,6.992019566180743,5,80.0,10495.302135843565,51.10822435617448,0
5760,7200,Bear,5.323903038069239,-3.5276730419637223,8.851576080032961,5,80.0,10532.390303806924,51.292072606086734,0
6048,7488,Sideways,6.967598127769143,-0.46766050225535183,7.435258630024494,6,83.33333333333334,10696.759812776914,51.257147687176875,0
6336,7776,Bull,2.83758711527018,3.2718140974385665,-0.4342269821683864,3,66.66666666666666,10283.758711527018,52.43092772861323,0
6624,8064,Sideways,4.760604011883752,1.6634538111162254,3.0971502007675262,4,75.0,10476.060401188375,52.41791300103069,0
6912,8352,Sideways,5.214273656660535,1.6057605472534597,3.6085131094070757,5,80.0,10521.427365666053,53.07590399086476,0
7200,8640,Sideways,4.01637446051509,2.1740653023939758,1.8423091581211142,3,100.0,10401.637446051509,53.91813095410666,0
7488,8928,Sideways,2.3111068706098195,-0.3090302080183232,2.620137078628143,2,100.0,10231.110687060982,54.043368384242065,0
7776,9216,Sideways,2.3111068706098195,0.20809856685962017,2.103008303750199,2,100.0,10231.110687060982,54.043368384242065,0
8064,9504,Sideways,2.4061627147701077,0.8882820398117095,1.5178806749583982,3,100.0,10240.61627147701,53.6198934018612,0
8352,9792,Sideways,1.9646012626294216,2.5899985821866682,-0.6253973195572466,2,100.0,10196.460126262942,52.575906127691276,0
8640,10080,Bull,1.9646012626294216,3.882065420730484,-1.9174641581010625,2,100.0,10196.460126262942,52.575906127691276,0
8928,10368,Bull,1.9646012626294216,4.252448541834876,-2.2878472792054545,2,100.0,10196.460126262942,52.575906127691276,0
9216,10656,Bull,1.9646012626294216,3.2652628576623686,-1.300661595032947,2,100.0,10196.460126262942,52.575906127691276,0
9504,10944,Bull,0.0,3.9177777219424472,-3.9177777219424472,0,0.0,10000.0,0.0,0
9792,11232,Sideways,0.0,1.4341604033618227,-1.4341604033618227,0,0.0,10000.0,0.0,0
10080,11520,Sideways,0.0,1.8614519495474038,-1.8614519495474038,0,0.0,10000.0,0.0,0
10368,11808,Sideways,0.0,-0.1265983262261718,0.1265983262261718,0,0.0,10000.0,0.0,0
10656,12096,Sideways,0.0,1.2409272656983437,-1.2409272656983437,0,0.0,10000.0,0.0,0
10944,12384,Sideways,0.0,-0.5506070377894144,0.5506070377894144,0,0.0,10000.0,0.0,0
11232,12672,Sideways,0.0,0.32703274608093963,-0.32703274608093963,0,0.0,10000.0,0.0,0
11520,12960,Sideways,0.0,-1.1782215588216938,1.1782215588216938,0,0.0,10000.0,0.0,0
11808,13248,Bear,0.10551258561448777,-2.71259271538045,2.8181053009949375,2,50.0,10010.551258561449,51.96243271976711,0
12096,13536,Bear,0.10551258561448777,-4.575168451061345,4.680681036675833,2,50.0,10010.551258561449,51.96243271976711,0
