stop_loss_pct,take_profit_pct,max_holding_hours,avg_return,vs_bh,win_rate,sharpe,max_dd,liquidations,avg_trades,avg_holding_hours,sl_exits_pct,tp_exits_pct,maxhold_exits_pct
1.0,1.5,2,37.492819746911174,37.454468853474424,91.88692110704943,36.69241881505245,1.7435190868634878,0,24.454545454545453,0.6252046622506635,8.178438661710038,83.27137546468401,8.550185873605948
0.5,1.5,2,36.74556931410394,36.70721842066719,86.08780268430436,33.05721983577902,1.743516038721041,0,26.454545454545453,0.5419142503999423,15.463917525773196,79.38144329896907,5.154639175257731
1.0,1.5,4,36.210627312403396,36.17227641896664,89.62463881569735,45.537706631414494,1.8429848282807038,0,24.181818181818183,0.7457460987253537,10.526315789473683,86.8421052631579,2.631578947368421
1.0,1.5,6,36.119647249706865,36.081296356270116,89.6093794900932,45.70416986831734,1.8451639334609444,0,24.0,0.7839276719710809,10.984848484848484,87.5,1.5151515151515151
0.5,1.5,6,36.00773806419251,35.969387170755766,83.44083879390108,40.965642606696434,1.7465700045356203,0,26.363636363636363,0.6284498193982739,18.620689655172416,81.03448275862068,0.3448275862068966
0.5,1.5,4,35.928984536796875,35.89063364336013,83.27531804014505,40.78128080191365,1.7465700045356198,0,26.363636363636363,0.6144442171573776,18.275862068965516,80.6896551724138,1.0344827586206897
0.5,1.5,8,35.848650215220516,35.810299321783766,83.00793836100065,40.514728524181685,1.74657000453562,0,26.363636363636363,0.6327788237272783,18.96551724137931,81.03448275862068,0.0
1.0,1.5,8,35.72743945146614,35.68908855802939,88.96506256670651,45.08537172440379,1.9664427193279308,0,24.0,0.8041658539975548,11.742424242424242,87.5,0.7575757575757576
1.0,2.0,2,28.66805894639763,28.629708052960872,83.65999606846287,19.770208756308264,2.838241749024547,0,21.90909090909091,1.009453043120091,15.352697095435685,60.16597510373444,24.481327800829874
0.5,2.0,2,28.47620335483965,28.437852461402894,77.55008435135477,18.121425067885813,2.804656796022809,0,23.545454545454547,0.88450790362088,23.93822393822394,59.07335907335908,16.988416988416986
1.5,2.0,2,27.933050606913454,27.8946997134767,85.01760494781091,19.788997820272872,3.1194539728534845,0,21.545454545454547,1.0653330653159025,11.39240506329114,60.337552742616026,28.270042194092827
1.0,2.0,6,27.50999488256788,27.471643989131124,78.06099377245621,33.402357835176645,3.2279472271611156,0,20.181818181818183,1.519332305646535,22.972972972972975,72.97297297297297,4.054054054054054
0.5,2.0,4,27.054577091546015,27.01622619810926,70.49656926451183,21.61135844755034,3.0429505099904612,0,22.90909090909091,1.1415235836288469,31.349206349206348,64.28571428571429,4.365079365079365
0.5,2.0,6,27.05407624504436,27.015725351607603,69.33297652197173,26.019266238223523,3.180007700894578,0,22.90909090909091,1.1986506508436336,33.33333333333333,65.87301587301587,0.7936507936507936
0.5,2.0,8,26.74126657573835,26.7029156823016,68.50485727279985,25.87754830682134,3.1800077008945777,0,22.90909090909091,1.2080973445008534,34.12698412698413,65.87301587301587,0.0
1.5,2.0,4,26.663438668942526,26.62508777550577,80.55013572748126,26.216304823294898,3.2402158514419184,0,20.0,1.5153273574040163,15.454545454545453,69.54545454545455,15.0
1.5,2.0,6,26.641944448848673,26.603593555411916,80.49160204298545,34.354200700789654,3.40619499277942,0,19.454545454545453,1.763848558463183,17.75700934579439,74.76635514018692,7.476635514018691
1.0,2.0,8,26.562107111935337,26.52375621849858,76.2904979802213,31.884087548862553,3.3492260130280997,0,20.181818181818183,1.5731678057517977,24.774774774774773,73.42342342342343,1.8018018018018018
1.0,2.0,4,26.557667631731796,26.51931673829504,78.1361017917082,24.58330389811061,3.1024307338873682,0,20.545454545454547,1.3968166220025486,21.238938053097346,68.14159292035397,10.619469026548673
1.0,3.0,2,25.652833265078563,25.614482371641813,77.9620787709023,14.458276264104349,3.1904454954690427,0,18.727272727272727,1.4732551217845336,17.475728155339805,33.980582524271846,48.54368932038835
1.5,3.0,2,25.462721511155724,25.424370617718974,80.14474458993176,14.599058147877553,3.463286025505054,0,18.454545454545453,1.532629223062044,13.30049261083744,34.48275862068966,52.21674876847291
1.5,2.0,8,25.269726366772208,25.23137547333545,78.87789214283053,32.42640062347126,3.805665981320428,0,19.363636363636363,1.8877090254923898,21.12676056338028,75.5868544600939,3.286384976525822
0.5,3.0,2,24.989616518643082,24.951265625206325,69.027633349884,13.081969643573114,3.074342624859696,0,20.181818181818183,1.335817659299117,28.37837837837838,33.33333333333333,38.288288288288285
2.0,3.0,2,24.89572556062825,24.857374667191493,81.83177725423714,14.492393547832728,3.4368772816586057,0,18.0,1.57013670573831,7.07070707070707,33.33333333333333,59.59595959595959
1.0,4.0,2,23.686162229288904,23.647811335852154,77.24547812009111,13.19902885945687,3.2096475295001397,0,17.363636363636363,1.695806963582435,17.801047120418847,18.32460732984293,63.87434554973822
0.5,4.0,2,23.401297555367808,23.36294666193105,69.02220364176885,12.512759347145773,3.258703297063985,0,18.727272727272727,1.5530967397135875,29.61165048543689,18.446601941747574,51.94174757281553
1.0,6.0,2,23.055245057858464,23.016894164421714,78.86417094427324,13.412999829478371,3.2096475295001428,0,16.727272727272727,1.8169073751124984,16.847826086956523,4.3478260869565215,78.80434782608695
1.5,4.0,2,22.652345850280213,22.613994956843456,77.29139180236842,12.658553586755989,3.683955585120678,0,17.181818181818183,1.7549294964190827,14.285714285714285,18.51851851851852,67.1957671957672
2.0,4.0,2,22.388134566103034,22.34978367266628,79.67037793803905,12.60315145124194,3.437517174523363,0,16.727272727272727,1.784156571139402,7.065217391304348,18.478260869565215,74.45652173913044
