start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,sharpe,max_dd,liquidations,final_capital,avg_position_size
0,1440,Sideways,7.485322880567055,2.270613143709525,5.21470973685753,11,81.81818181818183,17.30849940955222,0.6970479572504615,0,10748.532288056706,55.456476238640874
1440,2880,Sideways,1.0120437364250938,-2.0224330193216757,3.03447675574677,14,71.42857142857143,2.5766504071617846,2.7594617659789837,0,10101.20437364251,56.520376577973366
2880,4320,Sideways,7.255802369626271,-0.5914351004940368,7.847237470120308,22,59.09090909090909,5.69474139632167,2.093236312883648,0,10725.580236962627,56.82140130752869
4320,5760,Bear,2.8759698459686116,-4.493761894214929,7.369731740183541,17,52.94117647058824,4.00473689293333,1.617978526151657,0,10287.596984596861,57.464238626115474
5760,7200,Bear,2.680424747930374,-3.5276730419637223,6.208097789894096,12,58.333333333333336,4.6642680482075,1.493582495296343,0,10268.042474793037,59.61437053978443
7200,8640,Sideways,6.317311315098305,2.1740653023939758,4.14324601270433,15,66.66666666666666,8.272927762283247,1.1948043328969187,0,10631.73113150983,56.061702646811796
8640,10080,Bull,4.908814337502227,3.882065420730484,1.0267489167717425,10,100.0,30.29759196125777,0.0,0,10490.881433750223,55.33941163420677
10080,11520,Sideways,5.024203951936252,1.8614519495474038,3.1627520023888476,6,100.0,22.33353058281063,0.0,0,10502.420395193625,55.40652352571488
11520,12960,Sideways,1.3173711068633747,-1.1782215588216938,2.495592665685068,5,60.0,7.364808408891555,0.7230181039996274,0,10131.737110686337,56.360222876071944
12960,14400,Bear,3.8917162647202352,-5.201186834529879,9.092903099250114,15,60.0,9.01090735932401,0.7151785897605896,0,10389.171626472023,57.28566784063975
14400,15840,Bull,6.208361467729137,7.248375460768837,-1.0400139930396994,8,100.0,20.74469878319347,0.0,0,10620.836146772914,55.13887498900295
