long_threshold,short_threshold,long_signals,short_signals,total_signals,signal_rate,trades_per_week,avg_probability,quality_score
0.8000000000000003,0.7500000000000002,246,84,330,8.18452380952381,165.0,0.9146581,-41.15961581468582
0.8000000000000003,0.7000000000000002,246,94,340,8.432539682539684,170.0,0.9089728,-45.44863998889923
0.8000000000000003,0.6500000000000001,246,108,354,8.779761904761903,177.0,0.8996206,-51.27837377786636
0.8000000000000003,0.6000000000000001,246,121,367,9.10218253968254,183.5,0.8898169,-56.50337189435959
0.8000000000000003,0.55,246,137,383,9.499007936507937,191.5,0.87660223,-62.67705962061882
0.7500000000000002,0.7500000000000002,307,84,391,9.697420634920634,195.5,0.89286846,-67.41156867146492
0.8000000000000003,0.5,246,152,398,9.871031746031745,199.0,0.8633742,-68.20655971765518
0.7500000000000002,0.7000000000000002,307,94,401,9.945436507936508,200.5,0.88859135,-71.53160360455513
0.7500000000000002,0.6500000000000001,307,108,415,10.29265873015873,207.5,0.88130146,-77.11387798190117
0.7500000000000002,0.6000000000000001,307,121,428,10.615079365079366,214.0,0.8734515,-82.10443830490112
0.7000000000000002,0.7500000000000002,354,84,438,10.863095238095239,219.0,0.8747924,-86.60444730520248
0.7500000000000002,0.55,307,137,444,11.011904761904761,222.0,0.86264205,-87.98948907852173
0.7000000000000002,0.7000000000000002,354,94,448,11.11111111111111,224.0,0.8713674,-90.62220907211304
0.7500000000000002,0.5,307,152,459,11.383928571428571,229.5,0.8516282,-93.2532861828804
0.7000000000000002,0.6500000000000001,354,108,462,11.458333333333332,231.0,0.865341,-96.05285185575485
0.7000000000000002,0.6000000000000001,354,121,475,11.780753968253968,237.5,0.8587045,-100.89777961373329
0.6500000000000001,0.7500000000000002,393,84,477,11.830357142857142,238.5,0.8582675,-101.70469710230827
0.6500000000000001,0.7000000000000002,393,94,487,12.078373015873016,243.5,0.8554561,-105.64883005619049
0.7000000000000002,0.55,354,137,491,12.177579365079366,245.5,0.8494104,-106.60100704431534
0.6500000000000001,0.6500000000000001,393,108,501,12.425595238095239,250.5,0.85034347,-110.96982228755951
0.7000000000000002,0.5,354,152,506,12.549603174603174,253.0,0.8398118,-111.69496965408325
0.6500000000000001,0.6000000000000001,393,121,514,12.748015873015872,257.0,0.8445898,-115.70880663394928
0.6000000000000001,0.7500000000000002,445,84,529,13.120039682539684,264.5,0.8353179,-120.7034379541874
0.6500000000000001,0.55,393,137,530,13.14484126984127,265.0,0.83640575,-121.27883434295654
0.6000000000000001,0.7000000000000002,445,94,539,13.368055555555555,269.5,0.8332036,-124.56394025683403
0.6500000000000001,0.5,393,152,545,13.516865079365079,272.5,0.8278519,-126.24741345643997
0.6000000000000001,0.6500000000000001,445,108,553,13.715277777777779,276.5,0.829135,-129.75962761044502
0.6000000000000001,0.6000000000000001,445,121,566,14.037698412698413,283.0,0.8243971,-134.37672519683838
0.6000000000000001,0.55,445,137,582,14.434523809523808,291.0,0.8174994,-139.7923972606659
0.6000000000000001,0.5,445,152,597,14.806547619047619,298.5,0.81016564,-144.61456739902496
0.55,0.7500000000000002,518,84,602,14.930555555555555,301.0,0.8038485,-145.49657940864563
0.55,0.7000000000000002,518,94,612,15.178571428571427,306.0,0.8025006,-149.2651126384735
0.55,0.6500000000000001,518,108,626,15.525793650793652,313.0,0.79959315,-154.32147806882858
0.55,0.6000000000000001,518,121,639,15.848214285714285,319.5,0.79599756,-158.80151322484016
0.55,0.55,518,137,655,16.245039682539684,327.5,0.7905623,-164.04167145490646
0.55,0.5,518,152,670,16.61706349206349,335.0,0.7846307,-168.6956039071083
