feature,builtin_score,perm_score,composite_score
close_change_1,1.0,1.0,1.0000000238418578
close_change_2,0.3796692,0.500000000000028,0.4278015166521184
close_change_3,0.35241124,0.500000000000028,0.4114467471838109
close_change_4,0.33952603,0.37500000000006295,0.35371562242510457
close_change_5,0.33365956,0.37500000000006295,0.35019574463369985
sma_10,0.30472156,0.37500000000006295,0.33283294141295094
sma_20,0.3027378,0.37500000000006295,0.33164268136027
ema_10,0.24054691,0.37500000000006295,0.2943281471729531
macd,0.2355921,0.25000000000004197,0.2413552612066437
macd_signal,0.22064725,0.0,0.13238835334777832
macd_diff,0.21650213,0.0,0.12990128993988037
rsi,0.1859088,0.0,0.11154527962207794
bb_high,0.17283781,0.0,0.10370268672704697
bb_low,0.16584729,0.0,0.0995083749294281
bb_mid,0.15237404,0.0,0.09142442792654037
volatility,0.123277426,0.0,0.07396645843982697
volume_sma,0.119225375,0.0,0.07153522968292236
volume_ratio,0.11691356,0.0,0.07014814019203186
ema_3,0.11392107,0.0,0.06835264712572098
ema_5,0.11381906,0.0,0.06829144060611725
price_mom_3,0.09602192,0.0,0.057613153010606766
price_mom_5,0.071843304,0.0,0.04310598224401474
rsi_5,0.070442356,0.0,0.04226541519165039
rsi_7,0.06902673,0.0,0.04141604155302048
volatility_5,0.06257837,0.0,0.037547025829553604
volatility_10,0.062295455,0.0,0.03737727552652359
volume_spike,0.060132813,0.0,0.03607968986034393
volume_trend,0.05934543,0.0,0.03560725972056389
price_vs_ema3,0.058547687,0.0,0.03512861207127571
price_vs_ema5,0.058349434,0.0,0.03500966355204582
body_size,0.057139326,0.0,0.034283597022295
upper_shadow,0.054110754,0.0,0.032466452568769455
lower_shadow,0.05204969,0.0,0.031229814514517784
nearest_support,0.051496387,0.0,0.0308978334069252
nearest_resistance,0.04589092,0.0,0.02753455378115177
distance_to_support_pct,0.0453516,0.0,0.027210960164666176
distance_to_resistance_pct,0.043853574,0.0,0.026312144473195076
num_support_touches,0.04216804,0.0,0.025300825014710426
num_resistance_touches,0.041858807,0.0,0.02511528506875038
upper_trendline_slope,0.04056812,0.0,0.024340873584151268
lower_trendline_slope,0.03765682,0.0,0.022594094276428223
price_vs_upper_trendline_pct,0.0357901,0.0,0.021474061533808708
price_vs_lower_trendline_pct,0.033969004,0.0,0.020381402224302292
rsi_bullish_divergence,0.03357843,0.0,0.020147059112787247
rsi_bearish_divergence,0.032343727,0.0,0.019406236708164215
macd_bullish_divergence,0.032042768,0.0,0.01922566071152687
macd_bearish_divergence,0.03152419,0.0,0.018914513289928436
double_top,0.028249813,0.0,0.016949888318777084
double_bottom,0.02803656,0.0,0.016821937635540962
higher_highs_lows,0.027180873,0.0,0.01630852371454239
lower_highs_lows,0.027041553,0.0,0.016224931925535202
volume_ma_ratio,0.025898848,0.0,0.01553930900990963
volume_price_correlation,0.01939365,0.0,0.011636191047728062
price_volume_trend,0.019173903,0.0,0.011504342779517174
total_range,0.018831758,0.0,0.011299055069684982
body_to_range_ratio,0.016636988,0.0,0.009982192888855934
upper_shadow_ratio,0.015709944,0.0,0.009425967000424862
lower_shadow_ratio,0.015411236,0.0,0.009246742352843285
bullish_engulfing,0.0151898675,0.0,0.009113920852541924
bearish_engulfing,0.014680305,0.0,0.00880818348377943
hammer,0.014293479,0.0,0.008576087653636932
shooting_star,0.013862576,0.0,0.008317545987665653
doji,0.013311229,0.0,0.007986737415194511
distance_from_recent_high_pct,0.012795328,0.0,0.007677196990698576
bearish_candle_count,0.011102376,0.0,0.006661425810307264
red_candle_volume_ratio,0.011076067,0.0,0.006645640358328819
strong_selling_pressure,0.00933768,0.0,0.005602608434855938
price_momentum_near_resistance,0.0089933295,0.0,0.005395997781306505
rsi_from_recent_peak,0.008634791,0.0,0.005180874839425087
consecutive_up_candles,0.008587224,0.0,0.005152334924787283
