start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,sharpe,max_dd
0,576,Sideways,0.46453772673790805,-0.5745123343417344,1.0390500610796425,2,50.0,9.989035100019631,0.0
576,1152,Sideways,4.78259303409257,1.8439313406343432,2.9386616934582266,5,100.0,19.834515723530274,0.0
1152,1728,Bull,3.069413417145479,3.477266026959402,-0.407852609813923,5,80.0,25.26401231390775,0.023668653338363467
1728,2304,Bear,-0.7609247143810717,-4.537964141169177,3.7770394267881056,8,62.5,-1.1370717675633681,2.4416566798282435
2304,2880,Sideways,0.26337187732746314,0.3171824831223809,-0.053810605794917754,2,100.0,27.534207441911533,0.0
2880,3456,Bear,-0.5592804422670633,-3.5436199622227935,2.9843395199557303,7,42.857142857142854,-0.8397160527579328,1.793102369701258
3456,4032,Sideways,0.4012029597145011,-0.7532515511502955,1.1544545108647966,6,66.66666666666666,2.865196979596731,1.4079998299325927
4032,4608,Sideways,5.24571379466217,2.1943657936388714,3.0513480010232987,4,100.0,18.82848426395887,0.0
4608,5184,Bear,-0.3871466824921117,-4.700546853263582,4.3134001707714695,6,66.66666666666666,-0.41280727940913253,1.0192029119186015
5184,5760,Sideways,2.010928102592079,1.6143430257472684,0.3965850768448107,9,44.44444444444444,7.971769827290941,0.3512217999613244
5760,6336,Bear,0.8991466711750763,-3.1242257763649683,4.023372447540044,5,60.0,4.616951646337991,1.0415003464825945
6336,6912,Sideways,0.7593786508192352,0.5800937711783867,0.1792848796408485,1,100.0,0.0,0.0
6912,7488,Sideways,4.197143999748333,2.1962452658465774,2.000898733901755,7,71.42857142857143,10.722192120846834,0.6897881807454028
7488,8064,Sideways,-0.49916486381409414,-0.9983864648551248,0.4992216010410307,4,25.0,-2.5023588019189424,1.246834001804379
8064,8640,Sideways,0.3372187740994014,-0.33376128545013095,0.6709800595495323,4,75.0,2.773232969280706,1.1489832628204149
8640,9216,Sideways,1.4153374295268077,1.7488083692039473,-0.3334709396771396,4,100.0,83.18292419334033,0.0
9216,9792,Sideways,1.7531084402737545,1.2545456879078827,0.4985627523658718,4,100.0,21.18171008890424,0.0
9792,10368,Sideways,2.625131767334933,1.8947255568351526,0.7304062104997804,3,100.0,43.283137233099,0.0
10368,10944,Sideways,0.0,-0.016515708142058307,0.016515708142058307,0,0.0,0.0,0.0
10944,11520,Sideways,1.5852574908750103,0.5262202663226956,1.0590372245523147,4,100.0,19.781196894473425,0.0
11520,12096,Sideways,0.9087213121658351,0.58681062191513,0.32191069025070507,4,75.0,27.306756391915698,0.0
12096,12672,Sideways,0.0,-1.3700741079020522,1.3700741079020522,0,0.0,0.0,0.0
12672,13248,Bear,0.22510138972043933,-2.743169232893737,2.9682706226141766,2,50.0,9.512001658958606,0.0
13248,13824,Sideways,1.9429115247703885,0.5147583446415243,1.4281531801288643,5,80.0,10.833977723211081,0.7709633555861376
13824,14400,Bear,0.28684027115821664,-3.6014025188064087,3.8882427899646252,7,42.857142857142854,3.7216747488190496,0.045610095228479156
14400,14976,Sideways,0.0,1.0816612544614206,-1.0816612544614206,0,0.0,0.0,0.0
14976,15552,Bull,2.7852447238860623,3.1948169863836235,-0.4095722624975613,4,100.0,22.763591250716836,0.0
15552,16128,Bull,3.0149636757446387,5.041315561026237,-2.0263518852815983,4,100.0,26.174811842891316,0.0
16128,16704,Sideways,3.224457422121104,1.677358991826177,1.5470984302949269,4,50.0,10.649257465324967,0.3753715915984635
