window,total_trades,long_trades,short_trades,avg_leveraged_return,total_return_pct,win_rate,final_capital,avg_position_size
0,12,8,4,1.6860270690570576,8.940250443502574,75.0,10894.025044350257,52.758663
1,11,8,3,1.5199167275115328,7.034846627321313,72.72727272727273,10703.484662732131,51.284397
2,5,4,1,1.426929558323197,2.738161272373236,80.0,10273.816127237324,50.459736
3,3,3,0,1.6020220001832366,1.7698403447051896,100.0,10176.984034470519,48.360996
4,6,4,2,2.6145565192042795,6.925573435375627,100.0,10692.557343537563,57.231182
5,23,20,3,1.2416259475897373,9.531297730426996,47.82608695652174,10953.1297730427,49.55637
6,25,22,3,1.1348254277067087,8.81928847943571,48.0,10881.92884794357,48.629826
7,25,22,3,1.1348254277067087,8.81928847943571,48.0,10881.92884794357,48.629826
8,41,38,3,0.7271636406257131,6.4935183494533515,31.70731707317073,10649.351834945335,45.819935
9,48,45,3,0.43296771126028727,0.9998442853936649,31.25,10099.984428539366,45.035465
10,41,34,7,0.35687123728474124,-0.36420152127349864,31.70731707317073,9963.57984787265,46.25672
11,54,45,9,0.510744772085699,3.954054004100781,38.88888888888889,10395.405400410078,45.95333
12,66,55,11,0.5282440579947195,5.388320183874912,36.36363636363637,10538.832018387491,45.772465
13,55,43,12,0.7315320416999382,10.777335192876654,50.90909090909091,11077.733519287665,47.102318
14,45,35,10,0.8575577387592379,11.233662137601332,51.11111111111111,11123.366213760133,46.6916
15,38,31,7,1.0129145182140094,14.236393131423847,55.26315789473685,11423.639313142385,45.462967
16,35,24,11,1.1980602112270393,17.35779475024996,65.71428571428571,11735.779475024996,49.5529
17,29,19,10,1.3491398940197339,16.41876996120562,75.86206896551724,11641.876996120562,49.908676
18,32,21,11,1.409469913875455,19.44203425319527,71.875,11944.203425319527,49.57808
19,46,31,15,1.2452531253889036,24.432782989095124,65.21739130434783,12443.278298909512,49.657005
20,44,31,13,1.1644434695347439,19.91924513156204,65.9090909090909,11991.924513156204,49.503468
21,32,25,7,1.0668361647904838,12.030575303317674,56.25,11203.057530331767,46.972187
22,31,25,6,0.8968728343470609,9.148072134702762,54.83870967741935,10914.807213470276,47.72342
23,26,22,4,0.7917150022993046,5.7227608712222535,50.0,10572.276087122225,47.969376
24,14,14,0,0.7512794155047297,2.4699253058993236,64.28571428571429,10246.992530589932,46.875153
25,15,13,2,1.0962876153106196,6.245041153239471,60.0,10624.504115323947,49.808033
26,25,20,5,0.5313776831573094,4.072960655491915,48.0,10407.296065549192,49.745644
27,31,23,8,0.7407953436036308,9.160331725181967,67.74193548387096,10916.033172518197,49.962223
28,33,25,8,0.7536665174530086,9.433325968203043,69.6969696969697,10943.332596820304,49.501534
29,31,23,8,0.7086239025285432,8.146494052722428,67.74193548387096,10814.649405272243,49.318615
30,34,27,7,0.5176645793685005,5.191710474919182,61.76470588235294,10519.171047491918,47.07416
31,28,22,6,0.7455211850042234,6.752503455091792,67.85714285714286,10675.25034550918,46.961098
32,23,20,3,0.4591750258681452,1.1697887451232236,43.47826086956522,10116.978874512322,44.88822
33,21,17,4,0.45914065076946714,1.7195607800678043,38.095238095238095,10171.95607800678,46.112087
34,19,15,4,0.4256996145855981,1.42189041247515,31.57894736842105,10142.189041247515,46.709805
35,16,13,3,0.3948283051335537,0.2161713662445618,31.25,10021.617136624456,46.628307
36,23,21,2,0.3336786670944461,-0.5928103305912736,21.73913043478261,9940.718966940873,46.2792
37,22,20,2,0.43918799955987264,0.965562110661176,27.27272727272727,10096.556211066118,45.49637
38,21,20,1,0.2511680958641688,-1.2022683520948338,14.285714285714285,9879.773164790517,44.37625
39,38,35,3,0.13877410082210215,-2.942982141800512,18.421052631578945,9705.701785819949,45.527283
40,41,37,4,0.28554051315871287,-0.2878167540259892,29.268292682926827,9971.218324597401,46.279884
41,34,28,6,0.33548658522060454,0.9493644934484109,35.294117647058826,10094.936449344841,46.922443
42,29,23,6,0.3247936982881247,0.4696090682959038,37.93103448275862,10046.96090682959,47.907932
43,29,23,6,0.09208694813093951,-2.418152186783118,37.93103448275862,9758.184781321688,47.529408
44,20,14,6,0.8005295954324754,5.115747565177226,70.0,10511.574756517723,48.889614
45,20,13,7,0.567788028970793,2.8303108671673907,60.0,10283.031086716739,47.797928
46,22,15,7,0.7687466700470422,6.004978633404426,72.72727272727273,10600.497863340443,47.07791
47,28,20,8,0.7307644878963186,7.101114791914115,75.0,10710.111479191411,47.05128
48,38,30,8,0.6445417975606422,6.101140225652707,52.63157894736842,10610.11402256527,51.294518
49,31,25,6,0.5256398583743417,3.026959395391914,48.38709677419355,10302.695939539191,52.31952
50,29,23,6,0.6770623235860336,5.881237314252593,44.827586206896555,10588.12373142526,54.409386
51,29,24,5,0.8334935818563517,8.282992659635111,48.275862068965516,10828.299265963511,54.443977
52,26,22,4,1.028981412395238,9.315188278782443,46.15384615384615,10931.518827878244,54.64432
53,16,12,4,2.353975602564835,17.99022394729389,93.75,11799.022394729389,50.9659
54,23,16,7,2.0918197563733236,23.372270640163116,91.30434782608695,12337.227064016311,51.30338
55,24,17,7,2.048632123956526,23.84826916210601,95.83333333333334,12384.8269162106,50.988052
56,19,13,6,2.0746669097707624,19.508755957089015,94.73684210526315,11950.875595708902,52.519947
57,20,13,7,2.4547996212501078,24.988144244175672,95.0,12498.814424417567,52.49796
58,22,15,7,1.8147467784117133,19.99803378008115,77.27272727272727,11999.803378008115,50.581898
59,18,14,4,2.464284364279226,22.534410638389108,72.22222222222221,12253.44106383891,49.190445
60,16,14,2,2.311713968579824,16.824430713706313,62.5,11682.443071370632,44.72976
