exit_threshold,total_trades,wins,losses,win_rate,avg_return,ml_exit_pct,avg_hold
0.15,2,1,1,50.0,1.4371430729486199,50.0,36.5
0.2,2,1,1,50.0,-2.6051666163616867,0.0,60.5
0.75,2,1,1,50.0,-2.6051666163616867,0.0,60.5
