entry_idx,exit_idx,side,entry_price,exit_price,position_size,hold_time,pnl_pct,leveraged_pnl_pct,gross_pnl,entry_fee,exit_fee,net_pnl,exit_reason,balance
1131,1251,SHORT,121083.0,121344.0,9500.0,120,-0.21555461955848468,-0.8622184782339387,-81.91075543222418,4.75,4.709044622283888,-91.36980005450806,Max Hold,9908.630199945492
1456,1460,LONG,112739.9,111721.8,9413.198689948216,4,-0.903052069409314,-3.612208277637256,-340.02434226875124,4.706599344974109,4.536587173839733,-349.2675287875651,Stop Loss,9559.362671157927
1519,1639,SHORT,112625.2,112236.2,9081.39453760003,120,0.3453933933080696,1.3815735732322785,125.4661470124417,4.540697268800015,4.603430342306235,116.32201940133544,Max Hold,9675.684690559263
1641,1713,SHORT,112280.2,110729.5,9191.900456031299,72,1.3810983592832904,5.5243934371331616,507.7967455408062,4.595950228015649,4.849848600786052,498.35094671200454,ML Exit (0.896),10174.035637271267
1726,1731,LONG,110884.3,111068.4,9665.333855407704,5,0.166028914823822,0.664115659295288,64.18899565693155,4.832666927703852,4.864761425532318,54.491567303695376,ML Exit (0.879),10228.527204574963
1731,1732,LONG,111068.4,110985.5,9717.100844346214,1,-0.07463869111285855,-0.2985547644514342,-29.01086753734616,4.858550422173107,4.844044988404434,-38.7134629479237,ML Exit (0.879),10189.813741627038
1732,1749,LONG,110985.5,110021.4,9680.323054545686,17,-0.8686720337341417,-3.474688134936567,-336.361036599828,4.840161527272843,4.671981008972929,-345.8731791360738,Stop Loss,9843.940562490965
1751,1871,LONG,110316.2,111490.2,9351.743534366416,120,1.0642135969150497,4.256854387660199,398.0901049654057,4.675871767183208,4.874916819665911,388.53931637855663,Max Hold,10232.479878869523
1937,1989,SHORT,113854.7,114773.5,9720.855884926046,52,-0.8069934750168442,-3.2279739000673766,-313.7866908285764,4.860427942463023,4.703534597048735,-323.3506533680882,Stop Loss,9909.129225501434
1989,2051,SHORT,114773.5,115684.9,9413.672764226361,62,-0.7940857427890534,-3.1763429711562137,-299.0105331741509,4.706836382113181,4.557331115526106,-308.2747006717902,Stop Loss,9600.854524829643
2051,2171,SHORT,115684.9,114065.1,9120.81179858816,120,1.4001827377643827,5.600730951057531,510.83212939123416,4.56040589929408,4.8158219639896975,501.45590152795035,Max Hold,10102.310426357593
2171,2195,SHORT,114065.1,115090.4,9597.194905039712,24,-0.898872661313573,-3.595490645254292,-345.0662450175244,4.798597452519856,4.626064330011094,-354.49090680005537,Stop Loss,9747.819519557537
2206,2253,SHORT,114260.0,115229.9,9260.42854357966,47,-0.8488534920357029,-3.3954139681428117,-314.4298842785877,4.630214271789829,4.472999329650536,-323.53309788002804,Stop Loss,9424.286421677509
2333,2453,SHORT,114753.8,110746.1,8953.072100593632,120,3.4924333660410345,13.969733464164138,1250.7203093073717,4.476536050296816,5.101896204950503,1241.1418770521245,Max Hold,10665.428298729634
2491,2499,SHORT,111620.5,111571.3,10132.156883793152,8,0.044077924753962834,0.17631169901585134,17.864177948767246,5.066078441896576,5.075010530870959,7.723088975999711,ML Exit (0.854),10673.151387705633
2499,2500,SHORT,111571.3,111375.5,10139.49381832035,1,0.17549315997931628,0.7019726399172651,71.17647243071127,5.069746909160175,5.105335145375531,61.001390376175564,ML Exit (0.874),10734.152778081809
2500,2501,SHORT,111375.5,111610.3,10197.445139177718,1,-0.21081835771781307,-0.8432734308712523,-85.99234548635769,5.098722569588859,5.05572639684568,-96.14679445279224,ML Exit (0.879),10638.005983629017
2501,2511,SHORT,111610.3,112597.6,10106.105684447566,10,-0.8845957765546755,-3.538383106218702,-357.5927362351006,5.053052842223783,4.874256474106232,-367.5200455514306,Stop Loss,10270.485938077585
2511,2512,SHORT,112597.6,112835.3,9756.961641173706,1,-0.21110574292879875,-0.844422971715195,-82.39002543951067,4.878480820586853,4.837285807867098,-92.10579206796463,ML Exit (0.861),10178.38014600962
2512,2513,SHORT,112835.3,112492.3,9669.461138709139,1,0.30398288478871416,1.2159315391548566,117.57402765188677,4.834730569354569,4.893517583180513,107.84577949935169,ML Exit (0.880),10286.225925508972
2513,2514,SHORT,112492.3,112274.4,9771.914629233523,1,0.19370214672471692,0.7748085868988677,75.71363365172797,4.885957314616761,4.923814131442626,65.90386220566859,ML Exit (0.883),10352.12978771464
2514,2515,SHORT,112274.4,112451.6,9834.523298328908,1,-0.15782760807451357,-0.6313104322980543,-62.08637154913309,4.917261649164454,4.886218463389888,-71.88985166168743,ML Exit (0.893),10280.239936052953
2515,2516,SHORT,112451.6,112604.5,9766.227939250304,1,-0.13596960825812543,-0.5438784330325017,-53.116407482376935,4.883113969625152,4.8565557658839635,-62.856077217886046,ML Exit (0.891),10217.383858835066
2516,2517,SHORT,112604.5,112665.6,9706.514665893312,1,-0.05426070894147731,-0.21704283576590924,-21.067294684888715,4.853257332946656,4.842723685604211,-30.763275703439582,ML Exit (0.894),10186.620583131627
2517,2518,SHORT,112665.6,112666.3,9677.289553975046,1,-0.0006213076573480189,-0.0024852306293920755,-0.24050296409034763,4.838644776987524,4.838524525505478,-9.917672266583349,ML Exit (0.896),10176.702910865044
2518,2519,SHORT,112666.3,112294.6,9667.867765321791,1,0.3299123162826835,1.319649265130734,127.58194591888015,4.8339338826608955,4.897724855620335,117.85028718059891,ML Exit (0.894),10294.553198045644
2519,2520,SHORT,112294.6,112320.3,9779.825538143361,1,-0.022886229613888014,-0.09154491845555206,-8.952933313988595,4.889912769071681,4.8854363024146865,-18.728282385474962,ML Exit (0.898),10275.824915660169
