trade_id,side,entry_time,entry_price,exit_time,exit_price,exit_reason,hold_candles,pnl,return_pct,size,balance_after,entry_prob,exit_prob
1,LONG,2025-09-29 09:55:00,112060.4,2025-09-29 12:15:00,112196.7,ML_EXIT,28,1.3865915167177998,0.48652333919922797,285.0,301.3865915167178,0.852455735206604,0.9637301564216614
2,LONG,2025-10-01 21:00:00,117475.4,2025-10-01 21:10:00,117535.5,ML_EXIT,2,0.5859156025056707,0.2046385881640099,286.31726194088185,301.97250711922345,0.8551772236824036,0.8354787230491638
3,LONG,2025-10-03 11:50:00,120352.7,2025-10-03 13:25:00,120486.4,ML_EXIT,19,1.2747545503091273,0.4443606167539144,286.87388176326226,303.2472616695326,0.8566657304763794,0.973290205001831
4,LONG,2025-10-03 13:25:00,120486.4,2025-10-03 13:30:00,120409.9,ML_EXIT,1,-0.7316508665486986,-0.2539705726123446,288.08489858605594,302.5156108029839,0.9028159976005554,0.9264538884162903
5,LONG,2025-10-03 13:30:00,120409.9,2025-10-03 13:35:00,120390.0,ML_EXIT,1,-0.18998629256327718,-0.06610752105929556,287.38983026283466,302.3256245104206,0.9213299751281738,0.7875193953514099
6,LONG,2025-10-03 13:35:00,120390.0,2025-10-03 14:25:00,120393.3,ML_EXIT,10,0.031490683041482,0.010964365811123549,287.20934328489955,302.35711519346205,0.9177166819572449,0.8123179078102112
7,LONG,2025-10-03 14:25:00,120393.3,2025-10-03 14:35:00,120627.1,ML_EXIT,2,2.2312384112943393,0.776787412588584,287.23925943378896,304.5883536047564,0.8746926784515381,0.9802843928337097
8,LONG,2025-10-04 21:40:00,122275.1,2025-10-04 22:30:00,122316.0,ML_EXIT,10,0.38715259212418957,0.13379666015401068,289.35893592451856,304.9755061968806,0.8674970269203186,0.8949124813079834
9,LONG,2025-10-04 22:30:00,122316.0,2025-10-04 22:35:00,122239.4,ML_EXIT,1,-0.7257617183671371,-0.2504987082638602,289.7267308870365,304.24974447851343,0.921737015247345,0.8423534631729126
10,LONG,2025-10-04 22:35:00,122239.4,2025-10-04 22:40:00,122255.1,ML_EXIT,1,0.1484917281629456,0.05137459771566824,289.03725725458776,304.39823620667636,0.9367630481719971,0.8055353760719299
11,LONG,2025-10-04 22:40:00,122255.1,2025-10-04 23:45:00,122334.0,ML_EXIT,13,0.7465102002246038,0.25814873980715464,289.17832439634253,305.14474640690094,0.9387940168380737,0.7713110446929932
12,LONG,2025-10-04 23:45:00,122334.0,2025-10-05 02:25:00,122825.5,ML_EXIT,32,4.6587117470545305,1.6070757107590694,289.8875090865559,309.8034581539555,0.932417094707489,0.997776210308075
13,LONG,2025-10-05 02:35:00,123808.8,2025-10-05 02:40:00,123646.1,ML_EXIT,1,-1.5470555084796969,-0.5256492268723939,294.3132852462577,308.2564026454758,0.8932980298995972,0.9951249957084656
14,LONG,2025-10-05 02:40:00,123646.1,2025-10-05 02:45:00,123788.6,ML_EXIT,1,1.349988734238485,0.460993108557407,292.843582513202,309.6063913797143,0.9030175805091858,0.9931710958480835
15,LONG,2025-10-05 02:50:00,123701.4,2025-10-05 02:55:00,124006.2,ML_EXIT,1,2.898904189860775,0.9855991928951585,294.12607181072855,312.5052955695751,0.8532071113586426,0.9877410531044006
16,LONG,2025-10-05 02:55:00,124006.2,2025-10-05 03:00:00,123996.0,ML_EXIT,1,-0.09767822299427992,-0.03290158072740586,296.8800307910963,312.4076173465808,0.8506688475608826,0.9871469736099243
