exit_threshold,total_trades,wins,losses,win_rate,avg_return,ml_exit_pct,avg_hold,long_trades,short_trades
0.15,144,98,46,68.05555555555556,1.588884887849448,77.08333333333334,33.55555555555556,27,117
0.2,73,64,9,87.67123287671232,3.2256958573096335,52.054794520547944,68.56164383561644,25,48
0.75,48,38,10,79.16666666666666,3.826979698625216,0.0,115.5,25,23
