config,description,avg_return,win_windows,total_trades,long_trades,short_trades,long_wr,short_wr,overall_wr
none,No filter (default LONG+SHORT),20.66057240589717,99.00990099009901,21.594059405940595,17.89108910891089,3.702970297029703,62.313226342003325,81.01604278074866,65.52040348464007
regime,Regime filter (Bear markets only),11.994416329833385,100.0,20.168316831683168,20.168316831683168,0.0,59.69563082965145,0.0,59.69563082965145
strict,Strict filter (Strong Bear only),12.098082967576982,100.0,20.168316831683168,20.128712871287128,0.039603960396039604,59.813084112149525,100.0,59.891998036327934
