window_size,window_days,long_threshold,short_threshold,avg_return,win_windows,avg_trades,avg_long,avg_short,long_wr,short_wr,avg_pnl
2880,10.0,0.7,0.75,7.177878840337776,100.0,27.322916666666668,27.322916666666668,0.0,65.63279506507114,0.0,0.3571846893010013
2880,10.0,0.65,0.75,6.765674205389762,100.0,29.645833333333332,29.645833333333332,0.0,65.03577128658658,0.0,0.3328718625469327
2880,10.0,0.65,0.8,6.765674205389762,100.0,29.645833333333332,29.645833333333332,0.0,65.03577128658658,0.0,0.3328718625469327
2880,10.0,0.6,0.75,5.897551237233581,100.0,31.25,31.25,0.0,62.84790262783904,0.0,0.2892347843873248
2880,10.0,0.6,0.8,5.897551237233581,100.0,31.25,31.25,0.0,62.84790262783904,0.0,0.2892347843873248
2160,7.5,0.7,0.75,5.274891133513509,100.0,21.141414141414142,21.141414141414142,0.0,65.51998848289463,0.0,0.3515434741644384
2160,7.5,0.65,0.75,4.932884601571982,97.97979797979798,22.949494949494948,22.949494949494948,0.0,64.79066466753875,0.0,0.32511312346314414
2160,7.5,0.65,0.8,4.932884601571982,97.97979797979798,22.949494949494948,22.949494949494948,0.0,64.79066466753875,0.0,0.32511312346314414
2160,7.5,0.6,0.8,4.297067475654548,95.95959595959596,24.2020202020202,24.2020202020202,0.0,62.67869466123892,0.0,0.28415382952043267
2160,7.5,0.6,0.75,4.297067475654548,95.95959595959596,24.2020202020202,24.2020202020202,0.0,62.67869466123892,0.0,0.28415382952043267
1440,5.0,0.7,0.75,3.4070491863862693,97.02970297029702,13.94059405940594,13.94059405940594,0.0,66.80067955887499,0.0,0.356911839084294
1440,5.0,0.65,0.8,3.1856347752173777,94.05940594059405,15.118811881188119,15.118811881188119,0.0,65.87717708236325,0.0,0.329764800711432
1440,5.0,0.65,0.75,3.1856347752173777,94.05940594059405,15.118811881188119,15.118811881188119,0.0,65.87717708236325,0.0,0.329764800711432
1440,5.0,0.6,0.75,2.797023200400458,93.06930693069307,15.970297029702971,15.970297029702971,0.0,63.669845045299326,0.0,0.29062180148187106
1440,5.0,0.6,0.8,2.797023200400458,93.06930693069307,15.970297029702971,15.970297029702971,0.0,63.669845045299326,0.0,0.29062180148187106
