start_idx,end_idx,regime,hybrid_return,bh_return,difference,num_trades,num_strong,num_moderate,win_rate,sharpe,max_dd,config_name
0,1440,Sideways,2.373802503276147,1.877632284180478,0.49617021909566894,12,8,4,66.66666666666666,8.095750289205458,0.4324228035529756,Conservative
1440,2880,Sideways,0.5640536002385852,-1.9199398516340356,2.483993451872621,11,10,1,36.36363636363637,4.7664312364976125,1.1812953895515523,Conservative
2880,4320,Sideways,-0.20185730532037272,-0.8201022009771113,0.6182448956567386,18,12,6,44.44444444444444,1.998811466857892,3.620518813037362,Conservative
4320,5760,Bear,-3.8924996214095335,-4.476676862179103,0.5841772407695691,14,8,6,42.857142857142854,-3.349416329555169,3.0444756537616637,Conservative
5760,7200,Bear,-2.949940146964036,-2.6072446699346106,-0.34269547702942527,10,6,4,30.0,-3.00745171042703,4.388329993464918,Conservative
7200,8640,Sideways,-0.8677481332105709,0.7528214993384328,-1.6205696325490035,14,12,2,50.0,1.1234002874640812,2.4695145733289987,Conservative
8640,10080,Bull,1.6385707427051965,3.8234243843739066,-2.18485364166871,9,4,5,88.88888888888889,28.932274711553035,0.1590149457449054,Conservative
10080,11520,Sideways,-0.611848130454764,2.123385539553733,-2.735233670008497,7,3,4,28.57142857142857,0.6921258605100084,1.7405136304589723,Conservative
11520,12960,Sideways,0.5950060208294236,-1.4139875292337014,2.008993550063125,4,1,3,75.0,29.781449383245008,0.0,Conservative
12960,14400,Bear,-5.4339524703295865,-5.472513919015698,0.03856144868611189,10,8,2,0.0,-15.973275716351845,5.15964615538171,Conservative
14400,15840,Bull,0.4768594422182469,7.132804185728906,-6.655944743510659,8,2,6,37.5,4.826919263950938,0.6959270849255329,Conservative
