feature,builtin_score,perm_score,composite_score
close_change_1,1.0,1.0,1.0000000238418578
close_change_2,0.8197226,0.5298165137614678,0.7037601731239108
close_change_3,0.80403364,0.5229357798165141,0.6915945179965519
close_change_4,0.6908324,0.5022935779816513,0.6154168630411865
close_change_5,0.6589794,0.45871559633027587,0.5788739178705655
sma_10,0.6549546,0.45871559633027587,0.5764590356874906
sma_20,0.6358433,0.4105504587155966,0.5457261794750845
ema_10,0.62385607,0.4013761467889911,0.5348641112310079
macd,0.56061524,0.3944954128440375,0.4941673219750784
macd_signal,0.55949354,0.3899082568807337,0.4916594337432756
macd_diff,0.5515359,0.38761467889908285,0.4859674320855273
rsi,0.54065967,0.38761467889908285,0.4794416771569384
bb_high,0.51779014,0.38532110091743205,0.4648025414812459
bb_low,0.51392347,0.38532110091743205,0.462482520090331
bb_mid,0.5094751,0.385321100917431,0.4598135135042557
volatility,0.4984849,0.38302752293578113,0.45230196085544955
volume_sma,0.46839797,0.38302752293578013,0.4342498001155505
volume_ratio,0.4682264,0.38302752293578013,0.4341468628940234
ema_3,0.43839988,0.38073394495412927,0.415333524537743
ema_5,0.4354038,0.38073394495412927,0.41353587825363963
price_mom_3,0.42018276,0.3784403669724784,0.4034858233884939
price_mom_5,0.41173026,0.3784403669724774,0.39841431748429584
rsi_5,0.3791431,0.3784403669724774,0.37886201214352894
rsi_7,0.35036004,0.3784403669724774,0.36159217726746845
volatility_5,0.32002196,0.3784403669724774,0.3433893359855776
volatility_10,0.30437043,0.37614678899082654,0.3330809843922977
volume_spike,0.3008902,0.37614678899082654,0.33099283997072027
volume_trend,0.2996121,0.3761467889908255,0.33022598151220084
price_vs_ema3,0.299379,0.3761467889908255,0.3300861192132354
price_vs_ema5,0.27908725,0.3761467889908255,0.3179110658551574
body_size,0.27603036,0.3761467889908255,0.31607694152845145
upper_shadow,0.27147457,0.3761467889908255,0.31334345761789084
lower_shadow,0.27108046,0.3761467889908255,0.31310700599206687
nearest_support,0.2692416,0.3761467889908255,0.3120036793137908
nearest_resistance,0.26865056,0.3761467889908255,0.3116490614796996
distance_to_support_pct,0.26654977,0.3761467889908255,0.31038858715547324
distance_to_resistance_pct,0.25887558,0.3761467889908255,0.30578406874192954
num_support_touches,0.25425693,0.3761467889908255,0.3030128848935485
num_resistance_touches,0.24637538,0.3761467889908255,0.29828395668519736
upper_trendline_slope,0.23533612,0.3761467889908255,0.2916603905345321
lower_trendline_slope,0.23316401,0.3761467889908255,0.29035713497651816
price_vs_upper_trendline_pct,0.23258771,0.3761467889908255,0.2900113535310149
price_vs_lower_trendline_pct,0.2186757,0.3761467889908255,0.2816641402627349
rsi_bullish_divergence,0.21282619,0.3761467889908255,0.27815443996442557
rsi_bearish_divergence,0.20333298,0.3761467889908255,0.2724585083509803
macd_bullish_divergence,0.19950183,0.3761467889908255,0.27015981797231436
macd_bearish_divergence,0.19888969,0.3761467889908255,0.2697925341512084
double_top,0.19869535,0.3761467889908255,0.26967592511428595
double_bottom,0.19004607,0.3761467889908255,0.26448636476053
higher_highs_lows,0.18972391,0.3761467889908255,0.2642930668975234
lower_highs_lows,0.18861908,0.3761467889908255,0.2636301663900733
volume_ma_ratio,0.18074514,0.3761467889908255,0.2589058053876281
volume_price_correlation,0.17929448,0.3761467889908255,0.25803540621055365
price_volume_trend,0.17792115,0.3761467889908255,0.25721140924943686
total_range,0.17702025,0.3761467889908255,0.25667086962713004
body_to_range_ratio,0.17418443,0.3761467889908255,0.25496937308562995
upper_shadow_ratio,0.16804758,0.3761467889908255,0.2512872663523078
lower_shadow_ratio,0.1592457,0.3761467889908255,0.2460061383630157
