start_idx,end_idx,regime,hybrid_return,bh_return,difference,num_trades,num_strong,num_moderate,win_rate,sharpe,max_dd,config_name
0,1440,Sideways,0.5876592400962727,1.877632284180478,-1.2899730440842054,17,15,2,47.05882352941176,3.651963314950001,1.6321703955603222,Aggressive
1440,2880,Sideways,-0.24200459558540388,-1.9199398516340356,1.6779352560486318,12,9,3,33.33333333333333,2.5988908597860494,2.020116724988799,Aggressive
2880,4320,Sideways,-3.397212652122853,-0.8201022009771113,-2.577110451145742,20,17,3,35.0,-1.022913091843485,6.0071739770101305,Aggressive
4320,5760,Bear,-5.05019054815637,-4.476676862179103,-0.5735136859772672,15,12,3,33.33333333333333,-4.642225021962651,4.37411025618949,Aggressive
5760,7200,Bear,-3.4867519500929847,-2.6072446699346106,-0.8795072801583741,13,9,4,23.076923076923077,-2.8039778776307918,4.15453782227926,Aggressive
7200,8640,Sideways,-2.0619569269578277,0.7528214993384328,-2.8147784262962605,18,16,2,44.44444444444444,0.015171426588867895,3.497447182474392,Aggressive
8640,10080,Bull,-0.553736175717404,3.8234243843739066,-4.37716056009131,12,10,2,66.66666666666666,2.470619848689525,2.1084104607249063,Aggressive
10080,11520,Sideways,-1.2625192847223115,2.123385539553733,-3.3859048242760448,10,10,0,40.0,-0.30734759342228624,1.9729614681087564,Aggressive
11520,12960,Sideways,-0.1420777976055251,-1.4139875292337014,1.2719097316281762,6,4,2,50.0,4.406557305993072,0.7192611755229705,Aggressive
12960,14400,Bear,-6.16842617526132,-5.472513919015698,-0.6959122562456219,15,13,2,26.666666666666668,-7.732092095585264,4.36738926817439,Aggressive
14400,15840,Bull,2.0540880775663752,7.132804185728906,-5.078716108162531,11,9,2,36.36363636363637,8.466232713041007,0.4593616929101687,Aggressive
0,1440,Sideways,0.34986312093978994,1.877632284180478,-1.527769163240688,17,14,3,47.05882352941176,3.3090165968411642,1.510969339759625,Semi-Aggressive
1440,2880,Sideways,0.545513410329495,-1.9199398516340356,2.4654532619635305,11,10,1,45.45454545454545,4.846213982347689,1.246635642257492,Semi-Aggressive
2880,4320,Sideways,-3.322516058536821,-0.8201022009771113,-2.5024138575597097,20,17,3,35.0,-0.963949537714029,5.78191399415004,Semi-Aggressive
4320,5760,Bear,-4.41354858070039,-4.476676862179103,0.06312828147871308,15,12,3,33.33333333333333,-3.7941739474357608,3.7329351454895265,Semi-Aggressive
5760,7200,Bear,-3.455262516609582,-2.6072446699346106,-0.8480178466749715,13,10,3,23.076923076923077,-2.7663772111431317,4.154537822279234,Semi-Aggressive
7200,8640,Sideways,-2.2603975449981775,0.7528214993384328,-3.0132190443366103,18,15,3,44.44444444444444,-0.2446010996164384,3.692979231336132,Semi-Aggressive
8640,10080,Bull,-0.5809269509153273,3.8234243843739066,-4.404351335289234,12,9,3,66.66666666666666,2.3762926839275567,2.1351761541011514,Semi-Aggressive
10080,11520,Sideways,-1.2625192847223115,2.123385539553733,-3.3859048242760448,10,8,2,40.0,-0.30734759342228624,1.9729614681087564,Semi-Aggressive
11520,12960,Sideways,-0.1420777976055251,-1.4139875292337014,1.2719097316281762,6,4,2,50.0,4.406557305993072,0.7192611755229705,Semi-Aggressive
12960,14400,Bear,-6.16842617526132,-5.472513919015698,-0.6959122562456219,15,10,5,26.666666666666668,-7.732092095585264,4.36738926817439,Semi-Aggressive
14400,15840,Bull,2.0540880775663752,7.132804185728906,-5.078716108162531,11,9,2,36.36363636363637,8.466232713041007,0.4593616929101687,Semi-Aggressive
0,1440,Sideways,-0.7295431725303934,1.877632284180478,-2.6071754567108716,16,13,3,50.0,2.704675836996218,1.419615821998308,Baseline
1440,2880,Sideways,0.7215060509885735,-1.9199398516340356,2.641445902622609,11,9,2,45.45454545454545,5.371414395612714,1.2466356422574776,Baseline
2880,4320,Sideways,-3.0186996974517024,-0.8201022009771113,-2.198597496474591,20,14,6,40.0,-0.6675004618035149,5.838910674537484,Baseline
4320,5760,Bear,-3.1222761767852534,-4.476676862179103,1.3544006853938493,14,9,5,35.714285714285715,-2.2702748578450365,2.4324683700544703,Baseline
5760,7200,Bear,-3.770978964086844,-2.6072446699346106,-1.1637342941522335,12,6,6,25.0,-3.388859669066833,4.3533196512336145,Baseline
7200,8640,Sideways,-1.8271591904527669,0.7528214993384328,-2.5799806897911997,17,8,9,41.17647058823529,0.1797431132544394,3.2660909060209575,Baseline
8640,10080,Bull,0.003934384058811701,3.8234243843739066,-3.819490000315095,11,6,5,72.72727272727273,4.245950556515263,1.830753934173975,Baseline
10080,11520,Sideways,-2.254493699050108,2.123385539553733,-4.377879238603841,9,5,4,33.33333333333333,-4.523266411968544,2.0499742067001394,Baseline
11520,12960,Sideways,0.0009784467862664313,-1.4139875292337014,1.4149659760199678,5,1,4,60.0,6.104053919712254,0.5260118242869546,Baseline
12960,14400,Bear,-4.76840641452849,-5.472513919015698,0.704107504487208,13,8,5,30.76923076923077,-7.948622394642506,4.783760046207646,Baseline
14400,15840,Bull,2.05542672679705,7.132804185728906,-5.077377458931856,11,4,7,36.36363636363637,8.308586956419164,0.459361692910155,Baseline
0,1440,Sideways,1.2901851217138756,1.877632284180478,-0.5874471624666024,14,12,2,57.14285714285714,5.878408858493414,0.8377482565735296,Semi-Conservative
1440,2880,Sideways,0.4439453948515256,-1.9199398516340356,2.363885246485561,11,11,0,45.45454545454545,4.522889499806986,1.2993190455650243,Semi-Conservative
2880,4320,Sideways,-2.679407034992837,-0.8201022009771113,-1.8593048340157257,20,15,5,35.0,-0.34340630873158634,5.820116794483026,Semi-Conservative
4320,5760,Bear,-2.6243461512854447,-4.476676862179103,1.852330710893658,14,11,3,50.0,-1.5090020257325252,2.1352382477521927,Semi-Conservative
