feature,builtin_score,perm_score,composite_score
rsi_raw,1.0,1.0,1.0000000238418578
rsi_deviation,0.77137,0.9872701555869869,0.8577300822886583
rsi_direction,0.7451358,0.974540311173974,0.8368976009195561
rsi_extreme,0.6418994,0.9717114568599718,0.7738242566922767
macd_strength,0.5586045,0.97029702970297,0.7232815111037527
macd_direction,0.4284971,0.9660537482319655,0.6435197866367651
macd_divergence_abs,0.39882353,0.9632248939179627,0.6245840841970145
price_distance_ma_short,0.37490025,0.9632248939179627,0.6102301234445273
price_direction_ma_short,0.34885442,0.9420084865629419,0.5861160571074384
price_distance_ma_long,0.3084652,0.9363507779349363,0.5596194387240996
price_direction_ma_long,0.3077121,0.9236209335219233,0.5540756381468522
atr,0.28258908,0.9179632248939177,0.5367387486482105
atr_pct,0.2557291,0.898161244695898,0.5127019633076653
negative_momentum,0.25208345,0.8826025459688828,0.5042910976617307
down_candle_ratio,0.25196248,0.8514851485148506,0.49177155512394255
volume_ma_short,0.2491957,0.7425742574257425,0.44654711992433754
volume_surge,0.243655,0.5388967468175392,0.3617516964210312
volatility,0.22541916,0.5148514851485143,0.3411921012224535
price_range,0.2160732,0.49646393210749695,0.32822950482790025
resistance,0.19752027,0.13154172560113245,0.17112885876710246
support,0.18231581,0.12729844413012859,0.16030886903131245
near_resistance,0.17332909,0.07920792079208006,0.13568062236403508
below_support,0.13758983,0.0,0.08255390077829361
