return_pct,win_rate,total_trades,long_trades,short_trades,avg_trades_per_day,final_balance,long_threshold,short_threshold
-3.769826220646355,57.608695652173914,92,23,69,4.207049857097491,9623.017377935364,0.85,0.85
-7.858004044540176,55.55555555555556,108,23,85,4.938710701810098,9214.199595545982,0.85,0.8
-10.07882479061529,56.75675675675676,74,24,50,3.3839314067958077,8992.117520938471,0.85,0.9
-11.511825648404175,50.39370078740157,127,27,100,5.807557954906319,8848.817435159583,0.8,0.75
-11.861568627828909,52.41935483870967,124,22,102,5.670371546522706,8813.843137217109,0.85,0.75
-12.428048049146344,56.30252100840336,119,37,82,5.441727532550016,8757.195195085365,0.7,0.8
-12.473890968790457,55.88235294117647,102,37,65,4.664337885042871,8752.610903120954,0.7,0.85
-12.828407613600703,52.68817204301075,93,27,66,4.252778659892029,8717.15923863993,0.8,0.85
-13.172501546694221,52.293577981651374,109,27,82,4.984439504604636,8682.749845330578,0.8,0.8
-13.895503940421166,52.56410256410257,78,29,49,3.5668466179739595,8610.449605957883,0.8,0.9
-14.302070138292894,56.32183908045977,87,39,48,3.978405843124801,8569.79298617071,0.7,0.9
-16.173436807602812,53.57142857142857,112,31,81,5.12162591298825,8382.656319239719,0.75,0.8
-16.66728871594283,53.125,96,31,65,4.389965068275643,8333.271128405717,0.75,0.85
-16.800501818382944,53.086419753086425,81,33,48,3.7040330263575734,8319.949818161705,0.75,0.9
-18.442892914826107,52.63157894736842,133,36,97,6.081930771673547,8155.710708517389,0.7,0.75
-22.279070249995602,49.60629921259843,127,30,97,5.807557954906319,7772.09297500044,0.75,0.75
