start_idx,end_idx,actual_regime,used_regime,hybrid_return,bh_return,difference,num_trades,num_strong,num_moderate,win_rate,sharpe,max_dd
0,1440,Sideways,Sideways,1.2901851217138756,1.877632284180478,-0.5874471624666024,14,12,2,57.14285714285714,5.878408858493414,0.8377482565735296
1440,2880,Sideways,Sideways,0.4439453948515256,-1.9199398516340356,2.363885246485561,11,11,0,45.45454545454545,4.522889499806986,1.2993190455650243
2880,4320,Sideways,Sideways,-2.679407034992837,-0.8201022009771113,-1.8593048340157257,20,15,5,35.0,-0.34340630873158634,5.820116794483026
4320,5760,Bear,Sideways,-2.6243461512854447,-4.476676862179103,1.852330710893658,14,11,3,50.0,-1.5090020257325252,2.1352382477521927
5760,7200,Bear,Bear,-1.8773531936243852,-2.6072446699346106,0.7298914763102253,9,7,2,33.33333333333333,-1.5147568897060106,3.988957686870668
7200,8640,Sideways,Bear,0.07056180946648964,0.7528214993384328,-0.6822596898719432,11,11,0,54.54545454545454,2.319315454742327,1.868240662570474
8640,10080,Bull,Sideways,0.38798338621372747,3.8234243843739066,-3.4354409981601792,10,7,3,80.0,5.545756812952283,1.529544408034797
10080,11520,Sideways,Bull,-1.2625192847223115,2.123385539553733,-3.3859048242760448,10,10,0,40.0,-0.30734759342228624,1.9729614681087564
11520,12960,Sideways,Sideways,0.06586439451768457,-1.4139875292337014,1.479851923751386,5,2,3,60.0,6.811019680635567,0.5260118242869568
12960,14400,Bear,Sideways,-4.856954087762297,-5.472513919015698,0.6155598312534014,13,9,4,15.384615384615385,-8.634500846026347,4.722045418088232
14400,15840,Bull,Bear,-0.5085948857083713,7.132804185728906,-7.641399071437277,5,0,5,20.0,0.6618725484502986,0.18390655819761353
