start_idx,end_idx,regime,ml_return,bh_return,difference,num_trades,num_long,num_short,win_rate,win_rate_long,win_rate_short,sharpe,max_dd,ml_exit_rate
0,1440,Sideways,-6.775233970294921,2.473028405647383,-9.248262375942303,471,13,458,26.11464968152866,84.61538461538461,24.45414847161572,3.0524277929363093,7.365066005992059,100.0
1440,2880,Bull,6.501923267936763,8.03813659558464,-1.5362133276478778,276,28,248,37.31884057971014,100.0,30.241935483870968,3.8050134723332776,1.917833701406033,100.0
2880,4320,Sideways,10.441782931874096,1.5748336042585827,8.866949327615513,246,35,211,49.59349593495935,97.14285714285714,41.70616113744076,5.712111550747909,0.9355690925673859,100.0
4320,5760,Sideways,4.410829898200809,-1.2266906927041816,5.637520590904991,317,39,278,41.32492113564668,92.3076923076923,34.172661870503596,4.678817153259446,2.4092310500150997,100.0
5760,7200,Sideways,12.207338808091608,0.03951854825241705,12.167820259839191,340,39,301,50.0,87.17948717948718,45.182724252491695,5.984653957101981,2.210113401030709,100.0
7200,8640,Sideways,-1.9356082577507185,-0.5108854068724317,-1.424722850878287,361,21,340,39.05817174515235,90.47619047619048,35.88235294117647,4.285461612076401,2.9155594847442954,100.0
8640,10080,Bear,-1.337164704334664,-3.3590363127303107,2.0218716083956467,370,29,341,40.54054054054054,79.3103448275862,37.24340175953079,4.534265762889828,2.514819960944293,100.0
10080,11520,Bull,-2.8913832776155326,4.403234106157836,-7.294617383773368,307,15,292,32.24755700325733,80.0,29.794520547945208,3.894756349728903,5.353608246126534,100.0
11520,12960,Sideways,7.627104618843532,-1.084716428085674,8.711821046929206,494,33,461,45.74898785425101,90.9090909090909,42.51626898047722,4.335262024806685,2.0030025604172033,100.0
12960,14400,Bear,2.0247810744046184,-3.1152001581833435,5.139981232587962,377,33,344,39.52254641909814,78.78787878787878,35.75581395348838,5.5896692234639485,4.381294644799906,100.0
14400,15840,Sideways,4.805359962048369,-1.1200991381738272,5.925459100222197,270,26,244,38.88888888888889,88.46153846153845,33.60655737704918,3.241348123691736,3.0690157336224124,100.0
15840,17280,Bear,10.696857374823084,-3.3298183470946454,14.02667572191773,298,46,252,48.322147651006716,89.13043478260869,40.87301587301587,6.760291849998371,0.8001251593932911,100.0
17280,18720,Sideways,6.823087491605929,1.1915368361792948,5.631550655426635,233,20,213,45.92274678111588,85.0,42.25352112676056,4.302341891964884,1.4540803940379576,100.0
18720,20160,Sideways,2.260153896985012,0.8255066612031196,1.4346472357818922,186,13,173,43.01075268817204,92.3076923076923,39.30635838150289,4.980572243884865,1.250292466649077,100.0
20160,21600,Bull,-0.11335311032806203,3.9272006569232705,-4.040553767251333,222,10,212,29.27927927927928,100.0,25.943396226415093,3.879380411521042,4.928619504583838,100.0
21600,23040,Sideways,-0.4675702417385401,-0.010125835177738289,-0.4574444065608018,308,14,294,33.116883116883116,100.0,29.931972789115648,4.234818723885037,2.226473368899769,100.0
23040,24480,Sideways,-5.038359350181035,-1.5947964608823166,-3.4435628892987182,396,10,386,26.515151515151516,90.0,24.870466321243523,3.906297014761255,6.620269123610352,100.0
24480,25920,Sideways,-0.7000596064204364,0.26696185254911414,-0.9670214589695505,303,21,282,31.02310231023102,90.47619047619048,26.595744680851062,3.6842167711926654,3.6689374627549673,100.0
25920,27360,Bull,3.573320953720686,6.768516237696724,-3.195195283976038,294,27,267,41.49659863945578,77.77777777777779,37.82771535580524,3.7454216483072336,2.4111477533096246,100.0
27360,28800,Sideways,5.533045839725383,-0.7849400299850099,6.317985869710393,459,29,430,46.40522875816993,96.55172413793103,43.02325581395349,4.426255387758175,2.29784054089229,100.0
28800,30240,Bear,27.36607465859528,-6.3843160203858496,33.750390678981134,417,76,341,55.15587529976019,80.26315789473685,49.56011730205279,6.273454166715918,1.6380060329044772,100.0
