feature,train_mean,prod_mean,mean_diff_pct,train_std,prod_std,std_diff_pct,train_min,prod_min,train_max,prod_max,is_mismatch
macd,-1.5482858382436009,-1.5482858382436009,0.0,137.28852491162118,137.28852491162118,0.0,-2094.408484615924,-2094.408484615924,1087.10747902219,1087.10747902219,False
macd_signal,-1.563253288075664,-1.563253288075664,0.0,129.18894552124155,129.18894552124155,0.0,-1539.9557533569564,-1539.9557533569564,1004.4907607808836,1004.4907607808835,False
macd_histogram,0.017939147049922798,0.014967449832062798,16.56543197413255,41.57078936228769,41.569749001709454,0.0025026240641427247,-1011.8489702748794,-1011.8489702748849,403.4744711134231,403.47447111341444,True
bb_upper,115143.71552447378,115143.7155262655,1.5560719977175529e-09,4103.009518024693,4103.009517597704,1.040671880525412e-08,105459.4316307853,105459.43163203896,125985.16313955288,125985.16314072369,False
bb_lower,114451.55610797499,114451.55610618317,1.5655715297781258e-09,4104.567685298666,4104.567685619899,7.826222974030805e-09,103353.95911580192,103353.95911545945,125099.04642241837,125099.04642098233,False
bb_width,0.006038264270873441,0.00603826427087349,8.187720183935491e-13,0.005254958733089622,0.005254958733089621,1.6505585781695713e-14,0.0005151653793236,0.0005151653793236341,0.127100634650372,0.12710063465037202,False
volume_surge,0.1743615423134702,0.1743615423134702,0.0,0.3794264103853803,0.3794264103853803,0.0,0.0,0.0,1.0,1.0,False
price_acceleration,-0.009868135536638971,-0.002830913036221095,71.31258385109422,194.6393773893644,194.63457727570892,0.002466157526733444,-6389.100000000006,-6389.100000000006,13661.699999999997,13661.699999999997,True
price_vs_ma20,-1.602803788226291e-05,-1.595684964990072e-05,0.44414537037996876,0.0026791971869039406,0.0026793302324667596,0.0049658740500109376,-0.10392162906056548,-0.10392162906056548,0.024524932688335922,0.024524932688335922,False
price_vs_ma50,-0.00021360246018489604,-0.0002136024601848954,3.045475217751165e-13,0.00853625820618053,0.008536258206180529,2.0321825016949293e-14,-0.13676878132564882,-0.13676878132564882,0.042611095454135085,0.042611095454135085,False
volatility_20,0.0009311056015748479,0.000930905042801952,0.021539850154143118,0.0007596921634722583,0.0007596376440893233,0.007176508904511581,0.00013308959692381043,0.0001330895969238319,0.022623260714139958,0.022623260714139958,False
rsi_slope,-7.442596834114178e-05,0.0003454463348513039,564.1468272486264,2.514346778209347,2.5143858649774695,0.0015545496134335571,-12.22058970380405,-12.220589703804052,13.905153088165301,13.905153088165305,True
rsi_overbought,0.037389417459522616,0.037389417459522616,0.0,0.18971729093288295,0.18971729093288295,0.0,0.0,0.0,1.0,1.0,False
rsi_oversold,0.03772325154398264,0.03772325154398264,0.0,0.1905293145477964,0.1905293145477964,0.0,0.0,0.0,1.0,1.0,False
rsi_divergence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
macd_histogram_slope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
macd_crossover,0.04016024036054081,0.04016024036054081,0.0,0.19633818360454505,0.19633818360454505,0.0,0.0,0.0,1.0,1.0,False
macd_crossunder,0.04016024036054081,0.04016024036054081,0.0,0.19633818360454505,0.19633818360454505,0.0,0.0,0.0,1.0,1.0,False
bb_position,0.49798260354781565,0.49798260361021246,1.2529917608379486e-08,0.3291662842883855,0.3291662806671001,1.1001386259564538e-06,-0.5699562345152244,-0.5699562341971682,1.5309457815029153,1.5309457743127108,False
higher_high,0.46826907027207476,0.46830245368052076,0.007129108147047075,0.49900046153892974,0.49900258330541564,0.0004252033112209084,0.0,0.0,1.0,1.0,False
near_support,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
