base_position,max_position,min_position,total_return,sharpe,win_rate,avg_holding_hours,avg_position_size,trades_per_week,max_dd,total_trades
0.6,1.0,0.2,35.66548123890661,12.839205449057024,81.9047619047619,1.5349206349206348,76.65737,35.05796621397814,-11.448992693082191,105
0.6,1.0,0.15,35.66548123890661,12.839205449057024,81.9047619047619,1.5349206349206348,76.65737,35.05796621397814,-11.448992693082191,105
0.6,1.0,0.25,35.66548123890661,12.839205449057024,81.9047619047619,1.5349206349206348,76.65737,35.05796621397814,-11.448992693082191,105
0.6,0.95,0.2,34.497874738529276,12.976611302184414,81.9047619047619,1.5349206349206348,74.5752,35.05796621397814,-11.026373382850725,105
0.6,0.95,0.25,34.497874738529276,12.976611302184414,81.9047619047619,1.5349206349206348,74.5752,35.05796621397814,-11.026373382850725,105
0.6,0.95,0.15,34.497874738529276,12.976611302184414,81.9047619047619,1.5349206349206348,74.5752,35.05796621397814,-11.026373382850725,105
0.6,0.9,0.15,33.33767015223961,13.124231476154534,81.9047619047619,1.5349206349206348,72.49302,35.05796621397814,-10.602551945720995,105
0.6,0.9,0.2,33.33767015223961,13.124231476154534,81.9047619047619,1.5349206349206348,72.49302,35.05796621397814,-10.602551945720995,105
0.6,0.9,0.25,33.33767015223961,13.124231476154534,81.9047619047619,1.5349206349206348,72.49302,35.05796621397814,-10.602551945720995,105
0.5,1.0,0.2,32.840243604217264,12.373967518145593,81.9047619047619,1.5349206349206348,70.82172,35.05796621397814,-11.019008551156691,105
0.5,1.0,0.25,32.840243604217264,12.373967518145593,81.9047619047619,1.5349206349206348,70.82172,35.05796621397814,-11.019008551156691,105
0.5,1.0,0.15,32.840243604217264,12.373967518145593,81.9047619047619,1.5349206349206348,70.82172,35.05796621397814,-11.019008551156691,105
0.5,0.95,0.25,31.695076337092807,12.500999657100577,81.9047619047619,1.5349206349206348,68.73955,35.05796621397814,-10.595046925890587,105
0.5,0.95,0.2,31.695076337092807,12.500999657100577,81.9047619047619,1.5349206349206348,68.73955,35.05796621397814,-10.595046925890587,105
0.5,0.95,0.15,31.695076337092807,12.500999657100577,81.9047619047619,1.5349206349206348,68.73955,35.05796621397814,-10.595046925890587,105
0.5,0.9,0.15,30.557192727800796,12.638233348543517,81.9047619047619,1.5349206349206348,66.657364,35.05796621397814,-10.169880951427947,105
0.5,0.9,0.2,30.557192727800796,12.638233348543517,81.9047619047619,1.5349206349206348,66.657364,35.05796621397814,-10.169880951427947,105
0.5,0.9,0.25,30.557192727800796,12.638233348543517,81.9047619047619,1.5349206349206348,66.657364,35.05796621397814,-10.169880951427947,105
0.4,1.0,0.15,30.06985849846395,11.859214859677772,81.9047619047619,1.5349206349206348,64.98605,35.05796621397814,-10.587642739183048,105
0.4,1.0,0.25,30.06985849846395,11.859214859677772,81.9047619047619,1.5349206349206348,64.98605,35.05796621397814,-10.587642739183048,105
0.4,1.0,0.2,30.06985849846395,11.859214859677772,81.9047619047619,1.5349206349206348,64.98605,35.05796621397814,-10.587642739183048,105
0.4,0.95,0.25,28.946740379713564,11.971943703212055,81.9047619047619,1.5349206349206348,62.90388,35.05796621397814,-10.16233697561796,105
0.4,0.95,0.15,28.946740379713564,11.971943703212055,81.9047619047619,1.5349206349206348,62.90388,35.05796621397814,-10.16233697561796,105
0.4,0.95,0.2,28.946740379713564,11.971943703212055,81.9047619047619,1.5349206349206348,62.90388,35.05796621397814,-10.16233697561796,105
0.4,0.9,0.2,27.830791444260218,12.094423367838921,81.9047619047619,1.5349206349206348,60.821716,35.05796621397814,-9.735821953807292,105
0.4,0.9,0.25,27.830791444260218,12.094423367838921,81.9047619047619,1.5349206349206348,60.821716,35.05796621397814,-9.735821953807292,105
0.4,0.9,0.15,27.830791444260218,12.094423367838921,81.9047619047619,1.5349206349206348,60.821716,35.05796621397814,-9.735821953807292,105
