start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,sharpe,max_dd,liquidations,final_capital
0,1440,Sideways,13.180314046419007,2.270613143709525,10.909700902709481,11,81.81818181818183,17.30849940955222,1.1245368668927451,0,11318.0314046419
1440,2880,Sideways,1.7911393019666684,-2.0224330193216757,3.813572321288344,14,71.42857142857143,2.5766504071617846,4.397197288998696,0,10179.113930196667
2880,4320,Sideways,11.28815775548168,-0.5914351004940368,11.879592855975718,22,59.09090909090909,5.69474139632167,3.5817969657114785,0,11128.815775548168
4320,5760,Bear,4.29173201565769,-4.493761894214929,8.785493909872619,17,52.94117647058824,4.00473689293333,2.864444612772669,0,10429.173201565769
5760,7200,Bear,4.08605431171105,-3.5276730419637223,7.613727353674772,12,58.333333333333336,4.6642680482075,2.324003482121483,0,10408.605431171105
7200,8640,Sideways,10.232525393950182,2.1740653023939758,8.058460091556206,15,66.66666666666666,8.272927762283247,2.1047189840737976,0,11023.252539395018
8640,10080,Bull,8.505737382102325,3.882065420730484,4.623671961371841,10,100.0,30.29759196125777,0.0,0,10850.573738210232
10080,11520,Sideways,8.83819850231037,1.8614519495474038,6.9767465527629655,6,100.0,22.33353058281063,0.0,0,10883.819850231037
11520,12960,Sideways,2.2148626855202744,-1.1782215588216938,3.393084244341968,5,60.0,7.364808408891555,1.1334116722002012,0,10221.486268552027
12960,14400,Bear,6.375604374019658,-5.201186834529879,11.576791208549537,15,60.0,9.01090735932401,1.2713822043758438,0,10637.560437401966
14400,15840,Bull,10.779426676968324,7.248375460768837,3.5310512161994874,8,100.0,20.74469878319347,0.0,0,11077.942667696832
