long_threshold,short_threshold,description,avg_return,win_windows,avg_trades,avg_long,avg_short,long_wr,short_wr
0.7,0.7,Baseline (Equal thresholds),4.547826101737226,92.07920792079209,13.138613861386139,10.564356435643564,2.5742574257425743,74.84633132026842,72.38802451673737
0.65,0.75,"LONG easier, SHORT harder",4.554695315344486,89.10891089108911,13.96039603960396,11.643564356435643,2.3168316831683167,72.57159224325792,67.16171617161714
0.65,0.8,"LONG easier, SHORT much harder",4.553694500656357,89.10891089108911,13.96039603960396,11.643564356435643,2.3168316831683167,72.57159224325792,65.59405940594058
0.65,0.85,"LONG easier, SHORT ultra-selective",4.5466579850803255,89.10891089108911,13.96039603960396,11.643564356435643,2.3168316831683167,72.57159224325792,65.59405940594058
0.6,0.85,"LONG very easy, SHORT ultra-selective",3.982012339856039,86.13861386138613,14.712871287128714,12.534653465346535,2.1782178217821784,68.46928631544309,66.46864686468646
