threshold,total_trades,wins,losses,win_rate,avg_window_return,std_window_return,sharpe_ratio,trades_per_window,num_windows,avg_pnl,ml_exits,max_hold_exits,ml_exit_rate,avg_hold_time,long_trades,short_trades
0.15,2238,1147,1091,0.5125111706881144,0.16453876214006757,0.2968299655894121,4.736111454189358,111.9,20,0.001197998466516532,2238,0,1.0,3.265415549597855,1104,1134
0.2,2069,1088,981,0.5258579023682939,0.19882137983609047,0.32955061235658856,5.154688082116666,103.45,20,0.001549146388167853,2069,0,1.0,3.7100048332527793,1014,1055
0.75,455,366,89,0.8043956043956044,0.6481685021117439,0.6148612115559082,9.006836023410525,22.75,20,0.0203612090516036,426,29,0.9362637362637363,29.408791208791207,261,194
