timestamp,price,long_prob,short_prob,position,exit_prob
2025-10-21 14:35:00,109919.9,0.14552891,0.6441974,LONG,0.0
2025-10-21 14:40:00,109890.8,0.08641431,0.6747275,LONG,0.0
2025-10-21 14:45:00,110729.2,0.20444652,0.6522063,LONG,0.0
2025-10-21 14:50:00,111142.1,0.18518542,0.70694816,LONG,0.0
2025-10-21 14:55:00,112144.4,0.15365626,0.73268384,LONG,0.0
2025-10-21 15:00:00,111980.0,0.07520951,0.8231438,LONG,0.0
2025-10-21 15:05:00,112520.3,0.034034524,0.4543307,LONG,0.0
2025-10-21 15:10:00,112348.3,0.035159573,0.24955335,LONG,0.0
2025-10-21 15:15:00,112433.6,0.026202079,0.24249244,LONG,0.0
2025-10-21 15:20:00,112838.8,0.06488592,0.2660565,LONG,0.0
2025-10-21 15:25:00,112927.3,0.056929145,0.2869008,LONG,0.0
2025-10-21 15:30:00,112968.0,0.05159347,0.27777252,LONG,0.0
2025-10-21 15:35:00,112900.2,0.086902924,0.58018535,LONG,0.0
2025-10-21 15:40:00,113294.3,0.2502828,0.3030996,LONG,0.0
2025-10-21 15:45:00,113337.7,0.24039134,0.27933076,LONG,0.0
2025-10-21 15:50:00,113076.5,0.33129412,0.52892625,LONG,0.0
2025-10-21 15:55:00,113375.0,0.27027807,0.5166726,LONG,0.0
2025-10-21 16:00:00,113415.8,0.16080846,0.51199627,LONG,0.0
2025-10-21 16:05:00,113092.4,0.25031385,0.46784338,LONG,0.0
2025-10-21 16:10:00,113488.5,0.12841167,0.42390925,LONG,0.0
2025-10-21 16:15:00,113694.6,0.100996524,0.2948578,LONG,0.0
2025-10-21 16:20:00,113645.5,0.05109936,0.46672142,LONG,0.0
2025-10-21 16:25:00,113624.4,0.06896478,0.35869983,LONG,0.0
2025-10-21 16:30:00,113724.9,0.09516275,0.36852106,LONG,0.0
2025-10-21 16:35:00,113661.1,0.061060295,0.24851206,LONG,0.0
2025-10-21 16:40:00,113403.6,0.045410234,0.2752289,LONG,0.0
2025-10-21 16:45:00,113427.2,0.021392215,0.22186917,LONG,0.0
2025-10-21 16:50:00,113052.5,0.06555947,0.14062673,LONG,0.0
2025-10-21 16:55:00,112519.5,0.4685991,0.20765036,LONG,0.0
2025-10-21 17:00:00,112534.4,0.20851053,0.16874358,LONG,0.0
2025-10-21 17:05:00,112809.3,0.045163702,0.17039199,LONG,0.0
2025-10-21 17:10:00,112686.7,0.08215992,0.16773592,LONG,0.0
2025-10-21 17:15:00,111868.6,0.54042506,0.5589809,LONG,0.0
2025-10-21 17:20:00,111960.9,0.24284482,0.40649918,LONG,0.0
2025-10-21 17:25:00,112350.4,0.23047328,0.2928563,LONG,0.0
2025-10-21 17:30:00,112399.8,0.13662994,0.23418914,LONG,0.0
2025-10-21 17:35:00,112357.5,0.31952992,0.30512705,LONG,0.0
2025-10-21 17:40:00,112446.1,0.4129482,0.20197013,LONG,0.0
2025-10-21 17:45:00,112313.7,0.6421717,0.23630138,LONG,0.0
2025-10-21 17:50:00,112028.8,0.6827502,0.22708793,LONG,0.0
2025-10-21 17:55:00,111981.9,0.5764848,0.19726083,LONG,0.0
2025-10-21 18:00:00,112187.3,0.63456124,0.08442082,LONG,0.0
2025-10-21 18:05:00,112119.0,0.64253545,0.09060687,LONG,0.0
2025-10-21 18:10:00,111845.4,0.52172524,0.08355143,LONG,0.0
2025-10-21 18:15:00,111830.3,0.4647186,0.072319165,LONG,0.0
2025-10-21 18:20:00,112001.6,0.44867668,0.07811612,LONG,0.0
2025-10-21 18:25:00,111806.5,0.38551617,0.0691484,LONG,0.0
2025-10-21 18:30:00,111829.6,0.5294056,0.08475621,LONG,0.0
2025-10-21 18:35:00,111572.3,0.45583647,0.06889396,LONG,0.0
2025-10-21 18:40:00,111616.0,0.32321662,0.115099676,LONG,0.0
2025-10-21 18:45:00,111974.7,0.28488424,0.055961616,,
2025-10-21 18:50:00,111841.4,0.37472543,0.059159935,,
2025-10-21 18:55:00,111953.0,0.21648754,0.27656633,,
2025-10-21 19:00:00,112016.1,0.15345977,0.44195434,,
2025-10-21 19:05:00,112031.2,0.16581097,0.37603876,,
2025-10-21 19:10:00,112112.0,0.11079577,0.51020086,,
2025-10-21 19:15:00,112059.3,0.10035915,0.45728883,,
2025-10-21 19:20:00,111601.0,0.44180387,0.20971587,,
2025-10-21 19:25:00,111675.9,0.48775786,0.1016005,,
2025-10-21 19:30:00,111642.7,0.6184724,0.20089838,,
2025-10-21 19:35:00,111700.2,0.15973333,0.22996101,,
2025-10-21 19:40:00,111773.6,0.16005468,0.17982839,,
2025-10-21 19:45:00,111878.3,0.22487207,0.39349413,,
2025-10-21 19:50:00,111931.0,0.23815636,0.43826088,,
2025-10-21 19:55:00,111732.6,0.27437714,0.21874805,,
2025-10-21 20:00:00,111614.2,0.2740478,0.16989902,,
2025-10-21 20:05:00,111509.4,0.35081264,0.11903827,,
2025-10-21 20:10:00,111267.3,0.6272161,0.12826096,,
2025-10-21 20:15:00,110782.2,0.7107205,0.43339178,LONG,0.0
2025-10-21 20:20:00,110878.9,0.71706235,0.33560526,LONG,0.0
2025-10-21 20:25:00,110821.5,0.5472777,0.18773524,LONG,0.0
