threshold,total_trades,wins,losses,win_rate,total_return,avg_pnl,final_capital,ml_exits,max_hold_exits,ml_exit_rate,avg_hold_time,long_trades,short_trades
0.15,11224,8439,2783,0.7518709907341411,1.3770822153012297e+23,0.00479727654337815,1.3770822153012297e+27,11224,0,1.0,8.127138275124732,5581,5643
0.2,11224,8631,2591,0.7689771917320029,7.941170002257284e+26,0.005576817954946073,7.941170002257285e+30,11224,0,1.0,9.241625089094796,5581,5643
0.75,11224,10591,633,0.9436029935851746,6.780447558849218e+160,0.0345136553200851,6.780447558849217e+164,9731,1493,0.8669814682822523,44.249019957234495,5581,5643
